,Component,SMILES,Count
0,1-butanol,CCCCO,507
1,ethanol,CCO,477
2,1-pentanol,CCCCCO,238
3,methanol,CO,189
4,cyclohexane,C1CCCCC1,143
5,"ethanol, 2-ethoxy-",CCOCCO,117
6,benzene,c1ccccc1,113
7,1-propanol,CCCO,98
8,"1,2-propanediol",CC(O)CO,87
9,hexane,CCCCCC,83
10,heptane,CCCCCCC,80
11,toluene,OCc1ccccc1,68
12,benzyl alcohol,Cc1ccccc1,68
13,butan-2-ol,CCC(C)O,61
14,2-propanol,CC(C)O,54
15,isopropyl ether,CC(C)OC(C)C,52
16,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,42
17,2-methyl-2-butanol,CCC(C)(C)O,39
18,dibutyl ether,CCCCOCCCC,38
19,methylcyclohexane,CC1CCCCC1,38
20,"1,3-propanediol",OCCCO,36
21,"1,4-butanediol",OCCCCO,36
22,tetrahydrofuran,C1CCOCC1,32
23,1-octanol,CCCCCCCCO,32
24,tetrahydropyran,C1CCOC1,32
25,1-hexanol,CCCCCCO,31
26,n-decane,CCCCCCCCC,20
27,nonane,CCCCCCCCCC,20
28,octane,CCCCCCCC,19
29,2-phenylethanol,OCCc1ccccc1,17
30,2-methyl-1-propanol,CC(C)CO,17
31,"1,2-dimethylbenzene",Cc1ccccc1C,15
32,"1,3-dimethylbenzene",Cc1ccc(C)cc1,14
33,"1,4-dimethylbenzene",Cc1cccc(C)c1,14
34,1-heptanol,CCCCCCCO,11
35,1-nonanol,CCCCCCCCCO,10
36,"1,4-dioxane",C1COCCO1,9
