,Component,SMILES,Count
0,benzene,c1ccccc1,19
1,3-methyl-1-butanol,CC(C)CCO,15
2,2-methyl-1-butanol,CCC(C)CO,15
3,2-methylpropane,CCCC(C)O,13
4,propane,CC(C)C,13
5,2-pentanol,CCC,13
6,toluene,Cc1ccccc1,12
7,"1,4-dimethylbenzene",OCC(O)CO,10
8,glycerol,Cc1ccc(C)cc1,10
9,triethylene glycol,OCCOCCOCCO,9
10,octane,CCCC,8
11,1-butanol,CCCCCCCC,8
12,butane,CCCCO,8
13,hexane,OCCO,6
14,"1,2-ethanediol",CCCCCC,6
15,n-decane,CCCCCCCCCC,5
16,tert-butyl ethyl ether,Cc1cccc(C)c1,4
17,"1,3-dimethylbenzene",CCOC(C)(C)C,4
18,methyl tert-butyl ether,COC(C)(C)C,4
19,ethanol,CCCCCCCCC,3
20,pentane,CCc1ccccc1,3
21,2-propanol,CCO,3
22,1-propanol,CCCCC,3
23,nonane,CCCO,3
24,ethylbenzene,C1CCCCC1,3
25,cyclohexane,CC(C)O,3
26,methanol,CO,2
