,Component,SMILES,Count
0,1-butanol,CCCCO,571
1,ethanol,CCO,497
2,1-pentanol,CCCCCO,289
3,methanol,CO,210
4,benzene,c1ccccc1,143
5,cyclohexane,C1CCCCC1,143
6,benzyl alcohol,OCc1ccccc1,128
7,1-propanol,CCCO,118
8,"ethanol, 2-ethoxy-",CCOCCO,117
9,"1,2-propanediol",CC(O)CO,97
10,butan-2-ol,CCC(C)O,85
11,hexane,CCCCCC,83
12,heptane,CCCCCCC,80
13,toluene,Cc1ccccc1,68
14,diisopropyl,CC(C)O,63
15,2-propanol,CC(C)C(C)C,63
16,neohexane,CCC(C)(C)C,62
17,isopropyl ether,C1CCOC1,52
18,tetrahydrofuran,CC(C)OC(C)C,52
19,2-methyl-2-butanol,CCC(C)(C)O,48
20,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,42
21,dibutyl ether,CCCCOCCCC,38
22,methylcyclohexane,CC1CCCCC1,38
23,"1,3-propanediol",OCCCCO,36
24,"1,4-butanediol",OCCCO,36
25,2-phenylethanol,OCCc1ccccc1,34
26,tetrahydropyran,CCCCCCCCO,32
27,1-octanol,C1CCOCC1,32
28,1-hexanol,CCCCCCO,31
29,"1,2-dimethylbenzene",Cc1ccccc1C,29
30,n-decane,CCCCCCCCC,20
31,nonane,CCCCCCCCCC,20
32,dipropyl ether,CCCOCCC,20
33,1-methoxy-2-propanol,CC1CO1,19
34,octane,COCC(C)O,19
35,epoxypropane,CCCCCCCC,19
36,2-methyl-1-propanol,COc1ccccc1,17
37,ethoxybenzene,CCOc1ccccc1,17
38,methoxybenzene,CC(C)CO,17
39,"1,3-dimethylbenzene",Cc1cccc(C)c1,14
40,"1,4-dimethylbenzene",Cc1ccc(C)cc1,14
41,1-heptanol,CCCCCCCO,11
42,1-nonanol,CCCCCCCCCO,10
43,"1,4-dioxane",C1COCCO1,9
