,Component,SMILES,Count
0,ethanol,CCO,8594
1,1-butanol,CCCCO,5493
2,1-propanol,CCCO,4349
3,benzene,c1ccccc1,3472
4,2-propanol,CC(C)O,3168
5,methanol,CO,2584
6,hexane,CCCCCC,2568
7,toluene,Cc1ccccc1,2368
8,"1,4-dimethylbenzene",Cc1ccc(C)cc1,2245
9,2-methyl-2-propanol,CC(C)(C)O,1770
10,"1,2-dimethylbenzene",Cc1ccccc1C,1669
11,cyclohexane,C1CCCCC1,1582
12,"1,3-dimethylbenzene",Cc1cccc(C)c1,1512
13,octane,CCCCCCCC,1468
14,"1,2-propanediol",CC(O)CO,1403
15,ethylbenzene,CCc1ccccc1,1269
16,1-heptanol,CCCCCCCO,1259
17,"1,2-ethanediol",OCCO,1250
18,glycerol,OCC(O)CO,1208
19,1-hexanol,CCCCCCO,1083
20,n-decane,CCCCCCCCCC,1076
21,"1,4-butanediol",OCCCCO,1053
22,1-pentanol,CCCCCO,1049
23,tetrahydrofuran,C1CCOC1,925
24,propane,CCC,868
25,2-methoxyethanol,COCCO,790
26,methylcyclohexane,CC1CCCCC1,778
27,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,731
28,2-methyl-2-butanol,CCC(C)(C)O,711
29,"1,2-dimethoxyethane",COCCOC,701
30,"1,3-propanediol",OCCCO,674
31,"1,3-butanediol",CC(O)CCO,656
32,methoxybenzene,COc1ccccc1,645
33,benzyl alcohol,OCc1ccccc1,641
34,2-phenylethanol,OCCc1ccccc1,632
35,"3-methylpentane-1,5-diol",CC(CCO)CCO,592
36,pentaerythritol,OCC(CO)(CO)CO,556
37,"2-methyl-2-propyl-1,3-propanediol",CCCC(C)(CO)CO,554
38,2-butoxyethanol,CCCCOCCO,552
39,"2,2-diethyl-1,3-propanediol",CCC(CC)(CO)CO,551
40,bis(2-hydroxyethyl) ether,OCCOCCO,550
41,1-octanol,CCCCCCCCO,545
42,"1,5-pentanediol",OCCCCCO,545
43,heptane,CCCCCCC,541
44,butan-2-ol,CCC(C)O,511
45,"1,8-octanediol",OCCCCCCCCO,503
46,"1,6-hexanediol",OCCCCCCO,489
47,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,483
48,pentane,CCCCC,475
49,1-propoxy-2-propanol,CCCOCC(C)O,463
50,"2,5,8-trioxanonane",COCCOCCOC,463
51,2-methyl-1-propanol,CC(C)CO,457
52,"2,2-dimethyl-1,3-propanediol",CC(C)(CO)CO,440
53,2-methylpropane,CC(C)C,410
54,"1,1,1-trimethanolethane",CC(CO)(CO)CO,405
55,nonane,CCCCCCCCC,375
56,ribitol,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,369
57,isopropyl ether,CC(C)OC(C)C,346
58,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol",CCC(CO)(CO)CO,340
59,cis-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,309
60,cyclohexanol,OC1CCCCC1,295
61,"1,4-dioxane",C1COCCO1,291
62,2-methylphenol,Cc1ccccc1O,289
63,cyclopentanol,OC1CCCC1,287
64,"ethanol, 2-ethoxy-",CCOCCO,285
65,neopentyl alcohol,CC(C)(C)CO,276
66,"2-methyl-1,3-propanediol",CC(CO)CO,263
67,"1,2-butanediol",CCC(O)CO,248
68,2-(2-methoxyethoxy)ethanol,COCCOCCO,228
69,tetrahydropyran,C1CCOCC1,227
70,cycloheptanol,OC1CCCCCC1,222
71,tetralin,C1CCc2ccccc2C1,219
72,"1,2-hexanediol",CCCCC(O)CO,209
73,"3,6-dioxaoctane",CCOCCOCC,196
74,dibutyl ether,CCCCOCCCC,195
75,cyclohexylmethanol,OCC1CCCCC1,176
76,2-cyclohexylethanol,OCCC1CCCCC1,175
77,diethoxymethane,CCOCOCC,173
78,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,160
79,4-methylphenol,Cc1ccc(O)cc1,159
80,cyclooctanol,OC1CCCCCCC1,156
81,"2,5-hexanediol",COC(C)(C)OC,114
82,"2,2-dimethoxypropane",CC(O)CCC(C)O,114
83,3-methylphenol,Cc1cccc(O)c1,110
84,"1,3-benzenediol",Oc1cccc(O)c1,107
85,cyclopentane,C1CCCC1,106
86,triethylene glycol,OCCOCCOCCO,99
87,2-(2-methylpropoxy)ethanol,CC(C)COCCO,90
88,2-ethyl-1-hexanol,CCCCC(CC)CO,89
89,meso-erythritol,OCC(O)C(O)CO,88
90,"1,2-benzenediol",Oc1ccccc1O,80
91,"1,1-diethoxyethane",CCOC(C)OCC,76
92,"1,5-hexanediol",CC(O)CCCCO,75
93,ethylcyclohexane,CCC1CCCCC1,66
94,"1,3,5-trioxacyclohexane",CCCCC1CCCCC1,66
95,"1,2,4-trimethylcyclohexane",C1OCOCO1,66
96,butylcyclohexane,CC1CCC(C)C(C)C1,66
97,diisopropyl,CC(C)C(C)C,63
98,neohexane,CCC(C)(C)C,62
99,"furfuryl alcohol, tetrahydro-",OCC1CCCO1,60
100,water,O,57
101,"3,6-dioxa-1-octanol",CCOCCOCCO,56
102,"1,3-dioxolane",C1COCO1,55
103,2-hydroxymethylfuran,OCc1occc1,48
104,diethyl ether,CCOCC,45
105,xyliton,OC[C@H](O)C(O)[C@H](O)CO,40
106,2-isopropoxyethanol,o1cccc1,36
107,tetrole,CC(C)OCCO,36
108,2-methyl-1-butanol,CCC(C)CO,34
109,ethoxybenzene,CCOc1ccccc1,29
110,"2,3-butanediol",CC(O)C(C)O,28
111,ethane,CC,27
112,3-methyl-1-butanol,CC(C)CCO,26
113,methane,C,25
114,naphthalene,CCCCCCC(C)O,21
115,2-octanol,CCCC(C)O,21
116,2-pentanol,c1ccc2ccccc2c1,21
117,dipropyl ether,CCCOCCC,20
118,3-pentanol,CCC(O)CC,20
119,3-methylpentane,COCC(C)O,19
120,1-methoxy-2-propanol,CC1CCCO1,19
121,epoxypropane,CC1CO1,19
122,2-methyltetrahydrofuran,CCC(C)CC,19
123,3-methyl-2-butanol,CC(C)C(C)O,18
124,phenol,Oc1ccccc1,17
125,1-nonanol,CCCCCCCCCO,10
126,isooctane,CCCCCC(C)C,9
127,butane,CCCC,8
128,tert-butyl ethyl ether,COC(C)(C)C,4
129,"butane, 2-ethoxy-2-methyl-",CCOC(C)(C)CC,4
130,tert-amyl methyl ether,CCOC(C)(C)C,4
131,methyl tert-butyl ether,CCC(C)(C)OC,4
132,methylcyclopentane,CC(C)c1ccc(C)cc1,1
133,p-cymene,CC1CCCC1,1
134,glycidol,OCC1CO1,1
