;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;12;oxidane;O
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;8;Butan-1-ol;CCCCO
2;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;4;2-Methoxy-2-methylpropane;COC(C)(C)C
