;InChI;Count;Component;SMILES
0;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;121;ethanol;CCO
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;89;Butan-1-ol;CCCCO
2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;83;oxidane;O
3;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;76;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
4;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;63;2-propan-2-yloxypropane;CC(C)OC(C)C
5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;50;HEPTANE;CCCCCCC
6;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;46;Oxolane;C1CCOC1
7;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;23;2,3-Dimethylbutane;CC(C)C(C)C
8;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;23;2,2-Dimethylbutane;CCC(C)(C)C
