;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;964;oxidane;O
1;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;897;Butan-1-ol;CCCCO
2;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;838;2-Methoxy-2-methylpropane;COC(C)(C)C
3;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;819;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;660;methylbenzene;Cc1ccccc1
5;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;600;1,4-Dimethylbenzene;Cc1ccc(C)cc1
6;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;592;1,2-Dimethylbenzene;Cc1ccccc1C
7;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;562;2-Butoxyethanol;CCCCOCCO
8;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;560;HEPTANE;CCCCCCC
9;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;557;1,3-Dimethylbenzene;Cc1cccc(C)c1
10;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;520;Cyclohexane;C1CCCCC1
11;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;496;Propan-1-ol;CCCO
12;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;476;OCTAN-1-OL;CCCCCCCCO
13;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;450;2-Methylbutan-2-ol;CCC(C)(C)O
14;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;418;Propan-2-ol;CC(C)O
15;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;408;ethanol;CCO
16;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;405;Nonan-1-ol;CCCCCCCCCO
17;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;398;Cyclopentane;C1CCCC1
18;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;393;BENZENE;c1ccccc1
19;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;354;Methylcyclohexane;CC1CCCCC1
20;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;349;1-Butoxybutane;CCCCOCCCC
21;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;306;2-Methoxyethanol;COCCO
22;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;300;HEXAN-1-OL;CCCCCCO
23;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;277;butane-1,2-diol;CCC(O)CO
24;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;261;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
25;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;254;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
26;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;243;1,4-Dioxane;C1COCCO1
27;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;242;Ethylbenzene;CCc1ccccc1
28;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;235;Heptan-1-ol;CCCCCCCO
29;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;226;octane;CCCCCCCC
30;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;223;Hexane;CCCCCC
31;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;204;Butane-1,3-diol;CC(O)CCO
32;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;198;2-PHENYLETHANOL;OCCc1ccccc1
33;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;196;Butane-1,4-diol;OCCCCO
34;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;177;2-Methylpropan-2-ol;CC(C)(C)O
35;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;160;1-Butoxypropan-2-ol;CCCCOCC(C)O
36;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;156;phenylmethanol;OCc1ccccc1
37;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;148;1,3-DIOXOLANE;C1COCO1
38;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;145;1-Propoxypropan-2-ol;CCCOCC(C)O
39;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;145;Decane;CCCCCCCCCC
40;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;144;;C1CCCCCCC1
41;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;140;2-(2-Methoxyethoxy)ethanol;COCCOCCO
42;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;136;Butan-2-ol;CCC(C)O
43;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;132;Propane-1,3-diol;OCCCO
44;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;116;Oxolane;C1CCOC1
45;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;115;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
