;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;578;oxidane;O
1;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;163;Butane-1,4-diol;OCCCCO
2;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;135;Ethane-1,2-diol;OCCO
3;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;114;PROPANE-1,2-DIOL;CC(O)CO
4;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;112;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
5;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;104;Propane-1,3-diol;OCCCO
6;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;87;Hexane;CCCCCC
7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;71;Butan-1-ol;CCCCO
8;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;60;hexane-1,2-diol;CCCCC(O)CO
9;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;39;Oxolane;C1CCOC1
10;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;39;2-Methylbutan-2-ol;CCC(C)(C)O
11;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;23;ethanol;CCO
12;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;19;2-Methoxy-2-methylbutane;CCC(C)(C)OC
13;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;14;HEPTANE;CCCCCCC
14;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;14;BENZENE;c1ccccc1
15;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;14;1,3-Dimethylbenzene;Cc1cccc(C)c1
16;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;14;methylbenzene;Cc1ccccc1
17;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;14;Butane-1,3-diol;CC(O)CCO
18;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;14;Cyclohexane;C1CCCCC1
19;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;14;butane-1,2-diol;CCC(O)CO
20;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;14;;CC(O)C(C)O
21;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;14;1,2-Dimethylbenzene;Cc1ccccc1C
22;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;14;1,4-Dimethylbenzene;Cc1ccc(C)cc1
