,Mixture,Count
161,"ethanol, 2-ethoxy-__1,3-dioxolane",11
162,1-pentanol__methoxybenzene,11
163,methoxybenzene__3-methyl-1-butanol,11
164,methylcyclohexane__3-methyl-1-butanol,11
165,1-propanol__methylcyclohexane,11
166,1-butanol__methoxybenzene,11
167,"ethane, 1,1'-oxybis-__pentan-1-ol",11
168,ethanol__methylcyclohexane,11
169,2-propanol__methoxybenzene,11
170,"2-methoxyethanol__1,3-dioxolane",11
171,isopropyl ether__heptane,10
172,"isopropyl ether__2,2,4-trimethylpentane",10
173,isopropyl ether__hexane,10
174,ethanol__ethylene glycol,10
175,2-ethyl-1-hexanol__ethylene glycol,10
176,isopropyl ether__octane,10
177,isopropyl ether__cyclohexane,9
178,benzene__isopropyl ether,9
179,2-methyl-2-propanol__water,6
