,filename,components,smiles,"Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
9659,j.jct.2004.08.003,nonane,CCCCCCCCC,698.14,,,,,,,,,,,,,
9660,j.jct.2004.08.003,nonane,CCCCCCCCC,690.14,,,,,,,,,,,,,
10545,j.jct.2004.08.012,1-butanol,CCCCO,809.62,,,,,,,,,,,,,
10548,j.jct.2004.08.012,octane,CCCCCCCC,702.44,,,,,,,,,,,,,
11638,j.jct.2004.09.007,1-butanol,CCCCO,805.82,,,,,,,,,,,,,
11639,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,168.64,,,,,,,
11640,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,169.01,,,,,,,
11641,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,170.39,,,,,,,
11642,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,172.0,,,,,,,
11643,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,173.56,,,,,,,
11644,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,175.19,,,,,,,
11645,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,176.82,,,,,,,
11646,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,178.53,,,,,,,
11647,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,180.42,,,,,,,
11648,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,182.27,,,,,,,
11649,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,184.15,,,,,,,
11650,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,186.08,,,,,,,
11651,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,187.99,,,,,,,
11652,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,189.99,,,,,,,
11653,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,192.06,,,,,,,
11654,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,194.2,,,,,,,
11655,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,196.35,,,,,,,
11656,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,198.45,,,,,,,
11657,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,200.45,,,,,,,
11658,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,202.76,,,,,,,
11659,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,204.94,,,,,,,
11660,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,207.1,,,,,,,
11661,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,209.17,,,,,,,
11662,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,211.74,,,,,,,
11663,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,213.82,,,,,,,
11664,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,216.35,,,,,,,
11665,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,218.32,,,,,,,
11666,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,220.5,,,,,,,
11667,j.jct.2004.09.007,1-butanol,CCCCO,,,,,,,222.81,,,,,,,
11668,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,1000.42,,,,,,,,,,,,,
11669,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,211.74,,,,,,,
11670,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,212.17,,,,,,,
11671,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,,,,,,,213.57,,,,,,,
