,filename,components,smiles,"Molar enthalpy, kJ/mol","Molar enthalpy, kJ/mol_std"
1048603,je100658y,heptane,CCCCCCC,44.2763,0.00011
1048604,je100658y,heptane,CCCCCCC,46.4085,0.00011
1048605,je100658y,heptane,CCCCCCC,47.0873,0.00011
1048606,je100658y,heptane,CCCCCCC,48.5758,0.00011
1048607,je100658y,heptane,CCCCCCC,50.7799,0.00011
1048608,je100658y,heptane,CCCCCCC,52.6036,0.00011
1048609,je100658y,heptane,CCCCCCC,53.0209,0.00011
1048610,je100658y,heptane,CCCCCCC,55.2986,0.00011
1048611,je100658y,heptane,CCCCCCC,57.6146,0.00011
1048612,je100658y,heptane,CCCCCCC,59.9704,0.00011
1048613,je100658y,heptane,CCCCCCC,62.3678,0.00011
1048614,je100658y,heptane,CCCCCCC,64.8092,0.00011
