;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
59055;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;288.15;101.0;1613.71;1e-05
59056;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;293.15;101.0;1612.41;1e-05
59057;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;298.15;101.0;1610.04;1e-05
59058;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;303.15;101.0;1606.45;1e-05
59059;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;308.15;101.0;1602.45;1e-05
59060;j.jct.2006.01.007;2-methyl-2-propanol;water;CC(C)(C)O;O;75-65-0;14314-42-2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2-methyl-2-propanol__water;0.9615;313.15;101.0;1597.04;1e-05
80579;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.0;279.15;101.0;1433.0;0.5
80580;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.046;279.15;101.0;1571.5;0.5
80581;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.086;279.15;101.0;1610.7;0.5
80582;j.jct.2006.08.007;tetrahydrofuran;water;C1CCOC1;O;77392-70-2;14314-42-2;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;tetrahydrofuran__water;0.19;279.15;101.0;1554.0;0.5
