,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Temperature, K","Pressure, kPa","Excess molar enthalpy (molar enthalpy of mixing), kJ/mol","Excess molar enthalpy (molar enthalpy of mixing), kJ/mol_std"
28576,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,353.01,5000.0,-0.3857,0.0015
28577,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,354.82,5000.0,-0.3695,0.0014
28578,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,373.15,5000.0,-0.2216,0.0013
28579,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,375.03,5000.0,-0.2055,0.0012
28580,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,375.68,5000.0,-0.2024,0.001
28581,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,377.47,5000.0,-0.187,0.001
28590,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,323.15,5000.0,-0.7106,0.0025
28591,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,325.16,5000.0,-0.6889,0.0025
28592,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,331.23,5000.0,-0.6377,0.0022
28593,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,333.05,5000.0,-0.6207,0.0021
28594,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,348.15,5000.0,-0.4674,0.0018
28595,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,350.05,5000.0,-0.4434,0.0017
28596,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,353.32,5000.0,-0.419,0.0014
28597,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,355.11,5000.0,-0.4003,0.0013
28598,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,373.15,5000.0,-0.2316,0.0013
28599,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,375.03,5000.0,-0.2124,0.0013
28600,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,375.66,5000.0,-0.2083,0.001
28601,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.3,377.41,5000.0,-0.1904,0.0009
28610,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,323.15,5000.0,-0.7082,0.0025
28611,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,325.16,5000.0,-0.6881,0.0025
28612,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,331.07,5000.0,-0.6382,0.0019
28613,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,332.9,5000.0,-0.6197,0.0018
28614,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,348.15,5000.0,-0.4646,0.0018
28615,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,350.05,5000.0,-0.4448,0.0017
28616,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,353.16,5000.0,-0.4162,0.0015
28617,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,354.97,5000.0,-0.3974,0.0013
28618,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,373.15,5000.0,-0.2205,0.0013
28619,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,375.03,5000.0,-0.2006,0.0012
28620,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,375.45,5000.0,-0.198,0.001
28621,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,377.26,5000.0,-0.1788,0.001
28630,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,323.15,5000.0,-0.6592,0.0026
28631,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,325.16,5000.0,-0.6406,0.0025
28632,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,330.5,5000.0,-0.6011,0.0022
28633,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,332.3,5000.0,-0.5838,0.0021
28634,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,348.15,5000.0,-0.4457,0.0018
28635,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,350.05,5000.0,-0.4277,0.0017
28636,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,352.88,5000.0,-0.4017,0.0014
28637,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,354.69,5000.0,-0.3855,0.0014
28638,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,373.15,5000.0,-0.207,0.0013
28639,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,375.03,5000.0,-0.1882,0.0012
28640,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,375.26,5000.0,-0.1869,0.0009
28641,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.5,377.07,5000.0,-0.1688,0.0009
28650,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,323.15,5000.0,-0.5959,0.0025
28651,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,325.16,5000.0,-0.5802,0.0024
28652,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,329.76,5000.0,-0.5494,0.0021
28653,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,331.61,5000.0,-0.5347,0.002
28654,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,348.15,5000.0,-0.4076,0.0017
28655,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,350.05,5000.0,-0.3918,0.0017
28656,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,352.43,5000.0,-0.3702,0.0013
28657,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,354.25,5000.0,-0.3566,0.0013
28658,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,373.15,5000.0,-0.1945,0.0013
28659,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,375.03,5000.0,-0.1767,0.0013
28660,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,375.09,5000.0,-0.1774,0.001
28661,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,376.94,5000.0,-0.1599,0.0009
28670,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,323.15,5000.0,-0.5092,0.0023
28671,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,325.16,5000.0,-0.4991,0.0023
28672,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,328.71,5000.0,-0.4769,0.0019
28673,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,330.7,5000.0,-0.4674,0.0018
28674,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,348.15,5000.0,-0.3637,0.0017
28675,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,350.05,5000.0,-0.3494,0.0017
28676,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,351.93,5000.0,-0.333,0.0014
28677,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,353.78,5000.0,-0.3234,0.0014
28678,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,373.15,5000.0,-0.1778,0.0014
28679,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,374.83,5000.0,-0.1649,0.0013
28680,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,375.03,5000.0,-0.1625,0.001
28681,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.7,376.69,5000.0,-0.1499,0.0009
28690,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,323.15,5000.0,-0.4129,0.0022
28691,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,325.16,5000.0,-0.401,0.0022
28692,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,327.47,5000.0,-0.395,0.002
28693,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,330.07,5000.0,-0.3827,0.002
28694,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,348.15,5000.0,-0.2908,0.0017
28695,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,350.05,5000.0,-0.279,0.0016
28696,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,351.04,5000.0,-0.2621,0.0015
28697,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,352.79,5000.0,-0.2652,0.0014
28698,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,373.15,5000.0,-0.1509,0.0015
28699,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,374.46,5000.0,-0.1432,0.0014
28700,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,375.03,5000.0,-0.1395,0.0012
28701,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,376.12,5000.0,-0.133,0.0011
28710,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,323.15,5000.0,-0.2303,0.002
28711,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,325.16,5000.0,-0.2293,0.0021
28712,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,325.45,5000.0,-0.2246,0.0019
28713,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,327.48,5000.0,-0.2241,0.0018
28714,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,348.15,5000.0,-0.1773,0.0019
28715,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,349.68,5000.0,-0.1725,0.0017
28716,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,350.05,5000.0,-0.1708,0.0015
28717,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,351.25,5000.0,-0.1666,0.0014
28718,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,373.15,5000.0,-0.0975,0.0017
28719,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,373.82,5000.0,-0.0949,0.0016
28720,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,375.03,5000.0,-0.0895,0.0013
28721,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.9,375.35,5000.0,-0.0886,0.0013
28818,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,323.15,10000.0,-0.6483,0.0028
28819,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,325.16,10000.0,-0.6295,0.0029
28820,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,330.67,10000.0,-0.5846,0.0023
28821,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.2,332.4,10000.0,-0.563,0.0022
28838,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,323.15,10000.0,-0.7178,0.0025
28839,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,325.16,10000.0,-0.6958,0.0024
28840,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,331.13,10000.0,-0.6421,0.002
28841,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.4,332.91,10000.0,-0.6237,0.0018
28858,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,323.15,10000.0,-0.5995,0.0025
28859,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,325.16,10000.0,-0.5832,0.0025
28860,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,329.7,10000.0,-0.5514,0.0021
28861,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.6,331.57,10000.0,-0.5358,0.0021
28878,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,323.15,10000.0,-0.417,0.0022
28879,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,325.16,10000.0,-0.4034,0.0021
28880,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,327.85,10000.0,-0.3965,0.002
28881,j.jct.2005.03.012,methanol,water,CO,O,methanol__water,0.8,329.82,10000.0,-0.3852,0.002
43313,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.0266,298.15,101.0,-0.279,-0.00279
43314,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.0579,298.15,101.0,-0.562,-0.00562
43315,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.1214,298.15,101.0,-0.878,-0.00878
43316,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.205,298.15,101.0,-0.97,-0.0097
43317,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.304,298.15,101.0,-0.913,-0.00913
43318,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.3872,298.15,101.0,-0.837,-0.00837
43319,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.4957,298.15,101.0,-0.702,-0.00702
43320,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.5454,298.15,101.0,-0.635,-0.00635
43321,j.jct.2005.06.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.6431,298.15,101.0,-0.542,-0.00542
