,filename,x1,x2,smiles1,smiles2,components,Mole fraction,Activity coefficient,Activity coefficient_std
994292,je060395n,"1,4-dimethylbenzene",butane,Cc1ccc(C)cc1,CCCC,"1,4-dimethylbenzene__butane",0,1.61,0.0483
994293,je060395n,"1,4-dimethylbenzene",butane,Cc1ccc(C)cc1,CCCC,"1,4-dimethylbenzene__butane",0,1.58,0.0474
994294,je060395n,"1,4-dimethylbenzene",butane,Cc1ccc(C)cc1,CCCC,"1,4-dimethylbenzene__butane",0,1.56,0.0468
994307,je060395n,benzene,2-methylpropane,c1ccccc1,CC(C)C,benzene__2-methylpropane,0,2.81,0.0843
994308,je060395n,benzene,2-methylpropane,c1ccccc1,CC(C)C,benzene__2-methylpropane,0,2.64,0.0792
994309,je060395n,benzene,2-methylpropane,c1ccccc1,CC(C)C,benzene__2-methylpropane,0,2.43,0.0729
994310,je060395n,benzene,2-methylpropane,c1ccccc1,CC(C)C,benzene__2-methylpropane,0,2.19,0.0657
994317,je060395n,2-methylpropane,toluene,CC(C)C,Cc1ccccc1,2-methylpropane__toluene,0,2.25,0.0675
994318,je060395n,2-methylpropane,toluene,CC(C)C,Cc1ccccc1,2-methylpropane__toluene,0,2.12,0.0636
994319,je060395n,2-methylpropane,toluene,CC(C)C,Cc1ccccc1,2-methylpropane__toluene,0,2.01,0.0603
994320,je060395n,2-methylpropane,toluene,CC(C)C,Cc1ccccc1,2-methylpropane__toluene,0,1.91,0.0573
994337,je060395n,2-methylpropane,"1,3-dimethylbenzene",CC(C)C,Cc1cccc(C)c1,"2-methylpropane__1,3-dimethylbenzene",0,2.04,0.0612
994338,je060395n,2-methylpropane,"1,3-dimethylbenzene",CC(C)C,Cc1cccc(C)c1,"2-methylpropane__1,3-dimethylbenzene",0,1.97,0.0591
994339,je060395n,2-methylpropane,"1,3-dimethylbenzene",CC(C)C,Cc1cccc(C)c1,"2-methylpropane__1,3-dimethylbenzene",0,1.89,0.0567
994340,je060395n,2-methylpropane,"1,3-dimethylbenzene",CC(C)C,Cc1cccc(C)c1,"2-methylpropane__1,3-dimethylbenzene",0,1.8,0.054
994346,je060395n,2-methylpropane,"1,4-dimethylbenzene",CC(C)C,Cc1ccc(C)cc1,"2-methylpropane__1,4-dimethylbenzene",0,1.91,0.0573
994347,je060395n,2-methylpropane,"1,4-dimethylbenzene",CC(C)C,Cc1ccc(C)cc1,"2-methylpropane__1,4-dimethylbenzene",0,1.86,0.0558
994348,je060395n,2-methylpropane,"1,4-dimethylbenzene",CC(C)C,Cc1ccc(C)cc1,"2-methylpropane__1,4-dimethylbenzene",0,1.83,0.0549
994349,je060395n,2-methylpropane,"1,4-dimethylbenzene",CC(C)C,Cc1ccc(C)cc1,"2-methylpropane__1,4-dimethylbenzene",0,1.79,0.0537
994350,je060395n,2-methylpropane,"1,4-dimethylbenzene",CC(C)C,Cc1ccc(C)cc1,"2-methylpropane__1,4-dimethylbenzene",0,1.74,0.0522
994643,je060395n,benzene,methoxymethane,c1ccccc1,COC,benzene__methoxymethane,0,1.13,0.0339
994644,je060395n,benzene,methoxymethane,c1ccccc1,COC,benzene__methoxymethane,0,1.15,0.0345
994645,je060395n,benzene,methoxymethane,c1ccccc1,COC,benzene__methoxymethane,0,1.18,0.0354
