;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Excess molar enthalpy (molar enthalpy of mixing), kJ/mol;Excess molar enthalpy (molar enthalpy of mixing), kJ/mol_std
43431;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.812;298.15;101.0;-0.206;-0.00206
43432;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.9;298.15;101.0;-0.148;-0.00148
43433;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.033;323.15;101.0;-0.192;-0.00192
43434;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.072;323.15;101.0;-0.349;-0.00349
43435;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.107;323.15;101.0;-0.409;-0.00409
43436;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.148;323.15;101.0;-0.414;-0.00414
43437;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.228;323.15;101.0;-0.357;-0.00357
43438;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.296;323.15;101.0;-0.304;-0.00304
43439;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.355;323.15;101.0;-0.24;-0.0024
43440;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.443;323.15;101.0;-0.15;-0.0015
43441;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.495;323.15;101.0;-0.108;-0.00108
43442;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.553;323.15;101.0;-0.074;-0.00074
43443;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.637;323.15;101.0;-0.055;-0.00055
43444;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.736;323.15;101.0;-0.045;-0.00045
43445;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.855;323.15;101.0;-0.05;-0.0005
43446;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.909;323.15;101.0;-0.045;-0.00045
43447;j.jct.2005.06.018;ethanol;water;CCO;O;121182-78-3;14314-42-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;ethanol__water;0.968;323.15;101.0;-0.018;-0.00018
169304;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.0502;298.15;101.3;0.0736;0.000736
169305;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.0999;298.15;101.3;0.1472;0.001472
169306;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.1504;298.15;101.3;0.2172;0.002172
169307;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.2;298.15;101.3;0.282;0.00282
169308;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.2498;298.15;101.3;0.3444;0.003444
169309;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.2998;298.15;101.3;0.4015;0.004015
169310;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.3497;298.15;101.3;0.4526;0.004526
169311;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.4004;298.15;101.3;0.4991;0.004991
169312;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.4496;298.15;101.3;0.54;0.0054
169313;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.5001;298.15;101.3;0.5751;0.005751
169314;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.5498;298.15;101.3;0.6009;0.006009
169315;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.5996;298.15;101.3;0.6177;0.006177
169316;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.6504;298.15;101.3;0.6231;0.006231
169317;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.6999;298.15;101.3;0.6166;0.006166
169318;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.7501;298.15;101.3;0.5981;0.005981
169319;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.7998;298.15;101.3;0.5668;0.005668
169320;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.8502;298.15;101.3;0.5221;0.005221
169321;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.8998;298.15;101.3;0.4587;0.004587
169322;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.9497;298.15;101.3;0.3611;0.003611
169323;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.0502;313.15;101.3;0.1031;0.001031
169324;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.1;313.15;101.3;0.205;0.00205
169325;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.1505;313.15;101.3;0.3041;0.003041
169326;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.2001;313.15;101.3;0.395;0.00395
169327;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.2499;313.15;101.3;0.4805;0.004805
169328;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.2999;313.15;101.3;0.5605;0.005605
169329;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.3498;313.15;101.3;0.6322;0.006322
169330;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.4004;313.15;101.3;0.6965;0.006965
169331;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.4496;313.15;101.3;0.7508;0.007508
169332;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.5002;313.15;101.3;0.7952;0.007952
169333;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.5499;313.15;101.3;0.8268;0.008268
169334;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.5997;313.15;101.3;0.8469;0.008469
169335;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.6505;313.15;101.3;0.854;0.00854
169336;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.6999;313.15;101.3;0.8467;0.008467
169337;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.7501;313.15;101.3;0.8252;0.008252
169338;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.7998;313.15;101.3;0.7888;0.007888
169339;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.8502;313.15;101.3;0.7329;0.007329
169340;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.8997;313.15;101.3;0.6496;0.006496
169341;j.jct.2009.07.014;1-butanol;heptane;CCCCO;CCCCCCC;107569-51-7;142-82-5;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1-butanol__heptane;0.9497;313.15;101.3;0.5083;0.005083
200122;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.05;298.15;101.0;0.1284;0.000642
200123;j.jct.2010.10.002;neohexane;tetrahydrofuran;CCC(C)(C)C;C1CCOC1;75-83-2;77392-70-2;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;neohexane__tetrahydrofuran;0.1;298.15;101.0;0.2404;0.001202
