,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Excess molar volume, m3/mol","Excess molar volume, m3/mol_std"
174847,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.1507,-1.907E-007,-0.000000001
174848,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.2986,-3.173E-007,-1.5865E-009
174849,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.4592,-3.901E-007,-0.000000002
174850,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.5676,-3.755E-007,-1.8775E-009
174851,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.6576,-3.478E-007,-1.739E-009
174852,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.7435,-2.924E-007,-1.462E-009
174853,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.8108,-2.289E-007,-1.1445E-009
174854,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.9374,-7.87E-008,-3.935E-010
174855,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.1507,-1.995E-007,-0.000000001
174856,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.2986,-0.000000331,-1.655E-009
174857,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.4592,-4.065E-007,-0.000000002
174858,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.5676,-3.917E-007,-0.000000002
174859,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.6576,-3.625E-007,-1.8125E-009
