,Component,SMILES,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary
68,cycloheptanol,OC1CCCCCC1,222.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"1,8-octanediol",OCCCCCCCCO,220.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"1,3-butanediol",CC(O)CCO,218.0,0.0,204.0,0.0,0.0,0.0,14.0
71,"1,4-butanediol",OCCCCO,215.0,0.0,196.0,0.0,36.0,239.0,163.0
72,neopentyl alcohol,CC(C)(C)CO,213.0,0.0,0.0,0.0,0.0,0.0,0.0
73,.alpha.-toluenol,OCc1ccccc1,210.0,0.0,0.0,0.0,48.0,0.0,0.0
74,"2-methyl-1,3-propanediol",CC(CO)CO,209.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"1,3-dioxolane",C1COCO1,204.0,0.0,148.0,0.0,0.0,0.0,0.0
76,butan-2-ol,CCC(C)O,202.0,0.0,136.0,0.0,85.0,0.0,0.0
77,"3,6-dioxaoctane",CCOCCOCC,196.0,0.0,0.0,0.0,17.0,0.0,0.0
78,ribitol,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,193.0,0.0,0.0,0.0,0.0,0.0,0.0
79,cyclohexylmethanol,OCC1CCCCC1,176.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2-cyclohexylethanol,OCCC1CCCCC1,175.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2-methyl-1-butanol,CCC(C)CO,173.0,15.0,56.0,0.0,0.0,0.0,0.0
82,diethoxymethane,CCOCOCC,173.0,0.0,0.0,0.0,0.0,0.0,0.0
83,3-methylphenol,Cc1cccc(O)c1,164.0,3.0,32.0,0.0,0.0,0.0,0.0
84,4-methylphenol,Cc1ccc(O)cc1,164.0,0.0,32.0,0.0,0.0,0.0,0.0
85,butane,CCCC,163.0,21.0,0.0,0.0,0.0,0.0,0.0
86,1-butoxy-2-propanol,CCCCOCC(C)O,160.0,0.0,160.0,0.0,0.0,0.0,0.0
87,propane,CCC,157.0,21.0,0.0,0.0,0.0,0.0,0.0
88,"2,2-dimethyl-1,3-propanediol",CC(C)(CO)CO,156.0,0.0,0.0,0.0,0.0,0.0,0.0
89,cyclooctanol,OC1CCCCCCC1,156.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"ethanol, 2-propoxy-",CCCOCCO,151.0,0.0,73.0,78.0,0.0,0.0,0.0
91,"1,3-benzenediol",Oc1cccc(O)c1,142.0,0.0,35.0,0.0,0.0,0.0,0.0
92,"3-methylpentane-1,5-diol",CC(CCO)CCO,138.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"ether, methyl tert-pentyl",CCC(C)(C)OC,136.0,0.0,21.0,0.0,0.0,0.0,19.0
94,methyl alcohol,CO,129.0,0.0,0.0,105.0,87.0,0.0,0.0
95,2-pentanol,CCCC(C)O,126.0,13.0,39.0,0.0,84.0,0.0,0.0
96,2-ethyl-1-hexanol,CCCCC(CC)CO,116.0,0.0,58.0,0.0,0.0,0.0,0.0
97,"2,5-hexanediol",CC(O)CCC(C)O,114.0,0.0,0.0,0.0,0.0,0.0,0.0
98,isobutylbenzene,CC(C)Cc1ccccc1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
99,tetralin,C1CCc2ccccc2C1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"1,2-hexanediol",CCCCC(O)CO,96.0,0.0,0.0,0.0,0.0,53.0,60.0
101,2-hexanol,CCCCC(C)O,90.0,0.0,42.0,0.0,0.0,0.0,0.0
102,benzyl alcohol,OCc1ccccc1,90.0,0.0,156.0,0.0,128.0,0.0,0.0
103,isopropyl ether,CC(C)OC(C)C,88.0,0.0,97.0,0.0,101.0,0.0,0.0
104,"3,6-dioxa-1-octanol",CCOCCOCCO,84.0,0.0,76.0,0.0,17.0,0.0,0.0
105,"1,2,4-trimethylbenzene",CC1=CC(=C(C)C=C1)C,84.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"1,5-hexanediol",CC(O)CCCCO,75.0,0.0,0.0,0.0,0.0,0.0,0.0
107,ethylcyclohexane,CCC1CCCCC1,66.0,0.0,0.0,0.0,0.0,0.0,0.0
108,butylcyclohexane,CCCCC1CCCCC1,66.0,0.0,0.0,0.0,0.0,0.0,0.0
109,"1,2,4-trimethylcyclohexane",CC1CCC(C)C(C)C1,66.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2-octanol,CCCCCCC(C)O,55.0,0.0,42.0,0.0,0.0,0.0,0.0
111,tetrole,o1cccc1,54.0,9.0,0.0,0.0,0.0,0.0,0.0
112,"ethanol, 2-ethoxy-",CCOCCO,47.0,0.0,27.0,0.0,117.0,0.0,0.0
113,2-(2-methylpropoxy)ethanol,CC(C)COCCO,45.0,0.0,45.0,0.0,0.0,0.0,0.0
114,ethane,CC,44.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2-ethoxyethanol,CCOCCO,44.0,0.0,44.0,0.0,104.0,0.0,0.0
116,2-heptanol,CCCCCC(C)O,42.0,0.0,42.0,0.0,0.0,0.0,0.0
117,xyliton,OC[C@H](O)C(O)[C@H](O)CO,40.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"1,2-benzenediol",Oc1ccccc1O,40.0,0.0,40.0,0.0,0.0,0.0,0.0
119,triethylene glycol,OCCOCCOCCO,39.0,12.0,0.0,39.0,0.0,0.0,0.0
120,methane,C,37.0,0.0,0.0,0.0,0.0,0.0,0.0
121,ethoxybenzene,CCOc1ccccc1,37.0,0.0,0.0,0.0,51.0,0.0,0.0
122,2-methylphenol,Cc1ccccc1O,32.0,3.0,32.0,0.0,0.0,0.0,0.0
123,"furfuryl alcohol, tetrahydro-",OCC1CCCO1,30.0,0.0,30.0,0.0,0.0,0.0,0.0
124,ethyl tert-pentyl ether,CCOC(C)(C)CC,27.0,0.0,0.0,0.0,27.0,0.0,0.0
125,2-methyltetrahydrofuran,CC1CCCO1,27.0,0.0,45.0,0.0,44.0,0.0,0.0
126,"3,6-dioxa-1,8-octanediol",OCCOCCOCCO,26.0,35.0,0.0,0.0,0.0,0.0,0.0
127,3-phenyl-1-propanol,OCCCc1ccccc1,24.0,0.0,0.0,0.0,34.0,0.0,0.0
128,2-hydroxymethylfuran,OCc1occc1,24.0,0.0,24.0,0.0,0.0,0.0,0.0
129,"2,3-butanediol",CC(O)C(C)O,24.0,0.0,0.0,0.0,0.0,0.0,14.0
130,phenol,Oc1ccccc1,23.0,0.0,0.0,0.0,0.0,0.0,0.0
131,butylbenzene,CCCCc1ccccc1,22.0,0.0,0.0,0.0,0.0,0.0,0.0
132,propylbenzene,CCCc1ccccc1,22.0,0.0,0.0,0.0,0.0,0.0,0.0
133,diethyl ether,CCOCC,22.0,0.0,23.0,0.0,0.0,0.0,0.0
134,"2,5-dimethylfuran",Cc1oc(C)cc1,18.0,0.0,0.0,0.0,0.0,0.0,0.0
135,dipropylene glycol monomethyl ether,COC(C)COC(C)CO,18.0,0.0,18.0,0.0,0.0,0.0,0.0
136,2-isopropoxyethanol,CC(C)OCCO,18.0,0.0,18.0,0.0,0.0,0.0,0.0
137,naphthalene,c1ccc2ccccc2c1,10.0,2.0,10.0,0.0,0.0,0.0,0.0
138,glycidol,OCC1CO1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
139,methoxymethane,COC,0.0,23.0,0.0,0.0,76.0,0.0,0.0
140,2-methylpropane,CC(C)C,0.0,21.0,0.0,0.0,0.0,0.0,0.0
141,3-pentanol,CCC(O)CC,0.0,11.0,0.0,0.0,0.0,0.0,0.0
142,3-methyl-2-butanol,CC(C)C(C)O,0.0,10.0,0.0,0.0,0.0,0.0,0.0
143,o-xylene,Cc1ccccc1C,0.0,9.0,0.0,0.0,0.0,0.0,0.0
144,cycloheptane,C1CCCCCC1,0.0,6.0,0.0,0.0,0.0,0.0,0.0
145,"butane, 2-ethoxy-2-methyl-",CCOC(C)(C)CC,0.0,4.0,0.0,0.0,0.0,0.0,0.0
146,tert-amyl methyl ether,CCC(C)(C)OC,0.0,4.0,0.0,0.0,0.0,0.0,0.0
147,p-cymene,CC(C)c1ccc(C)cc1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
148,methylcyclopentane,CC1CCCC1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149,"1,2,3,4-tetrahydronaphthalene",C1CCc2ccccc2C1,0.0,0.0,9.0,0.0,0.0,0.0,0.0
150,cyclohexyl alcohol,OC1CCCCC1,0.0,0.0,0.0,0.0,68.0,0.0,0.0
151,diisopropyl,CC(C)C(C)C,0.0,0.0,0.0,0.0,63.0,0.0,0.0
152,neohexane,CCC(C)(C)C,0.0,0.0,0.0,0.0,62.0,0.0,0.0
153,"ether, dipropyl",CCCOCCC,0.0,0.0,0.0,0.0,59.0,0.0,0.0
154,1-methoxy-2-propanol,COCC(C)O,0.0,0.0,0.0,0.0,38.0,0.0,0.0
155,dipropyl ether,CCCOCCC,0.0,0.0,0.0,0.0,20.0,0.0,0.0
156,epoxypropane,CC1CO1,0.0,0.0,0.0,0.0,19.0,0.0,0.0
157,2-methylpentane,CCCC(C)C,0.0,0.0,0.0,0.0,19.0,0.0,0.0
