,Component,SMILES,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary
0,water,O,10916.0,122.0,964.0,34.0,376.0,390.0,578.0
1,ethanol,CCO,4585.0,11.0,408.0,105.0,507.0,0.0,23.0
2,heptane,CCCCCCC,3328.0,8.0,560.0,64.0,202.0,0.0,14.0
3,octane,CCCCCCCC,3184.0,13.0,226.0,90.0,110.0,0.0,0.0
4,1-butanol,CCCCO,2773.0,8.0,897.0,105.0,581.0,130.0,71.0
5,toluene,Cc1ccccc1,2663.0,29.0,660.0,0.0,158.0,0.0,14.0
6,cyclohexane,C1CCCCC1,2548.0,7.0,520.0,0.0,336.0,0.0,14.0
7,2-propanol,CC(C)O,2433.0,6.0,418.0,105.0,139.0,0.0,0.0
8,1-propanol,CCCO,2428.0,6.0,430.0,0.0,118.0,0.0,0.0
9,methyl tert-butyl ether,COC(C)(C)C,2321.0,4.0,838.0,0.0,140.0,0.0,0.0
10,benzene,c1ccccc1,2314.0,24.0,393.0,0.0,229.0,0.0,14.0
11,nonane,CCCCCCCCC,1719.0,11.0,38.0,132.0,79.0,0.0,0.0
12,methylcyclohexane,CC1CCCCC1,1478.0,1.0,354.0,0.0,76.0,0.0,0.0
13,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,1370.0,0.0,261.0,0.0,156.0,0.0,0.0
14,1-heptanol,CCCCCCCO,1293.0,0.0,235.0,0.0,21.0,0.0,0.0
15,dibutyl ether,CCCCOCCCC,1271.0,0.0,349.0,90.0,576.0,0.0,0.0
16,"1,4-dimethylbenzene",Cc1ccc(C)cc1,1259.0,22.0,600.0,0.0,14.0,0.0,14.0
17,2-methyl-2-propanol,CC(C)(C)O,1168.0,0.0,45.0,0.0,0.0,0.0,0.0
18,decane,CCCCCCCCCC,1102.0,6.0,145.0,0.0,60.0,0.0,0.0
19,tert-butyl ethyl ether,CCOC(C)(C)C,1048.0,4.0,819.0,0.0,0.0,0.0,0.0
20,n-decane,CCCCCCCCCC,931.0,5.0,0.0,0.0,20.0,0.0,0.0
21,glycerol,OCC(O)CO,860.0,10.0,0.0,8.0,0.0,0.0,0.0
22,methanol,CO,853.0,5.0,31.0,515.0,210.0,0.0,0.0
23,1-octanol,CCCCCCCCO,812.0,0.0,476.0,0.0,32.0,0.0,0.0
24,2-butoxyethanol,CCCCOCCO,781.0,0.0,562.0,0.0,38.0,0.0,0.0
25,1-hexanol,CCCCCCO,729.0,0.0,204.0,0.0,31.0,0.0,0.0
26,1-pentanol,CCCCCO,670.0,0.0,89.0,90.0,299.0,0.0,0.0
27,"1,2-propanediol",CC(O)CO,669.0,10.0,0.0,8.0,97.0,85.0,114.0
28,"1,2-dimethylbenzene",Cc1ccccc1C,663.0,10.0,592.0,0.0,29.0,0.0,14.0
29,"1,3-dimethylbenzene",Cc1cccc(C)c1,660.0,18.0,557.0,0.0,25.0,0.0,14.0
30,hexane,CCCCCC,651.0,14.0,223.0,0.0,157.0,0.0,87.0
31,"1,2-ethanediol",OCCO,615.0,6.0,87.0,10.0,0.0,79.0,135.0
32,1-nonanol,CCCCCCCCCO,613.0,0.0,405.0,0.0,28.0,0.0,0.0
33,bis(2-hydroxyethyl) ether,OCCOCCO,588.0,48.0,0.0,39.0,0.0,0.0,0.0
34,2-methoxyethanol,COCCO,517.0,17.0,306.0,0.0,0.0,0.0,0.0
35,ethylbenzene,CCc1ccccc1,494.0,8.0,242.0,0.0,0.0,0.0,0.0
36,"1,2-dimethoxyethane",COCCOC,488.0,0.0,0.0,97.0,17.0,0.0,0.0
37,pentane,CCCCC,483.0,6.0,0.0,0.0,0.0,0.0,0.0
38,methoxybenzene,COc1ccccc1,466.0,0.0,109.0,0.0,51.0,0.0,0.0
39,tetrahydrofuran,C1CCOC1,457.0,0.0,116.0,0.0,98.0,0.0,39.0
40,isooctane,CCCCCC(C)C,413.0,0.0,72.0,0.0,42.0,0.0,0.0
41,cyclopentane,C1CCCC1,412.0,6.0,398.0,0.0,63.0,0.0,0.0
42,"1,3-propanediol",OCCCO,406.0,13.0,132.0,8.0,36.0,64.0,104.0
43,2-methyl-1-propanol,CC(C)CO,399.0,0.0,71.0,105.0,31.0,0.0,0.0
44,n-propyl alcohol,CCCO,357.0,0.0,66.0,105.0,84.0,0.0,0.0
45,exo-tetrahydrodicyclopentadiene,C1CC2C3CCC(C3)C2C1,352.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2-phenylethanol,OCCc1ccccc1,349.0,0.0,198.0,0.0,34.0,0.0,0.0
47,amylcarbinol,CCCCCCO,344.0,0.0,96.0,0.0,19.0,0.0,0.0
48,"1,1,1-trimethanolethane",CC(CO)(CO)CO,324.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2-(2-methoxyethoxy)ethanol,COCCOCCO,320.0,0.0,140.0,0.0,0.0,0.0,0.0
50,1-propoxy-2-propanol,CCCOCC(C)O,318.0,0.0,145.0,0.0,0.0,0.0,0.0
51,tetrahydropyran,C1CCOCC1,289.0,0.0,254.0,0.0,218.0,0.0,112.0
52,cyclopentanol,OC1CCCC1,287.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,285.0,0.0,115.0,0.0,0.0,0.0,0.0
54,cyclohexanol,OC1CCCCC1,280.0,0.0,15.0,0.0,0.0,0.0,0.0
55,"1,2-butanediol",CCC(O)CO,278.0,0.0,277.0,0.0,0.0,0.0,14.0
56,cis-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,278.0,0.0,9.0,0.0,0.0,0.0,0.0
57,trans-decalin,C1CC[C@@H]2CCCC[C@H]2C1,278.0,0.0,0.0,0.0,0.0,0.0,0.0
58,cyclooctane,C1CCCCCCC1,271.0,7.0,144.0,0.0,0.0,0.0,0.0
59,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol",CCC(CO)(CO)CO,270.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"1,5-pentanediol",OCCCCCO,269.0,0.0,0.0,0.0,0.0,0.0,0.0
61,tert-butanol,CC(C)(C)O,267.0,0.0,132.0,95.0,0.0,0.0,0.0
62,"2,5,8-trioxanonane",COCCOCCOC,257.0,0.0,18.0,99.0,0.0,0.0,0.0
63,"1,6-hexanediol",OCCCCCCO,255.0,0.0,0.0,0.0,0.0,0.0,0.0
64,pentaerythritol,OCC(CO)(CO)CO,249.0,0.0,22.0,0.0,0.0,0.0,0.0
65,2-methyl-2-butanol,CCC(C)(C)O,248.0,16.0,450.0,0.0,98.0,0.0,39.0
66,"1,4-dioxane",C1COCCO1,241.0,0.0,243.0,0.0,47.0,0.0,0.0
67,3-methyl-1-butanol,CC(C)CCO,235.0,15.0,52.0,0.0,0.0,0.0,0.0
