,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
69,"3-methylpentane-1,5-diol__water",138.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1-butanol__benzene,138.0,0.0,0.0,0.0,51.0,0.0,0.0
71,.beta.-butylene glycol__water,138.0,0.0,138.0,0.0,0.0,0.0,0.0
72,pentane__nonane,138.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1-propanol__benzene,131.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2-phenylethanol__2-propanol,129.0,0.0,66.0,0.0,0.0,0.0,0.0
75,"1-heptanol__1,4-dioxane",126.0,0.0,126.0,0.0,0.0,0.0,0.0
76,methanol__benzene,121.0,0.0,0.0,0.0,0.0,0.0,0.0
77,ethanol__2-methyl-1-butanol,116.0,0.0,18.0,0.0,0.0,0.0,0.0
78,"2,5-hexanediol__water",114.0,0.0,0.0,0.0,0.0,0.0,0.0
79,pentane__n-octane,114.0,0.0,0.0,0.0,0.0,0.0,0.0
80,ethanol__cyclohexane,111.0,0.0,39.0,0.0,0.0,0.0,0.0
81,"1-propanol__2,2,4-trimethylpentane",108.0,0.0,0.0,0.0,0.0,0.0,0.0
82,pentane__heptane,107.0,0.0,0.0,0.0,0.0,0.0,0.0
83,glycerin__water,107.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"1,3-propanediol__water",106.0,0.0,0.0,8.0,36.0,64.0,90.0
85,propylene glycol__water,106.0,0.0,0.0,0.0,0.0,0.0,0.0
86,methanol__ethylbenzene,105.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2-methoxyethanol__tert-butyl ethyl ether,105.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2-(2-methoxyethoxy)ethanol__tert-butyl ethyl ether,105.0,0.0,0.0,0.0,0.0,0.0,0.0
89,tert-pentyl alcohol__heptane,102.0,0.0,450.0,0.0,0.0,0.0,0.0
90,pentane__hexane,100.0,0.0,0.0,0.0,0.0,0.0,0.0
91,tetralin__isobutylbenzene,100.0,0.0,0.0,0.0,0.0,0.0,0.0
92,heptane__methyl tert-butyl ether,99.0,0.0,0.0,0.0,0.0,0.0,0.0
93,ethanol__3-methyl-1-butanol,98.0,0.0,0.0,0.0,0.0,0.0,0.0
94,ethanol__2-methyl-2-butanol,98.0,0.0,0.0,0.0,0.0,0.0,0.0
95,"1,2-hexanediol__water",96.0,0.0,0.0,0.0,0.0,53.0,60.0
96,"1-butanol__2,2,4-trimethylpentane",93.0,0.0,80.0,0.0,38.0,0.0,0.0
97,toluene__cyclohexane,93.0,0.0,39.0,0.0,0.0,0.0,0.0
98,"1,2-dimethoxyethane__water",93.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"benzene__2,2,4-trimethylpentane",92.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2-(2-methoxyethoxy)ethanol__water,91.0,0.0,16.0,0.0,0.0,0.0,0.0
101,oxacyclopentane__water,90.0,0.0,0.0,0.0,0.0,0.0,0.0
102,ethyl alcohol__n-butyl alcohol,88.0,0.0,0.0,0.0,0.0,0.0,0.0
103,"glycerol__1,2-propanediol",88.0,0.0,0.0,0.0,0.0,0.0,0.0
104,"glycerol__1,3-propanediol",88.0,0.0,0.0,0.0,0.0,0.0,0.0
105,toluene__octane,88.0,0.0,13.0,0.0,0.0,0.0,0.0
106,glycerol__2-propanol,88.0,0.0,0.0,0.0,0.0,0.0,0.0
107,ethyl alcohol__pentan-1-ol,88.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1-butanol__toluene,88.0,0.0,88.0,0.0,38.0,0.0,0.0
109,ethyl alcohol__propan-1-ol,88.0,0.0,0.0,0.0,0.0,0.0,0.0
110,glycerol__1-propanol,88.0,0.0,0.0,0.0,0.0,0.0,0.0
111,methylcyclohexane__toluene,85.0,0.0,50.0,0.0,0.0,0.0,0.0
112,"1,2-dihydroxyethane__water",85.0,0.0,0.0,0.0,0.0,0.0,0.0
113,benzene__methylcyclohexane,85.0,0.0,50.0,0.0,0.0,0.0,0.0
114,"2-propanol__pentane, 2,2,4-trimethyl-",84.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"tetrahydropyran__pentane, 2,2,4-trimethyl-",84.0,0.0,0.0,0.0,0.0,0.0,0.0
