,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
290,"2-butoxyethanol__1-butanol, 3-methyl-",33.0,0.0,11.0,0.0,0.0,0.0,0.0
291,1-propanol__methylcyclohexane,33.0,0.0,11.0,0.0,0.0,0.0,0.0
292,1-butanol__methoxybenzene,33.0,0.0,11.0,0.0,0.0,0.0,0.0
293,"1,2-propanediol__1,2-ethanediol",33.0,0.0,0.0,0.0,0.0,0.0,0.0
294,methoxybenzene__methylcyclohexane,33.0,0.0,11.0,0.0,0.0,0.0,0.0
295,1-pentanol__methoxybenzene,33.0,0.0,11.0,0.0,0.0,0.0,0.0
296,2-methyl-1-propanol__methylcyclohexane,33.0,0.0,11.0,0.0,0.0,0.0,0.0
297,methylcyclohexane__3-methyl-1-butanol,33.0,0.0,11.0,0.0,0.0,0.0,0.0
298,2-propanol__methoxybenzene,33.0,0.0,11.0,0.0,0.0,0.0,0.0
299,2-propanol__methylcyclohexane,33.0,0.0,11.0,0.0,0.0,0.0,0.0
300,1-propanol__methoxybenzene,33.0,0.0,11.0,0.0,0.0,0.0,0.0
301,ethanol__methoxybenzene,33.0,0.0,11.0,0.0,0.0,0.0,0.0
302,"1,2-propanediol__1,3-propanediol",33.0,0.0,0.0,0.0,0.0,0.0,0.0
303,"1,4-dimethylbenzene__1,2-dimethoxyethane",33.0,0.0,0.0,0.0,0.0,0.0,0.0
304,methylcyclohexane__exo-tetrahydrodicyclopentadiene,33.0,0.0,0.0,0.0,0.0,0.0,0.0
305,1-butanol__methylcyclohexane,33.0,0.0,11.0,0.0,38.0,0.0,0.0
306,methoxybenzene__3-methyl-1-butanol,33.0,0.0,11.0,0.0,0.0,0.0,0.0
307,dimethylglycol__heptane,33.0,0.0,0.0,31.0,0.0,0.0,0.0
308,"1,2-propanediol__pentylcarbinol",33.0,0.0,0.0,0.0,0.0,0.0,0.0
309,"1,2-ethanediol__1,3-propanediol",33.0,0.0,0.0,0.0,0.0,0.0,0.0
310,1-propanol__isopropyl ether,32.0,0.0,21.0,0.0,0.0,0.0,0.0
311,3-methylphenol__1-nonanol,32.0,0.0,32.0,0.0,0.0,0.0,0.0
312,2-methylphenol__1-nonanol,32.0,0.0,32.0,0.0,0.0,0.0,0.0
313,methyl phenyl ether__1-nonanol,32.0,0.0,32.0,0.0,0.0,0.0,0.0
314,4-methylphenol__1-nonanol,32.0,0.0,32.0,0.0,0.0,0.0,0.0
315,"1,3-dimethylbenzene__hexane",31.0,0.0,0.0,0.0,0.0,0.0,0.0
316,xylitol__water,30.0,0.0,0.0,0.0,0.0,0.0,0.0
317,propan-1-ol__water,30.0,0.0,0.0,0.0,0.0,0.0,0.0
318,"1,2-propanediol__1-heptanol",30.0,0.0,0.0,0.0,0.0,0.0,0.0
319,"furfuryl alcohol, tetrahydro-__water",30.0,0.0,30.0,0.0,0.0,0.0,0.0
320,1-butanol__2-methyltetrahydrofuran,27.0,0.0,34.0,0.0,33.0,0.0,0.0
321,tetrole__n-hexane,27.0,0.0,0.0,0.0,0.0,0.0,0.0
322,"1,2-dimethylbenzene__hexane",27.0,0.0,0.0,0.0,0.0,0.0,0.0
323,phenylmethane__tetrole,27.0,0.0,0.0,0.0,0.0,0.0,0.0
324,"1,3-dimethylbenzene__cyclooctane",27.0,0.0,27.0,0.0,0.0,0.0,0.0
325,"1,2-dimethylbenzene__methylcyclohexane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
326,"1,3-dimethylbenzene__methylcyclohexane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
327,"1,4-dimethylbenzene__cyclopentane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
328,"1,2-dimethylbenzene__cyclohexane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
329,"1,3-dimethylbenzene__cyclopentane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
330,"1,2-dimethylbenzene__cyclooctane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
331,"1,3,5-trimethylbenzene__cyclopentane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
332,"1,3,5-trimethylbenzene__cyclohexane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
333,"1,2-ethanediol__water",26.0,0.0,0.0,10.0,0.0,79.0,135.0
334,"1,3,5-trimethylbenzene__cyclooctane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
335,1-pentanol__cyclopentane,26.0,0.0,0.0,0.0,10.0,0.0,0.0
336,"1,3-dimethylbenzene__cyclohexane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
337,"1,4-dimethylbenzene__cyclooctane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
338,"1,2-dimethylbenzene__cyclopentane",26.0,0.0,26.0,0.0,0.0,0.0,0.0
339,n-propyl alcohol__water,25.0,0.0,0.0,0.0,0.0,0.0,0.0
340,"propan-1-ol__1,3-benzenediol",25.0,0.0,0.0,0.0,0.0,0.0,0.0
341,"butan-1-ol__1,3-benzenediol",25.0,0.0,0.0,0.0,0.0,0.0,0.0
342,1-heptanol__cyclopentane,24.0,0.0,0.0,0.0,11.0,0.0,0.0
343,methanol__toluene,24.0,0.0,0.0,0.0,0.0,0.0,0.0
344,2-hydroxymethylfuran__water,24.0,0.0,24.0,0.0,0.0,0.0,0.0
345,2-ethoxyethanol__water,24.0,0.0,0.0,0.0,0.0,0.0,0.0
346,ethanol__isopropyl ether,24.0,0.0,0.0,0.0,19.0,0.0,0.0
347,2-n-butoxyethanol__water,24.0,0.0,0.0,0.0,0.0,0.0,0.0
348,D-(+)-arabitol__water,24.0,0.0,0.0,0.0,0.0,0.0,0.0
349,"3,6-dioxa-1-octanol__water",24.0,0.0,16.0,0.0,0.0,0.0,0.0
350,ethylbenzene__hexane,24.0,0.0,13.0,0.0,0.0,0.0,0.0
351,toluene__nonane,23.0,0.0,12.0,0.0,0.0,0.0,0.0
352,ethylene glycol__1-nonanol,22.0,0.0,0.0,0.0,0.0,0.0,0.0
353,benzene__methoxybenzene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
354,"1,2-propanediol__water",22.0,0.0,0.0,8.0,36.0,85.0,114.0
355,methoxybenzene__butylbenzene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
356,benzene__toluene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
357,"1,3-dimethylbenzene__pentylcarbinol",22.0,0.0,0.0,0.0,0.0,0.0,0.0
358,methoxybenzene__toluene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
359,benzene__ethylbenzene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
360,heptane__cyclooctane,22.0,0.0,0.0,0.0,0.0,0.0,0.0
361,ethylbenzene__methoxybenzene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
362,1-propanol__1-heptanol,22.0,0.0,0.0,0.0,0.0,0.0,0.0
363,"1,2-dimethylbenzene__pentylcarbinol",22.0,0.0,0.0,0.0,0.0,0.0,0.0
364,methoxybenzene__propylbenzene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
365,1-heptanol__1-nonanol,22.0,0.0,0.0,0.0,0.0,0.0,0.0
366,ethylbenzene__toluene,22.0,0.0,0.0,0.0,0.0,0.0,0.0
367,1-propanol__1-pentanol,22.0,0.0,0.0,0.0,0.0,0.0,0.0
368,1-propanol__1-nonanol,22.0,0.0,0.0,0.0,0.0,0.0,0.0
369,1-pentanol__1-nonanol,22.0,0.0,0.0,0.0,0.0,0.0,0.0
370,1-pentanol__1-heptanol,22.0,0.0,0.0,0.0,0.0,0.0,0.0
371,ethylene glycol methyl ether__water,21.0,0.0,21.0,0.0,0.0,0.0,0.0
372,1-propanol__tert-amyl methyl ether,21.0,0.0,21.0,0.0,0.0,0.0,0.0
373,1-propanol__methyl tert-butyl ether,21.0,0.0,21.0,0.0,0.0,0.0,0.0
374,glycerol__ethanol,20.0,5.0,0.0,0.0,0.0,0.0,0.0
375,"ethanol__1,3-benzenediol",20.0,0.0,0.0,0.0,0.0,0.0,0.0
376,2-methyl-1-propanol__2-methyl-1-butanol,19.0,0.0,0.0,0.0,0.0,0.0,0.0
377,1-propanol__2-methyl-1-butanol,19.0,0.0,19.0,0.0,0.0,0.0,0.0
378,1-propanol__3-methyl-1-butanol,19.0,0.0,19.0,0.0,0.0,0.0,0.0
379,methanol__2-methyl-1-butanol,19.0,0.0,19.0,0.0,0.0,0.0,0.0
380,2-methyl-1-propanol__3-methyl-1-butanol,19.0,0.0,0.0,0.0,0.0,0.0,0.0
381,1-propanol__tert-butyl ethyl ether,19.0,0.0,0.0,0.0,0.0,0.0,0.0
382,1-pentanol__2-methyl-1-propanol,19.0,0.0,0.0,0.0,0.0,0.0,0.0
383,"hexane__ether, methyl tert-pentyl",19.0,0.0,0.0,0.0,0.0,0.0,19.0
384,ethane__toluene,18.0,0.0,0.0,0.0,0.0,0.0,0.0
385,"n-hexane__2,5-dimethylfuran",18.0,0.0,0.0,0.0,0.0,0.0,0.0
386,water__dipropylene glycol monomethyl ether,18.0,0.0,18.0,0.0,0.0,0.0,0.0
387,2-isopropoxyethanol__water,18.0,0.0,18.0,0.0,0.0,0.0,0.0
388,methanol__dioxane,16.0,0.0,0.0,0.0,0.0,0.0,0.0
389,2-methyl-1-propanol__hexane,16.0,0.0,16.0,0.0,0.0,0.0,0.0
390,2-methyl-1-propanol__decane,16.0,0.0,16.0,0.0,0.0,0.0,0.0
391,2-methyl-1-propanol__octane,16.0,0.0,16.0,0.0,0.0,0.0,0.0
392,methane__pentane,15.0,0.0,0.0,0.0,0.0,0.0,0.0
393,"1,2-butanediol__water",14.0,0.0,0.0,0.0,0.0,0.0,14.0
394,trimethylene glycol__water,14.0,0.0,0.0,0.0,0.0,0.0,14.0
395,"2,3-butanediol__water",14.0,0.0,0.0,0.0,0.0,0.0,14.0
396,"butane, 1,4-dihydroxy-__water",14.0,0.0,0.0,0.0,0.0,0.0,14.0
397,"1,3-butanediol__water",14.0,0.0,0.0,0.0,0.0,0.0,14.0
398,2-ethyl-1-hexanol__1-nonanol,14.0,0.0,0.0,0.0,0.0,0.0,0.0
399,2-phenylethanol__ethoxybenzene,13.0,0.0,0.0,0.0,17.0,0.0,0.0
400,ethylbenzene__octane,13.0,0.0,13.0,0.0,0.0,0.0,0.0
401,ethanol__oxane,13.0,0.0,0.0,0.0,0.0,0.0,0.0
402,cyclohexane__octane,13.0,0.0,0.0,0.0,16.0,0.0,0.0
403,toluene__cyclopentane,13.0,0.0,13.0,0.0,0.0,0.0,0.0
404,ethylene glycol__1-heptanol,13.0,0.0,12.0,0.0,0.0,0.0,0.0
405,1-octanol__2-octanol,13.0,0.0,0.0,0.0,0.0,0.0,0.0
406,ethylbenzene__cyclopentane,13.0,0.0,13.0,0.0,0.0,0.0,0.0
407,ethylbenzene__nonane,13.0,0.0,13.0,0.0,0.0,0.0,0.0
408,"isopropyl ether__2,2,4-trimethylpentane",13.0,0.0,10.0,0.0,19.0,0.0,0.0
409,anisole__phenol,13.0,0.0,0.0,0.0,0.0,0.0,0.0
410,benzene__cyclopentane,13.0,0.0,13.0,0.0,0.0,0.0,0.0
411,2-ethyl-1-hexanol__1-heptanol,13.0,0.0,0.0,0.0,0.0,0.0,0.0
412,benzyl alcohol__ethoxybenzene,12.0,0.0,0.0,0.0,17.0,0.0,0.0
413,isobutanol__water,12.0,0.0,12.0,0.0,0.0,0.0,0.0
414,benzene__hexane,12.0,0.0,12.0,0.0,0.0,0.0,0.0
415,"1,3-dioxolane__water",12.0,0.0,0.0,0.0,0.0,0.0,0.0
416,2-ethyl-1-hexanol__ethylene glycol,12.0,0.0,10.0,0.0,0.0,0.0,0.0
417,benzyl alcohol__methoxybenzene,12.0,0.0,0.0,0.0,17.0,0.0,0.0
418,"ethanol, 2-ethoxy-__water",12.0,0.0,16.0,0.0,0.0,0.0,0.0
419,2-phenylethanol__methoxybenzene,12.0,0.0,0.0,0.0,17.0,0.0,0.0
420,ethoxybenzene__3-phenyl-1-propanol,12.0,0.0,0.0,0.0,17.0,0.0,0.0
421,2-propanol__methane,12.0,0.0,0.0,0.0,0.0,0.0,0.0
422,methoxybenzene__3-phenyl-1-propanol,12.0,0.0,0.0,0.0,17.0,0.0,0.0
423,methanol__tetrahydrofuran,12.0,0.0,0.0,0.0,0.0,0.0,0.0
424,"ethane, 1,1'-oxybis-__1,3-dioxolane",11.0,0.0,12.0,0.0,0.0,0.0,0.0
425,"ethane, 1,1'-oxybis-__pentan-1-ol",11.0,0.0,11.0,0.0,0.0,0.0,0.0
426,"2-methoxyethanol__1,3-dioxolane",11.0,0.0,11.0,0.0,0.0,0.0,0.0
427,benzene__2-methoxyethanol,11.0,0.0,0.0,0.0,0.0,0.0,0.0
428,benzene__methyl tert-butyl ether,11.0,0.0,0.0,0.0,0.0,0.0,0.0
429,benzene__dibutyl ether,11.0,0.0,0.0,0.0,0.0,0.0,0.0
430,methanol__anisol,11.0,0.0,0.0,0.0,0.0,0.0,0.0
431,"pentan-1-ol__1,3-dioxolane",11.0,0.0,11.0,0.0,0.0,0.0,0.0
432,"ethanol, 2-ethoxy-__1,3-dioxolane",11.0,0.0,11.0,0.0,0.0,0.0,0.0
433,"2-butoxyethanol__1,3-dioxolane",11.0,0.0,11.0,0.0,0.0,0.0,0.0
434,isopropyl ether__toluene,11.0,0.0,0.0,0.0,10.0,0.0,0.0
435,toluene__2-methoxyethanol,11.0,0.0,0.0,0.0,0.0,0.0,0.0
436,p-xylene__2-methoxyethanol,11.0,0.0,0.0,0.0,0.0,0.0,0.0
437,ethanol__dibutyl ether,11.0,0.0,0.0,0.0,0.0,0.0,0.0
438,ethanol__ethylene glycol,10.0,0.0,10.0,0.0,0.0,0.0,0.0
439,1-pentanol__2-ethyl-1-hexanol,10.0,0.0,0.0,0.0,0.0,0.0,0.0
440,"1,4-dioxane__water",10.0,0.0,18.0,0.0,0.0,0.0,0.0
441,phenol__1-octanol,10.0,0.0,0.0,0.0,0.0,0.0,0.0
442,"2-ethyl-1-hexanol__2,3-butanediol",10.0,0.0,0.0,0.0,0.0,0.0,0.0
443,2-propanol__ethane,10.0,0.0,0.0,0.0,0.0,0.0,0.0
444,ethane__pentane,9.0,0.0,0.0,0.0,0.0,0.0,0.0
445,(RS)-2-butanol__water,9.0,0.0,0.0,0.0,0.0,0.0,0.0
446,2-methyl-2-butanol__ethyl tert-pentyl ether,9.0,0.0,0.0,0.0,9.0,0.0,0.0
447,"2-ethyl-1-hexanol__butane, 1,4-dihydroxy-",9.0,0.0,0.0,0.0,0.0,0.0,0.0
448,butan-2-ol__ethyl tert-pentyl ether,9.0,0.0,0.0,0.0,9.0,0.0,0.0
449,cyclohexane__1-octanol,9.0,0.0,0.0,0.0,0.0,0.0,0.0
450,1-butanol__ethyl tert-pentyl ether,9.0,0.0,0.0,0.0,9.0,0.0,0.0
451,isooctane__methyl tert-butyl ether,9.0,0.0,0.0,0.0,0.0,0.0,0.0
452,"3-oxa-1,5-pentanediol__3,6-dioxa-1,8-octanediol",8.0,0.0,0.0,0.0,0.0,0.0,0.0
453,isopropyl ether__isooctane,8.0,0.0,0.0,0.0,0.0,0.0,0.0
454,"1,2-ethanediol__3-oxa-1,5-pentanediol",8.0,0.0,0.0,0.0,0.0,0.0,0.0
455,ethylene glycol__bis(2-hydroxyethyl) ether,8.0,0.0,0.0,0.0,0.0,0.0,0.0
456,"1,2-ethanediol__3,6-dioxa-1,8-octanediol",8.0,0.0,0.0,0.0,0.0,0.0,0.0
457,methane__butane,6.0,0.0,0.0,0.0,0.0,0.0,0.0
458,"bis(2-hydroxyethyl) ether__3,6-dioxa-1,8-octanediol",5.0,0.0,0.0,0.0,0.0,0.0,0.0
459,"ethylene glycol__3,6-dioxa-1,8-octanediol",5.0,0.0,0.0,0.0,0.0,0.0,0.0
460,methanol__2-methoxyethanol,5.0,0.0,0.0,0.0,0.0,0.0,0.0
461,naphthalene__heptane,5.0,0.0,5.0,0.0,0.0,0.0,0.0
462,naphthalene__cyclohexane,5.0,0.0,5.0,0.0,0.0,0.0,0.0
463,methane__ethane,4.0,0.0,0.0,0.0,0.0,0.0,0.0
464,methanol__ethane,3.0,0.0,0.0,0.0,0.0,0.0,0.0
465,glycidol__water,1.0,0.0,0.0,0.0,0.0,0.0,0.0
466,tert-pentyl alcohol__water,0.0,16.0,0.0,0.0,0.0,0.0,0.0
467,"1-butanol, 3-methyl-__water",0.0,15.0,0.0,0.0,0.0,0.0,0.0
468,2-methyl-1-butanol__water,0.0,15.0,0.0,0.0,0.0,0.0,0.0
469,pentan-2-ol__water,0.0,13.0,0.0,0.0,0.0,0.0,0.0
470,3-pentanol__water,0.0,11.0,0.0,0.0,0.0,0.0,0.0
471,3-methyl-2-butanol__water,0.0,10.0,0.0,0.0,0.0,0.0,0.0
472,furan__water,0.0,9.0,0.0,0.0,0.0,0.0,0.0
473,toluene__methoxymethane,0.0,5.0,0.0,0.0,0.0,0.0,0.0
474,"1,4-dimethylbenzene__butane",0.0,5.0,0.0,0.0,0.0,0.0,0.0
475,"decane__1,3-propanediol",0.0,5.0,0.0,0.0,0.0,0.0,0.0
476,"propane__1,4-dimethylbenzene",0.0,5.0,0.0,0.0,0.0,0.0,0.0
477,"1,2-dimethylbenzene__methoxymethane",0.0,5.0,0.0,0.0,0.0,0.0,0.0
478,"octane__1,3-propanediol",0.0,5.0,0.0,0.0,0.0,0.0,0.0
479,"2-methylpropane__1,4-dimethylbenzene",0.0,5.0,0.0,0.0,0.0,0.0,0.0
480,"1,4-dimethylbenzene__methoxymethane",0.0,5.0,0.0,0.0,0.0,0.0,0.0
481,2-methylpropane__toluene,0.0,4.0,0.0,0.0,0.0,0.0,0.0
482,"butane, 2-ethoxy-2-methyl-__water",0.0,4.0,0.0,0.0,0.0,0.0,0.0
483,"2-methylpropane__1,2-dimethylbenzene",0.0,4.0,0.0,0.0,0.0,0.0,0.0
484,benzene__methoxymethane,0.0,4.0,0.0,0.0,0.0,0.0,0.0
485,"propane__1,2-dimethylbenzene",0.0,4.0,0.0,0.0,0.0,0.0,0.0
486,butane__toluene,0.0,4.0,0.0,0.0,0.0,0.0,0.0
487,benzene__propane,0.0,4.0,0.0,0.0,0.0,0.0,0.0
488,"2-methylpropane__1,3-dimethylbenzene",0.0,4.0,0.0,0.0,0.0,0.0,0.0
489,"1,3-dimethylbenzene__methoxymethane",0.0,4.0,0.0,0.0,0.0,0.0,0.0
490,toluene__water,0.0,4.0,0.0,0.0,0.0,0.0,0.0
491,methyl tert-butyl ether__water,0.0,4.0,0.0,0.0,0.0,0.0,0.0
492,"propane__1,3-dimethylbenzene",0.0,4.0,0.0,0.0,0.0,0.0,0.0
493,"1,2-dimethylbenzene__butane",0.0,4.0,0.0,0.0,0.0,0.0,0.0
494,tert-amyl methyl ether__water,0.0,4.0,0.0,0.0,0.0,0.0,0.0
495,benzene__2-methylpropane,0.0,4.0,0.0,0.0,0.0,0.0,0.0
496,tert-butyl ethyl ether__water,0.0,4.0,0.0,0.0,0.0,0.0,0.0
497,propane__toluene,0.0,4.0,0.0,0.0,0.0,0.0,0.0
498,benzene__butane,0.0,4.0,0.0,0.0,0.0,0.0,0.0
499,"butane__1,3-dimethylbenzene",0.0,4.0,0.0,0.0,0.0,0.0,0.0
500,diethylene glycol__n-nonane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
501,triethylene glycol__n-heptane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
502,n-octane__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
503,n-nonane__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
504,triethylene glycol__cycloheptane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
505,2-propanol__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
506,ethanol__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
507,diethylene glycol__cycloheptane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
508,n-hexane__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
509,diethylene glycol__cyclopentane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
510,cyclohexane__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
511,cyclohexane__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
512,2-propanol__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
513,benzene__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
514,ethylbenzene__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
515,ethylbenzene__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
516,1-propanol__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
517,diethylene glycol__cyclooctane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
518,toluene__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
519,n-pentane__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
520,diethylene glycol__n-heptane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
521,"hexane__1,3-propanediol",0.0,3.0,0.0,0.0,0.0,0.0,0.0
522,n-pentane__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
523,methanol__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
524,1-propanol__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
525,triethylene glycol__cyclooctane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
526,n-hexane__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
527,triethylene glycol__cyclopentane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
528,"1,2-ethanediol__hexane",0.0,3.0,0.0,0.0,0.0,0.0,0.0
529,toluene__triethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
530,diethylene glycol__n-octane,0.0,3.0,0.0,0.0,0.0,0.0,0.0
531,"1,2-ethanediol__decane",0.0,3.0,0.0,0.0,0.0,0.0,0.0
532,ethanol__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
533,benzene__diethylene glycol,0.0,3.0,0.0,0.0,0.0,0.0,0.0
534,methanol__triethylene glycol,0.0,2.0,0.0,0.0,0.0,0.0,0.0
535,2-methylphenol__nonane,0.0,2.0,0.0,0.0,0.0,0.0,0.0
536,3-methylphenol__nonane,0.0,2.0,0.0,0.0,0.0,0.0,0.0
537,methyl cellosolve__n-decane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
538,methylcyclopentane__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
539,propylene glycol__n-octane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
540,methyl cellosolve__cyclohexane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
541,methyl cellosolve__cyclooctane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
542,2-methylphenol__decane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
543,methylcyclohexane__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
544,benzene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
545,m-xylene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
546,propylene glycol__toluene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
547,propylene glycol__benzene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
548,o-xylene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
549,propylene glycol__ethylbenzene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
550,propylene glycol__m-xylene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
551,propylene glycol__naphthalene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
552,3-methylphenol__decane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
553,p-cymene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
554,toluene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
555,naphthalene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
556,propylene glycol__n-heptane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
557,ethylbenzene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
558,p-xylene__methyl cellosolve,0.0,1.0,0.0,0.0,0.0,0.0,0.0
559,methyl cellosolve__n-heptane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
560,methyl cellosolve__n-hexane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
561,propylene glycol__n-hexane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
562,methyl cellosolve__n-nonane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
563,propylene glycol__o-xylene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
564,propylene glycol__p-xylene,0.0,1.0,0.0,0.0,0.0,0.0,0.0
565,methyl cellosolve__n-octane,0.0,1.0,0.0,0.0,0.0,0.0,0.0
566,1-butanol__tetrahydropyran,0.0,0.0,35.0,0.0,33.0,0.0,0.0
567,"1,4-dioxane__cyclopentane",0.0,0.0,33.0,0.0,0.0,0.0,0.0
568,"cyclohexane__1,4-dioxane",0.0,0.0,33.0,0.0,19.0,0.0,0.0
569,"benzene__1,4-dioxane",0.0,0.0,33.0,0.0,0.0,0.0,0.0
570,benzyl alcohol__1-octanol,0.0,0.0,30.0,0.0,0.0,0.0,0.0
571,benzyl alcohol__1-heptanol,0.0,0.0,30.0,0.0,0.0,0.0,0.0
572,benzyl alcohol__1-nonanol,0.0,0.0,30.0,0.0,0.0,0.0,0.0
573,"benzene__1,3-dioxolane",0.0,0.0,27.0,0.0,0.0,0.0,0.0
574,"cyclopentane__1,3-dioxolane",0.0,0.0,27.0,0.0,0.0,0.0,0.0
575,"cyclohexane__1,3-dioxolane",0.0,0.0,27.0,0.0,0.0,0.0,0.0
576,2-methoxyethanol__water,0.0,0.0,16.0,0.0,0.0,0.0,0.0
577,"1,2-dimethylbenzene__tetrahydropyran",0.0,0.0,14.0,0.0,14.0,0.0,14.0
578,n-hexane__tetrahydropyran,0.0,0.0,14.0,0.0,14.0,0.0,14.0
579,"1,3-dimethylbenzene__tetrahydropyran",0.0,0.0,14.0,0.0,14.0,0.0,14.0
580,tetrahydropyran__heptane,0.0,0.0,14.0,0.0,14.0,0.0,14.0
581,"1,4-dimethylbenzene__tetrahydropyran",0.0,0.0,14.0,0.0,14.0,0.0,14.0
582,"1-butanol__1,2-butanediol",0.0,0.0,13.0,0.0,0.0,0.0,0.0
583,cyclohexane__tetrahydropyran,0.0,0.0,13.0,0.0,32.0,0.0,14.0
584,benzene__2-methyltetrahydrofuran,0.0,0.0,11.0,0.0,11.0,0.0,0.0
585,isopropyl ether__hexane,0.0,0.0,10.0,0.0,0.0,0.0,0.0
586,isopropyl ether__heptane,0.0,0.0,10.0,0.0,0.0,0.0,0.0
587,isopropyl ether__octane,0.0,0.0,10.0,0.0,0.0,0.0,0.0
588,isopropyl ether__cyclohexane,0.0,0.0,9.0,0.0,0.0,0.0,0.0
589,isopropyl ether__tetralin,0.0,0.0,9.0,0.0,0.0,0.0,0.0
590,benzene__isopropyl ether,0.0,0.0,9.0,0.0,0.0,0.0,0.0
591,decahydronaphthalene__isopropyl ether,0.0,0.0,9.0,0.0,0.0,0.0,0.0
592,methanol__2-propanol,0.0,0.0,0.0,105.0,0.0,0.0,0.0
593,methanol__2-methyl-1-propanol,0.0,0.0,0.0,105.0,0.0,0.0,0.0
594,methanol__1-butanol,0.0,0.0,0.0,105.0,0.0,0.0,0.0
