,Unnamed: 0,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary
1,1,1-butanol,CCCCO,1327.0,49.0,85.0,11.0,0.0,0.0,0.0,2773.0,8.0,897.0,105.0,581.0,130.0,71.0
2,2,heptane,CCCCCCC,1254.0,39.0,132.0,3.0,12.0,1.0,0.0,3328.0,8.0,560.0,64.0,202.0,0.0,14.0
3,3,ethanol,CCO,1169.0,86.0,91.0,8.0,0.0,0.0,2.0,4585.0,11.0,408.0,105.0,507.0,0.0,23.0
4,4,2-methyl-1-propanol,CC(C)CO,721.0,0.0,15.0,5.0,0.0,0.0,0.0,399.0,0.0,71.0,105.0,31.0,0.0,0.0
5,5,1-hexanol,CCCCCCO,664.0,8.0,64.0,2.0,0.0,0.0,0.0,729.0,0.0,204.0,0.0,31.0,0.0,0.0
6,6,1-propanol,CCCO,659.0,18.0,78.0,7.0,0.0,0.0,0.0,2428.0,6.0,430.0,0.0,118.0,0.0,0.0
8,8,water,O,634.0,54.0,183.0,31.0,0.0,0.0,39.0,10916.0,122.0,964.0,34.0,376.0,390.0,578.0
9,9,methanol,CO,606.0,75.0,142.0,7.0,0.0,0.0,0.0,853.0,5.0,31.0,515.0,210.0,0.0,0.0
10,10,1-pentanol,CCCCCO,396.0,0.0,78.0,10.0,0.0,0.0,0.0,670.0,0.0,89.0,90.0,299.0,0.0,0.0
11,11,cyclohexane,C1CCCCC1,368.0,21.0,55.0,0.0,0.0,11.0,0.0,2548.0,7.0,520.0,0.0,336.0,0.0,14.0
12,12,2-propanol,CC(C)O,357.0,6.0,53.0,5.0,0.0,0.0,0.0,2433.0,6.0,418.0,105.0,139.0,0.0,0.0
20,20,hexane,CCCCCC,196.0,0.0,93.0,0.0,0.0,0.0,0.0,651.0,14.0,223.0,0.0,157.0,0.0,87.0
24,24,2-hexanol,CCCCC(C)O,154.0,0.0,2.0,0.0,0.0,0.0,0.0,90.0,0.0,42.0,0.0,0.0,0.0,0.0
25,25,methylcyclohexane,CC1CCCCC1,142.0,0.0,8.0,0.0,0.0,0.0,0.0,1478.0,1.0,354.0,0.0,76.0,0.0,0.0
27,27,dimethoxymethane,COCOC,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,methoxymethane,COC,108.0,81.0,0.0,145.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,76.0,0.0,0.0
34,34,2-methylheptane,CCCCCC(C)C,107.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,"2,3-dimethylbutane",CC(C)C(C)C,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
