,Mixture,Count
152,2-methoxyethanol__water,16
153,"ethanol, 2-ethoxy-__water",16
154,"3,6-dioxa-1-octanol__water",16
155,2-methyl-1-propanol__octane,16
156,2-(2-methoxyethoxy)ethanol__water,16
157,2-methyl-1-propanol__decane,16
158,cyclohexanol__water,15
159,"1,2-dimethylbenzene__tetrahydropyran",14
160,n-hexane__tetrahydropyran,14
161,"1,3-dimethylbenzene__tetrahydropyran",14
162,tetrahydropyran__heptane,14
163,"1,4-dimethylbenzene__tetrahydropyran",14
164,ethylbenzene__octane,13
165,benzene__cyclooctane,13
166,ethylbenzene__nonane,13
167,ethylbenzene__hexane,13
168,benzene__nonane,13
169,"1-butanol__1,2-butanediol",13
170,toluene__octane,13
171,ethylbenzene__cyclopentane,13
172,ethylbenzene__cyclooctane,13
173,benzene__octane,13
174,benzene__cyclopentane,13
175,cyclohexane__tetrahydropyran,13
176,toluene__cyclooctane,13
177,toluene__cyclopentane,13
178,toluene__heptane,12
179,isobutanol__water,12
180,benzene__hexane,12
181,methylcyclohexane__1-heptanol,12
182,ethylene glycol__1-heptanol,12
183,methanol__water,12
184,ethylbenzene__heptane,12
185,toluene__nonane,12
186,"ethane, 1,1'-oxybis-__1,3-dioxolane",12
187,"ethanol, 2-ethoxy-__1,3-dioxolane",11
188,methoxybenzene__3-methyl-1-butanol,11
189,1-propanol__methoxybenzene,11
190,methoxybenzene__methylcyclohexane,11
191,toluene__hexane,11
192,"pentan-1-ol__1,3-dioxolane",11
193,"2-butoxyethanol__1,3-dioxolane",11
194,2-methyl-1-propanol__methylcyclohexane,11
195,ethanol__methoxybenzene,11
196,"2-propanol__1,3-dioxolane",11
197,"2-butoxyethanol__1-butanol, 3-methyl-",11
198,2-propanol__methylcyclohexane,11
199,benzene__2-methyltetrahydrofuran,11
200,1-butanol__water,11
201,1-butanol__methylcyclohexane,11
202,ethanol__methylcyclohexane,11
203,1-propanol__methylcyclohexane,11
204,1-butanol__methoxybenzene,11
205,methylcyclohexane__3-methyl-1-butanol,11
206,2-propanol__methoxybenzene,11
207,"2-methoxyethanol__1,3-dioxolane",11
208,"ethane, 1,1'-oxybis-__pentan-1-ol",11
209,1-pentanol__methoxybenzene,11
210,isopropyl ether__hexane,10
211,"isopropyl ether__2,2,4-trimethylpentane",10
212,ethanol__ethylene glycol,10
213,2-ethyl-1-hexanol__ethylene glycol,10
214,isopropyl ether__heptane,10
215,isopropyl ether__octane,10
216,isopropyl ether__cyclohexane,9
217,isopropyl ether__tetralin,9
218,benzene__isopropyl ether,9
219,decahydronaphthalene__isopropyl ether,9
220,2-methyl-2-propanol__water,6
221,naphthalene__cyclohexane,5
222,naphthalene__heptane,5
