,Mixture,Count
0,"1,2-ethanediol__water",135
1,"1,2-propanediol__water",114
2,"1,4-butanediol__water",109
3,"1,3-propanediol__water",90
4,"butan-1-ol__butane, 1,4-dihydroxy-",40
5,2-methyl-2-butanol__tetrahydrofuran,39
6,1-butanol__hexane,31
7,ethanol__hexane,23
8,"butane, 1,4-dihydroxy-__water",14
9,"1,3-dimethylbenzene__tetrahydropyran",14
10,"1,4-dimethylbenzene__tetrahydropyran",14
11,n-hexane__tetrahydropyran,14
12,cyclohexane__tetrahydropyran,14
13,"1,2-butanediol__water",14
14,toluene__tetrahydropyran,14
15,tetrahydropyran__heptane,14
16,"1,3-butanediol__water",14
17,benzene__tetrahydropyran,14
18,trimethylene glycol__water,14
