,Mixture,Count
0,methanol__2-propanol,105
1,methanol__2-methyl-1-propanol,105
2,methanol__1-butanol,105
3,methanol__1-propanol,105
4,ethanol__methanol,105
5,methanol__2-methyl-2-propanol,95
6,"nonane__2,5,8-trioxanonane",66
7,"1,2-dimethoxyethane__nonane",66
8,n-octane__butyl oxide,45
9,pentan-1-ol__n-octane,45
10,pentan-1-ol__butyl oxide,45
11,"2,5,8-trioxanonane__heptane",33
12,dimethylglycol__heptane,31
13,"1,2-ethanediol__water",10
14,glycerol__water,8
15,"1,2-propanediol__water",8
16,"1,3-propanediol__water",8
