;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;2093;oxidane;O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;1885;ethanol;CCO
2;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;1264;2-Methylpropan-2-ol;CC(C)(C)O
3;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;1009;HEPTANE;CCCCCCC
4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;594;Butan-1-ol;CCCCO
5;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;505;2-Methoxy-2-methylpropane;COC(C)(C)C
6;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;451;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
7;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;310;Oxolane;C1CCOC1
8;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;37;2-propan-2-yloxypropane;CC(C)OC(C)C
