,Component,SMILES,Count
0,"1,2-ethanediol",OCCO,135
1,"1,4-butanediol",OCCCCO,123
2,"1,2-propanediol",CC(O)CO,114
3,"1,3-propanediol",OCCCO,104
4,1-butanol,CCCCO,71
5,"1,2-hexanediol",CCCCC(O)CO,60
6,2-methyl-2-butanol,CCC(C)(C)O,39
7,hexane,CCCCCC,33
8,ethanol,CCO,23
9,"2,3-butanediol",Cc1ccccc1,14
10,"1,3-butanediol",C1CCCCC1,14
11,"1,2-butanediol",CC(O)C(C)O,14
12,"1,3-dimethylbenzene",Cc1ccccc1C,14
13,cyclohexane,C1CCOCC1,14
14,"1,4-dimethylbenzene",Cc1cccc(C)c1,14
15,tetrahydropyran,CC(O)CCO,14
16,"1,2-dimethylbenzene",c1ccccc1,14
17,toluene,Cc1ccc(C)cc1,14
18,benzene,CCC(O)CO,14
