,Component,SMILES,Count
0,water,O,122.0
1,heptane,OCCOCCOCCO,35.0
2,methyl tert-butyl ether,OCCOCCO,30.0
3,octane,COC,23.0
4,toluene,Cc1cccc(C)c1,13.0
5,nonane,OCCCO,13.0
6,cyclohexane,Cc1ccccc1,13.0
7,methylcyclohexane,CCCC,13.0
8,dibutyl ether,Cc1ccc(C)cc1,11.0
9,"2,2,4-trimethylpentane",COCCO,10.0
10,decane,Cc1ccccc1C,9.0
11,tert-butyl ethyl ether,CCCCCCC,8.0
12,1-nonanol,CCCCCCCCC,8.0
13,1-octanol,C1CCCCCCC1,7.0
14,hexane,CCCCCCCCCC,6.0
15,2-butoxyethanol,C1CCCC1,6.0
16,isooctane,C1CCCCCC1,6.0
17,benzene,CCCCCCCC,5.0
18,cyclopentane,CCO,5.0
19,n-propyl alcohol,CCCCCC,5.0
20,exo-tetrahydrodicyclopentadiene,CC(C)C,4.0
21,amylcarbinol,CCC,4.0
22,"1,3-propanediol",CCc1ccccc1,1.0
23,trans-decalin,c1ccccc1,1.0
24,cyclooctane,c1ccc2ccccc2c1,1.0
25,tert-butanol,C1CCCCC1,1.0
26,"1,2-butanediol",,
27,"1,2-dimethoxyethane",,
28,methoxybenzene,,
29,3-methyl-1-butanol,,
30,"1,4-dioxane",,
31,1-heptanol,,
32,2-propanol,,
33,.alpha.-toluenol,,
34,tetrahydropyran,,
35,"1,3-dioxolane",,
36,2-methyl-1-propanol,,
37,"1,2-ethanediol",,
38,2-methyl-1-butanol,,
39,butane,,
40,1-butoxy-2-propanol,,
41,"ethanol, 2-propoxy-",,
42,"ether, methyl tert-pentyl",,
43,3-methylphenol,,
44,methyl alcohol,,
45,ethylbenzene,,
46,2-pentanol,,
47,2-(2-methoxyethoxy)ethanol,,
48,2-methoxyethanol,,
49,1-pentanol,,
50,bis(2-hydroxyethyl) ether,,
51,isobutylbenzene,,
52,2-methyl-2-butanol,,
53,2-hexanol,,
54,1-butanol,,
55,"1,2-propanediol",,
56,"1,3-benzenediol",,
57,"2,5,8-trioxanonane",,
58,"3,6-dioxa-1-octanol",,
59,"1,4-butanediol",,
60,2-ethyl-1-hexanol,,
61,isopropyl ether,,
62,4-methylphenol,,
63,2-octanol,,
64,tetrahydrofuran,,
65,2-ethoxyethanol,,
66,2-heptanol,,
67,ethyl tert-pentyl ether,,
68,tetrole,,
69,2-methyltetrahydrofuran,,
70,"3,6-dioxa-1,8-octanediol",,
71,ethoxybenzene,,
72,pentane,,
73,3-phenyl-1-propanol,,
74,butylbenzene,,
75,propylbenzene,,
76,ethanol,,
77,dipropylene glycol monomethyl ether,,
78,"2,5-dimethylfuran",,
79,ethane,,
80,phenol,,
81,methane,,
82,"2,3-butanediol",,
