,Component,Component Count,SMILES,SMILES Count
0,1-butanol,740,CCCCO,740.0
1,methyl tert-butyl ether,643,COC(C)(C)C,643.0
2,tert-butyl ethyl ether,624,CCOC(C)(C)C,624.0
3,"1,4-dimethylbenzene",600,Cc1ccc(C)cc1,600.0
4,2-butoxyethanol,562,CCCCOCCO,562.0
5,"1,3-dimethylbenzene",557,Cc1cccc(C)c1,557.0
6,water,555,O,555.0
7,heptane,555,CCCCCCC,555.0
8,toluene,534,Cc1ccccc1,534.0
9,cyclohexane,489,C1CCCCC1,489.0
10,2-methyl-2-butanol,450,CCC(C)(C)O,450.0
11,1-octanol,396,CCCO,409.0
12,benzene,382,CCCCCCCCO,396.0
13,cyclopentane,372,c1ccccc1,382.0
14,2-propanol,352,C1CCCC1,372.0
15,1-propanol,343,CC(C)O,352.0
16,ethanol,336,CCO,336.0
17,methylcyclohexane,328,CC1CCCCC1,328.0
18,"1,2-butanediol",277,CCC(O)CO,277.0
19,dibutyl ether,276,CCCCOCCCC,276.0
20,1-nonanol,261,CC(C)CC(C)(C)C,261.0
21,"2,2,4-trimethylpentane",261,CCCCCCCCCO,261.0
22,"1,4-dioxane",243,C1COCCO1,243.0
23,ethylbenzene,242,CCc1ccccc1,242.0
24,1-heptanol,235,CCCCCCCO,235.0
25,octane,226,CCCCCCCC,226.0
26,hexane,223,CCCCCC,223.0
27,tetrahydropyran,218,C1CCOCC1,218.0
28,"1,3-butanediol",204,CC(O)CCO,204.0
29,2-phenylethanol,198,OCCc1ccccc1,198.0
30,2-methoxyethanol,197,COCCO,197.0
31,"1,4-butanediol",196,OCCCCO,196.0
32,benzyl alcohol,156,OCc1ccccc1,156.0
33,"1,3-dioxolane",148,C1COCO1,148.0
34,decane,145,CCCCCCCCCC,145.0
35,butan-2-ol,136,CCC(C)O,136.0
36,"1,3-propanediol",132,OCCCO,132.0
37,1-hexanol,124,CCCCCCO,124.0
38,cyclooctane,118,C1CCCCCCC1,118.0
39,"1,3,5-trimethylbenzene",115,Cc1cc(C)cc(C)c1,115.0
40,methoxybenzene,109,COc1ccccc1,109.0
41,1-pentanol,89,CCCCCO,89.0
42,"1,2-ethanediol",87,OCCO,87.0
43,isopropyl ether,79,CC(C)OC(C)C,79.0
44,2-methyl-1-propanol,71,CC(C)CO,71.0
45,tetrahydrofuran,68,CCOCCO,71.0
46,n-propyl alcohol,66,C1CCOC1,68.0
47,2-ethyl-1-hexanol,58,CCCCC(CC)CO,58.0
48,2-methyl-1-butanol,56,CCC(C)CO,56.0
49,3-methyl-1-butanol,52,CC(C)CCO,52.0
50,2-methyl-2-propanol,45,CC(C)(C)O,45.0
51,2-ethoxyethanol,44,CCCC(C)O,39.0
52,2-pentanol,39,CCCCCCCCC,38.0
53,nonane,38,CO,31.0
54,methanol,31,CCOCC,23.0
55,"ethanol, 2-ethoxy-",27,COCCOCCOC,18.0
56,diethyl ether,23,OC1CCCCC1,15.0
57,"2,5,8-trioxanonane",18,Cc1ccccc1C,14.0
58,cyclohexanol,15,,
59,"1,2-dimethylbenzene",14,,
