,Component,SMILES,Count
0,water,O,5757
1,heptane,CCCCCCC,3125
2,methyl tert-butyl ether,COC(C)(C)C,2127
3,octane,CCCCCCCC,2037
4,toluene,Cc1ccccc1,1857
5,nonane,CCCCCCCCC,1477
6,cyclohexane,C1CCCCC1,1331
7,methylcyclohexane,CC1CCCCC1,1199
8,dibutyl ether,CCCCOCCCC,1198
9,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,1165
10,decane,CCCCCCCCCC,1102
11,tert-butyl ethyl ether,CCOC(C)(C)C,748
12,1-octanol,CCCCCCCCO,473
13,1-nonanol,CCCCCCCCCO,469
14,2-butoxyethanol,CCCCOCCO,407
15,benzene,c1ccccc1,390
16,hexane,CCCCCC,363
17,n-propyl alcohol,CCCO,357
18,cyclopentane,C1CCCC1,347
19,"1,3-propanediol",OCCCO,286
20,"1,2-butanediol",CCC(O)CO,264
21,cyclooctane,C1CCCCCCC1,245
22,methoxybenzene,COc1ccccc1,244
23,3-methyl-1-butanol,CC(C)CCO,235
24,"1,4-dioxane",C1COCCO1,231
25,1-heptanol,CCCCCCCO,226
26,2-propanol,CC(C)O,217
27,"1,2-dimethoxyethane",COCCOC,216
28,tetrahydropyran,C1CCOCC1,205
29,"1,3-dioxolane",C1COCO1,192
30,2-methyl-1-propanol,CC(C)CO,189
31,2-methyl-1-butanol,CCC(C)CO,173
32,butane,CCCC,163
33,methyl alcohol,CO,129
34,ethylbenzene,CCc1ccccc1,127
35,2-pentanol,CCCC(C)O,126
36,2-methoxyethanol,COCCO,122
37,1-pentanol,CCCCCO,121
38,bis(2-hydroxyethyl) ether,OCCOCCO,112
39,"1,2-ethanediol",OCCO,105
40,2-methyl-2-butanol,CCC(C)(C)O,98
41,"1,2-propanediol",CC(O)CO,88
42,1-butanol,CCCCO,88
43,"2,5,8-trioxanonane",COCCOCCOC,69
44,"1,4-butanediol",OCCCCO,59
45,2-ethyl-1-hexanol,CCCCC(CC)CO,58
46,isopropyl ether,CC(C)OC(C)C,56
47,tetrahydrofuran,C1CCOC1,51
48,2-hexanol,CCCCC(C)O,48
49,pentane,CCCCC,24
50,ethanol,CCO,20
51,ethane,CC,17
52,phenol,Oc1ccccc1,13
53,2-octanol,CCCCCCC(C)O,13
54,methane,C,12
