,Component,Component Count
0,water,964
1,1-butanol,897
2,methyl tert-butyl ether,838
3,tert-butyl ethyl ether,819
4,toluene,660
5,"1,4-dimethylbenzene",600
6,"1,2-dimethylbenzene",592
7,2-butoxyethanol,562
8,heptane,560
9,"1,3-dimethylbenzene",557
10,cyclohexane,520
11,1-octanol,476
12,2-methyl-2-butanol,450
13,1-propanol,430
14,2-propanol,418
15,ethanol,408
16,1-nonanol,405
17,cyclopentane,398
18,benzene,393
19,methylcyclohexane,354
20,dibutyl ether,349
21,2-methoxyethanol,306
22,"1,2-butanediol",277
23,"2,2,4-trimethylpentane",261
24,tetrahydropyran,254
25,"1,4-dioxane",243
26,ethylbenzene,242
27,1-heptanol,235
28,octane,226
29,hexane,223
30,"1,3-butanediol",204
31,1-hexanol,204
32,2-phenylethanol,198
33,"1,4-butanediol",196
34,1-butoxy-2-propanol,160
35,benzyl alcohol,156
36,"1,3-dioxolane",148
37,decane,145
38,1-propoxy-2-propanol,145
39,cyclooctane,144
40,2-(2-methoxyethoxy)ethanol,140
41,butan-2-ol,136
42,tert-butanol,132
43,"1,3-propanediol",132
44,tetrahydrofuran,116
45,"1,3,5-trimethylbenzene",115
46,methoxybenzene,109
47,isopropyl ether,97
48,amylcarbinol,96
49,1-pentanol,89
50,"1,2-ethanediol",87
51,"3,6-dioxa-1-octanol",76
52,"ethanol, 2-propoxy-",73
53,isooctane,72
54,2-methyl-1-propanol,71
55,n-propyl alcohol,66
56,2-ethyl-1-hexanol,58
57,2-methyl-1-butanol,56
58,3-methyl-1-butanol,52
59,2-methyltetrahydrofuran,45
60,2-methyl-2-propanol,45
61,2-(2-methylpropoxy)ethanol,45
62,2-ethoxyethanol,44
63,2-hexanol,42
64,2-heptanol,42
65,2-octanol,42
66,"1,2-benzenediol",40
67,2-pentanol,39
68,nonane,38
69,"1,3-benzenediol",35
70,4-methylphenol,32
71,3-methylphenol,32
72,2-methylphenol,32
73,methanol,31
74,"furfuryl alcohol, tetrahydro-",30
75,"ethanol, 2-ethoxy-",27
76,2-hydroxymethylfuran,24
77,diethyl ether,23
78,pentaerythritol,22
79,"ether, methyl tert-pentyl",21
80,2-isopropoxyethanol,18
81,dipropylene glycol monomethyl ether,18
82,"2,5,8-trioxanonane",18
83,cyclohexanol,15
84,naphthalene,10
85,cis-decalin,9
86,"1,2,3,4-tetrahydronaphthalene",9
