,Component,SMILES,Count
0,1-butanol,CCCCO,897
1,"1,4-dimethylbenzene",Cc1ccc(C)cc1,600
2,"1,2-dimethylbenzene",Cc1ccccc1C,592
3,"1,3-dimethylbenzene",Cc1cccc(C)c1,557
4,toluene,Cc1ccccc1,451
5,2-methyl-2-butanol,CCC(C)(C)O,450
6,1-propanol,CCCO,430
7,ethanol,CCO,408
8,benzene,c1ccccc1,393
9,2-propanol,CC(C)O,352
10,2-methoxyethanol,COCCO,306
11,ethylbenzene,CCc1ccccc1,242
12,"1,3-butanediol",CC(O)CCO,204
13,1-hexanol,CCCCCCO,204
14,2-phenylethanol,OCCc1ccccc1,198
15,1-octanol,CCCCCCCCO,184
16,1-heptanol,CCCCCCCO,181
17,benzyl alcohol,OCc1ccccc1,156
18,2-butoxyethanol,CCCCOCCO,155
19,1-propoxy-2-propanol,CCCOCC(C)O,145
20,"1,4-butanediol",OCCCCO,142
21,butan-2-ol,CCC(C)O,136
22,tetrahydrofuran,C1CCOC1,116
23,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,115
24,octane,CCCCCCCC,113
25,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,94
26,1-pentanol,CCCCCO,78
27,methylcyclohexane,CC1CCCCC1,73
28,cyclohexane,C1CCCCC1,73
29,dibutyl ether,CCCCOCCCC,73
30,2-methyl-1-propanol,CC(C)CO,71
31,"1,2-ethanediol",OCCO,67
32,cyclopentane,C1CCCC1,66
33,hexane,CCCCCC,62
34,isopropyl ether,CC(C)OC(C)C,58
35,methoxybenzene,COc1ccccc1,54
36,"1,4-dioxane",C1COCCO1,51
37,2-(2-methylpropoxy)ethanol,CC(C)(C)O,45
38,2-methyl-2-propanol,CC(C)COCCO,45
39,"1,2-benzenediol",Oc1ccccc1O,40
40,"1,3-benzenediol",Oc1cccc(O)c1,35
41,2-methylphenol,Cc1ccc(O)cc1,32
42,4-methylphenol,Cc1ccccc1O,32
43,3-methylphenol,Cc1cccc(O)c1,32
44,methanol,CO,31
45,"furfuryl alcohol, tetrahydro-",OCC1CCCO1,30
46,"ethanol, 2-ethoxy-",CCOCCO,27
47,2-hydroxymethylfuran,OCc1occc1,24
48,diethyl ether,CCOCC,23
49,pentaerythritol,OCC(CO)(CO)CO,22
50,2-isopropoxyethanol,O,18
51,water,COCCOCCOC,18
52,"2,5,8-trioxanonane",CC(C)OCCO,18
53,"3,6-dioxa-1-octanol",COCCOCCO,16
54,2-(2-methoxyethoxy)ethanol,CCOCCOCCO,16
55,cyclohexanol,OC1CCCCC1,15
56,tetrahydropyran,C1CCOCC1,14
57,naphthalene,CCCCC(CC)CO,10
58,2-ethyl-1-hexanol,c1ccc2ccccc2c1,10
59,cis-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,9
