,Component,SMILES,Count
0,water,O,504
1,tetrahydropyran,C1CCOCC1,84
2,hexane,CCCCCC,54
3,"1,4-butanediol",OCCCCO,40
4,tetrahydrofuran,C1CCOC1,39
5,heptane,CCCCCCC,14
