;InChI;Count;Component;SMILES
26;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;1638;1,3-Dimethylbenzene;Cc1cccc(C)c1
27;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;1513;Ethylbenzene;CCc1ccccc1
28;InChIKey=WERYXYBDKMZEQL-UHFFFAOYSA-N;1512;Butane-1,4-diol;OCCCCO
29;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;1479;PROPANE-1,2-DIOL;CC(O)CO
30;InChIKey=ZWRUINPWMLAQRD-UHFFFAOYSA-N;1454;Nonan-1-ol;CCCCCCCCCO
31;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;1402;OCTAN-1-OL;CCCCCCCCO
32;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;1348;Oxolane;C1CCOC1
33;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;1318;2-Methoxyethanol;COCCO
34;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;1196;PROPANE-1,2,3-TRIOL;OCC(O)CO
35;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;1191;Pentan-1-ol;CCCCCO
36;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;1181;Propane-1,3-diol;OCCCO
37;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;1147;1,2-Dimethoxyethane;COCCOC
38;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;1072;1,4-Dioxane;C1COCCO1
39;InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N;1066;Methoxybenzene;COc1ccccc1
40;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;1011;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
41;InChIKey=DHXVGJBLRPWPCS-UHFFFAOYSA-N;1003;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1
42;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;913;Cyclopentane;C1CCCC1
43;InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N;899;phenylmethanol;OCc1ccccc1
44;InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N;873;2-Ethoxyethanol;CCOCCO
45;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;872;PROPANE;CCC
46;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;859;2-Methylbutan-2-ol;CCC(C)(C)O
47;InChIKey=JVSWJIKNEAIKJW-UHFFFAOYSA-N;851;2-Methylheptane;CCCCCC(C)C
48;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;845;2-Methylpropan-1-ol;CC(C)CO
49;InChIKey=BMRWNKZVCUKKSR-UHFFFAOYSA-N;841;butane-1,2-diol;CCC(O)CO
50;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;823;BUTANE;CCCC
51;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;797;2-Methylpropane;CC(C)C
52;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;706;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
53;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;700;2-propan-2-yloxypropane;CC(C)OC(C)C
54;InChIKey=AUHZEENZYGFFBQ-UHFFFAOYSA-N;698;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1
55;InChIKey=PUPZLCDOIYMWBV-UHFFFAOYSA-N;656;Butane-1,3-diol;CC(O)CCO
56;InChIKey=WRMNZCZEMHIOCP-UHFFFAOYSA-N;649;2-PHENYLETHANOL;OCCc1ccccc1
57;InChIKey=SXFJDZNJHVPHPH-UHFFFAOYSA-N;592;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO
58;InChIKey=WXZMFSXDPGVJKK-UHFFFAOYSA-N;556;2,2-bis(hydroxymethyl)propane-1,3-diol;OCC(CO)(CO)CO
59;InChIKey=JVZZUPJFERSVRN-UHFFFAOYSA-N;554;2-Methyl-2-propylpropane-1,3-diol;CCCC(C)(CO)CO
60;InChIKey=XRVCFZPJAHWYTB-UHFFFAOYSA-N;551;2,2-Diethylpropane-1,3-diol;CCC(CC)(CO)CO
61;InChIKey=ALQSHHUCVQOPAS-UHFFFAOYSA-N;545;Pentane-1,5-diol;OCCCCCO
62;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;519;Pentane;CCCCC
63;InChIKey=BTANRVKWQNVYAZ-UHFFFAOYSA-N;511;Butan-2-ol;CCC(C)O
64;InChIKey=OEIJHBUUFURJLI-UHFFFAOYSA-N;503;Octane-1,8-diol;OCCCCCCCCO
65;InChIKey=XXMIOPMDWAUFGU-UHFFFAOYSA-N;489;HEXANE-1,6-DIOL;OCCCCCCO
66;InChIKey=SBASXUCJHJRPEV-UHFFFAOYSA-N;476;2-(2-Methoxyethoxy)ethanol;COCCOCCO
67;InChIKey=WNXJIVFYUVYPPR-UHFFFAOYSA-N;470;1,3-DIOXOLANE;C1COCO1
68;InChIKey=FENFUOGYJVOCRY-UHFFFAOYSA-N;463;1-Propoxypropan-2-ol;CCCOCC(C)O
69;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;450;pentan-2-ol;CCCC(C)O
70;InChIKey=SLCVBVWXLSEKPL-UHFFFAOYSA-N;440;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO
71;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;422;;C1CCCCCCC1
72;InChIKey=QXJQHYBHAIHNGG-UHFFFAOYSA-N;405;2-(hydroxymethyl)-2-methylpropane-1,3-diol;CC(CO)(CO)CO
73;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;392;3-methylphenol;Cc1cccc(O)c1
74;InChIKey=HPXRVTGHNJAIIH-UHFFFAOYSA-N;363;Cyclohexanol;OC1CCCCC1
75;InChIKey=LPSXSORODABQKT-UHFFFAOYSA-N;352;;C1CC2C3CCC(C3)C2C1
76;InChIKey=ZJCCRDAZUWHFQH-UHFFFAOYSA-N;340;2-ethyl-2-(hydroxymethyl)propane-1,3-diol;CCC(CO)(CO)CO
77;InChIKey=CXWXQJXEFPUFDZ-UHFFFAOYSA-N;323;1,2,3,4-Tetrahydronaphthalene;C1CCc2ccccc2C1
78;InChIKey=RWNUSVWFHDHRCJ-UHFFFAOYSA-N;320;1-Butoxypropan-2-ol;CCCCOCC(C)O
79;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;313;3-Methylbutan-1-ol;CC(C)CCO
80;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;302;2-Propoxyethanol;CCCOCCO
81;InChIKey=NNBZCPXTIHJBJL-MGCOHNPYSA-N;293;;C1CC[C@H]2CCCC[C@@H]2C1
82;InChIKey=NNBZCPXTIHJBJL-AOOOYVTPSA-N;293;;C1CC[C@@H]2CCCC[C@@H]2C1
83;InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N;289;2-Methylphenol;Cc1ccccc1O
84;InChIKey=XCIXKGXIYUWCLL-UHFFFAOYSA-N;287;Cyclopentanol;OC1CCCC1
85;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;276;2,2-dimethylpropan-1-ol;CC(C)(C)CO
86;InChIKey=GWHJZXXIDMPWGX-UHFFFAOYSA-N;274;1,2,4-Trimethylbenzene;Cc1ccc(C)c(C)c1
87;InChIKey=QWGRWMMWNDWRQN-UHFFFAOYSA-N;263;2-Methylpropane-1,3-diol;CC(CO)CO
88;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;260;2-Methylbutan-1-ol;CCC(C)CO
89;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;227;;OC[C@H](O)[C@H](O)[C@H](O)CO
90;InChIKey=JWUJQDFVADABEY-UHFFFAOYSA-N;224;2-Methyloxolane;CC1CCCO1
91;InChIKey=QCRFMSUKWRQZEM-UHFFFAOYSA-N;222;Cycloheptanol;OC1CCCCCC1
92;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;215;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
93;InChIKey=IWDCLRJOBJJRNH-UHFFFAOYSA-N;214;4-Methylphenol;Cc1ccc(O)cc1
94;InChIKey=LZDKZFUFMNSQCJ-UHFFFAOYSA-N;213;1,2-Diethoxyethane;CCOCCOCC
95;InChIKey=FHKSXSQHXQEMOK-UHFFFAOYSA-N;209;hexane-1,2-diol;CCCCC(O)CO
96;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;205;2-Ethylhexan-1-ol;CCCCC(CC)CO
97;InChIKey=XXJWXESWEXIICW-UHFFFAOYSA-N;193;2-(2-Ethoxyethoxy)ethanol;CCOCCOCCO
98;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;180;2-Methoxy-2-methylbutane;CCC(C)(C)OC
99;InChIKey=QNVRIHYSUZMSGM-UHFFFAOYSA-N;177;hexan-2-ol;CCCCC(C)O
100;InChIKey=GHMLBKRAJCXXBS-UHFFFAOYSA-N;177;benzene-1,3-diol;Oc1cccc(O)c1
101;InChIKey=VSSAZBXXNIABDN-UHFFFAOYSA-N;176;Cyclohexylmethanol;OCC1CCCCC1
102;InChIKey=QJQZRLXDLORINA-UHFFFAOYSA-N;175;2-Cyclohexylethanol;OCCC1CCCCC1
103;InChIKey=KLKFAASOGCDTDT-UHFFFAOYSA-N;173;ethoxymethoxyethane;CCOCOCC
104;InChIKey=FHADSMKORVFYOS-UHFFFAOYSA-N;156;Cyclooctanol;OC1CCCCCCC1
105;InChIKey=DHKHKXVYLBGOIT-UHFFFAOYSA-N;152;1,1-Diethoxyethane;CCOC(C)OCC
106;InChIKey=SJWFXCIHNDVPSH-UHFFFAOYSA-N;144;octan-2-ol;CCCCCCC(C)O
107;InChIKey=SQYNKIJPMDEDEG-UHFFFAOYSA-N;132;2,4,6-Trimethyl-1,3,5-trioxane;CC1OC(C)OC(C)O1
108;InChIKey=CETWDUZRCINIHU-UHFFFAOYSA-N;129;heptan-2-ol;CCCCCC(C)O
109;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;118;Methoxymethane;COC
110;InChIKey=HEBKCHPVOIAQTA-SCDXWVJYSA-N;118;;OC[C@@H](O)[C@H](O)[C@@H](O)CO
111;InChIKey=OHMBHFSEKCCCBW-UHFFFAOYSA-N;114;hexane-2,5-diol;CC(O)CCC(C)O
112;InChIKey=HEWZVZIVELJPQZ-UHFFFAOYSA-N;114;2,2-Dimethoxypropane;COC(C)(C)OC
113;InChIKey=KXUHSQYYJYAXGZ-UHFFFAOYSA-N;100;2-methylpropylbenzene;CC(C)Cc1ccccc1
114;InChIKey=HHAPGMVKBLELOE-UHFFFAOYSA-N;90;2-(2-Methylpropoxy)ethanol;CC(C)COCCO
115;InChIKey=DLRJIFUOBPOJNS-UHFFFAOYSA-N;88;Ethoxybenzene;CCOc1ccccc1
116;InChIKey=UNXHWFMMPAWVPI-UHFFFAOYSA-N;88;butane-1,2,3,4-tetrol;OCC(O)C(O)CO
117;InChIKey=YCIMNLLNPGFGHC-UHFFFAOYSA-N;80;benzene-1,2-diol;Oc1ccccc1O
118;InChIKey=POLCUAVZOMRGSN-UHFFFAOYSA-N;79;1-propoxypropane;CCCOCCC
119;InChIKey=UNVGBIALRHLALK-UHFFFAOYSA-N;75;Hexane-1,5-diol;CC(O)CCCCO
120;InChIKey=GGBJHURWWWLEQH-UHFFFAOYSA-N;66;Butylcyclohexane;CCCCC1CCCCC1
121;InChIKey=VCJPCEVERINRSG-UHFFFAOYSA-N;66;1,2,4-Trimethylcyclohexane;CC1CCC(C)C(C)C1
122;InChIKey=IIEWJVIFRVWJOD-UHFFFAOYSA-N;66;Ethylcyclohexane;CCC1CCCCC1
123;InChIKey=ZFFMLCVRJBZUDZ-UHFFFAOYSA-N;63;2,3-Dimethylbutane;CC(C)C(C)C
124;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;63;FURAN;o1cccc1
125;InChIKey=HNRMPXKDFBEGFZ-UHFFFAOYSA-N;62;2,2-Dimethylbutane;CCC(C)(C)C
126;InChIKey=BSYVTEYKTMYBMK-UHFFFAOYSA-N;60;oxolan-2-ylmethanol;OCC1CCCO1
127;InChIKey=VAJVDSVGBWFCLW-UHFFFAOYSA-N;58;3-Phenylpropan-1-ol;OCCCc1ccccc1
128;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;58;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
129;InChIKey=BGJSXRVXTHVRSN-UHFFFAOYSA-N;53;1,3,5-Trioxane;C1OCOCO1
130;InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N;53;ETHANE;CC
131;InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N;49;methane;C
132;InChIKey=XPFVYQJUAUNWIW-UHFFFAOYSA-N;48;furan-2-ylmethanol;OCc1occc1
133;InChIKey=RTZKZFJDLAIYFH-UHFFFAOYSA-N;45;Ethoxyethane;CCOCC
134;InChIKey=HEBKCHPVOIAQTA-NGQZWQHPSA-N;40;(2S,4R)-pentane-1,2,3,4,5-pentol;OC[C@H](O)C(O)[C@H](O)CO
135;InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N;39;PHENOL;Oc1ccccc1
136;InChIKey=ARXJGSRGQADJSQ-UHFFFAOYSA-N;38;1-Methoxypropan-2-ol;COCC(C)O
137;InChIKey=OWBTYPJTUOEWEK-UHFFFAOYSA-N;38;;CC(O)C(C)O
138;InChIKey=OXQHJIGWZNIQDS-UHFFFAOYSA-N;37;2,2-Dimethoxybutane;CCC(C)(OC)OC
139;InChIKey=HCGFUIQPSOCUHI-UHFFFAOYSA-N;36;2-propan-2-yloxyethanol;CC(C)OCCO
140;InChIKey=CUDYYMUUJHLCGZ-UHFFFAOYSA-N;36;2-(2-methoxypropoxy)propan-1-ol;COC(C)COC(C)CO
141;InChIKey=HEBKCHPVOIAQTA-UHFFFAOYSA-N;24;pentane-1,2,3,4,5-pentol;OCC(O)C(O)C(O)CO
142;InChIKey=ODLMAHJVESYWTB-UHFFFAOYSA-N;22;Propylbenzene;CCCc1ccccc1
143;InChIKey=UFWIBTONFRDIAS-UHFFFAOYSA-N;22;NAPHTHALENE;c1ccc2ccccc2c1
144;InChIKey=OCKPCBLVNKHBMX-UHFFFAOYSA-N;22;Butylbenzene;CCCCc1ccccc1
145;InChIKey=SZXQTJUDPRGNJN-UHFFFAOYSA-N;21;3-(3-hydroxypropoxy)propan-1-ol;OCCCOCCCO
146;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;20;Pentan-3-ol;CCC(O)CC
147;InChIKey=GOOHAUXETOMSMM-UHFFFAOYSA-N;19;;CC1CO1
148;InChIKey=PFEOZHBOMNWTJB-UHFFFAOYSA-N;19;3-Methylpentane;CCC(C)CC
149;InChIKey=AFABGHUZZDYHJO-UHFFFAOYSA-N;19;2-Methylpentane;CCCC(C)C
150;InChIKey=GSNUFIFRDBKVIE-UHFFFAOYSA-N;18;2,5-Dimethylfuran;Cc1oc(C)cc1
151;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;18;3-Methylbutan-2-ol;CC(C)C(C)O
152;InChIKey=NNBZCPXTIHJBJL-UHFFFAOYSA-N;16;1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene;C1CCC2CCCCC2C1
153;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;7;Cycloheptane;C1CCCCCC1
154;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;1;Methylcyclopentane;CC1CCCC1
155;InChIKey=HFPZCAJZSCWRBC-UHFFFAOYSA-N;1;1-methyl-4-propan-2-ylbenzene;CC(C)c1ccc(C)cc1
156;InChIKey=CTKINSOISVBQLD-UHFFFAOYSA-N;1;oxiran-2-ylmethanol;OCC1CO1
