;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;21986;oxidane;O
1;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;8629;ethanol;CCO
2;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;6281;HEPTANE;CCCCCCC
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;5696;Butan-1-ol;CCCCO
4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;5195;2-Methoxy-2-methylpropane;COC(C)(C)C
5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;4964;Propan-1-ol;CCCO
6;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;4781;methylbenzene;Cc1ccccc1
7;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;4778;octane;CCCCCCCC
8;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;4413;Decane;CCCCCCCCCC
9;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;4172;BENZENE;c1ccccc1
10;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;4053;Cyclohexane;C1CCCCC1
11;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;3632;Propan-2-ol;CC(C)O
12;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;3387;Hexane;CCCCCC
13;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;3130;methanol;CO
14;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;2880;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
15;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;2499;Methylcyclohexane;CC1CCCCC1
16;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;2346;1-Butoxybutane;CCCCOCCCC
17;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;2341;1,4-Dimethylbenzene;Cc1ccc(C)cc1
18;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;2264;2-Methylpropan-2-ol;CC(C)(C)O
19;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;2182;Nonane;CCCCCCCCC
20;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;1998;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
21;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;1952;HEXAN-1-OL;CCCCCCO
22;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;1894;Ethane-1,2-diol;OCCO
23;InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N;1866;2-Butoxyethanol;CCCCOCCO
24;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;1719;1,2-Dimethylbenzene;Cc1ccccc1C
25;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;1640;Heptan-1-ol;CCCCCCCO
