;InChI;Count;Component;SMILES
0;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;122;oxidane;O
1;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;48;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
2;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;47;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
3;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;29;methylbenzene;Cc1ccccc1
4;InChIKey=UHOVQNZJYSORNB-UHFFFAOYSA-N;24;BENZENE;c1ccccc1
5;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;23;Methoxymethane;COC
6;InChIKey=URLKBWYHVLBVBO-UHFFFAOYSA-N;22;1,4-Dimethylbenzene;Cc1ccc(C)cc1
7;InChIKey=IJDNQMDRQITEOD-UHFFFAOYSA-N;21;BUTANE;CCCC
8;InChIKey=NNPPMTNAJDCUHE-UHFFFAOYSA-N;21;2-Methylpropane;CC(C)C
9;InChIKey=ATUOYWHBWRKTHZ-UHFFFAOYSA-N;21;PROPANE;CCC
10;InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N;19;1,2-Dimethylbenzene;Cc1ccccc1C
11;InChIKey=IVSZLXZYQVIEFR-UHFFFAOYSA-N;18;1,3-Dimethylbenzene;Cc1cccc(C)c1
12;InChIKey=XNWFRZJHXBZDAG-UHFFFAOYSA-N;17;2-Methoxyethanol;COCCO
13;InChIKey=MSXVEPNJUHWQHW-UHFFFAOYSA-N;16;2-Methylbutan-2-ol;CCC(C)(C)O
14;InChIKey=PHTQWCKDNZKARW-UHFFFAOYSA-N;15;3-Methylbutan-1-ol;CC(C)CCO
15;InChIKey=QPRQEDXDYOZYLA-UHFFFAOYSA-N;15;2-Methylbutan-1-ol;CCC(C)CO
16;InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N;14;Hexane;CCCCCC
17;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;13;octane;CCCCCCCC
18;InChIKey=JYVLIDXNZAXMDK-UHFFFAOYSA-N;13;pentan-2-ol;CCCC(C)O
19;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;13;Propane-1,3-diol;OCCCO
20;InChIKey=DIOQZVSQGTUSAI-UHFFFAOYSA-N;11;Decane;CCCCCCCCCC
21;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;11;Pentan-3-ol;CCC(O)CC
22;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;11;ethanol;CCO
23;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;11;Nonane;CCCCCCCCC
24;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;10;PROPANE-1,2,3-TRIOL;OCC(O)CO
25;InChIKey=MXLMTQWGSQIYOW-UHFFFAOYSA-N;10;3-Methylbutan-2-ol;CC(C)C(C)O
26;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;10;PROPANE-1,2-DIOL;CC(O)CO
27;InChIKey=YLQBMQCUIZJEEH-UHFFFAOYSA-N;9;FURAN;o1cccc1
28;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;8;HEPTANE;CCCCCCC
29;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;8;Butan-1-ol;CCCCO
30;InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N;8;Ethylbenzene;CCc1ccccc1
31;InChIKey=WJTCGQSWYFHTAC-UHFFFAOYSA-N;7;;C1CCCCCCC1
32;InChIKey=XDTMQSROBMDMFD-UHFFFAOYSA-N;7;Cyclohexane;C1CCCCC1
33;InChIKey=RGSFGYAAUTVSQA-UHFFFAOYSA-N;6;Cyclopentane;C1CCCC1
34;InChIKey=DMEGYFMYUHOHGS-UHFFFAOYSA-N;6;Cycloheptane;C1CCCCCC1
35;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;6;Ethane-1,2-diol;OCCO
36;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;6;Propan-1-ol;CCCO
37;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;6;Propan-2-ol;CC(C)O
38;InChIKey=OFBQJSOFQDEBGM-UHFFFAOYSA-N;6;Pentane;CCCCC
39;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;5;methanol;CO
40;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;4;2-Ethoxy-2-methylpropane;CCOC(C)(C)C
41;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;4;2-Methoxy-2-methylpropane;COC(C)(C)C
42;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;4;2-Ethoxy-2-methylbutane;CCOC(C)(C)CC
43;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;4;2-Methoxy-2-methylbutane;CCC(C)(C)OC
44;InChIKey=RLSSMJSEOOYNOY-UHFFFAOYSA-N;3;3-methylphenol;Cc1cccc(O)c1
45;InChIKey=QWVGKYWNOKOFNN-UHFFFAOYSA-N;3;2-Methylphenol;Cc1ccccc1O
46;InChIKey=UFWIBTONFRDIAS-UHFFFAOYSA-N;2;NAPHTHALENE;c1ccc2ccccc2c1
47;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;1;Methylcyclohexane;CC1CCCCC1
48;InChIKey=GDOPTJXRTPNYNR-UHFFFAOYSA-N;1;Methylcyclopentane;CC1CCCC1
49;InChIKey=HFPZCAJZSCWRBC-UHFFFAOYSA-N;1;1-methyl-4-propan-2-ylbenzene;CC(C)c1ccc(C)cc1
