;InChI;Count;Component;SMILES
0;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;620;methanol;CO
1;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;132;Nonane;CCCCCCCCC
2;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;105;2-Methylpropan-1-ol;CC(C)CO
3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;105;ethanol;CCO
4;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;105;Butan-1-ol;CCCCO
5;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;105;Propan-1-ol;CCCO
6;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;105;Propan-2-ol;CC(C)O
7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;99;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
8;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;97;1,2-Dimethoxyethane;COCCOC
9;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;95;2-Methylpropan-2-ol;CC(C)(C)O
10;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;90;Pentan-1-ol;CCCCCO
11;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;90;octane;CCCCCCCC
12;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;90;1-Butoxybutane;CCCCOCCCC
13;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;78;2-Propoxyethanol;CCCOCCO
14;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;64;HEPTANE;CCCCCCC
15;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;39;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
16;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;39;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
17;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;34;oxidane;O
18;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;10;Ethane-1,2-diol;OCCO
19;InChIKey=YPFDHNVEDLHUCE-UHFFFAOYSA-N;8;Propane-1,3-diol;OCCCO
20;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;8;PROPANE-1,2-DIOL;CC(O)CO
21;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;8;PROPANE-1,2,3-TRIOL;OCC(O)CO
