,Component,Component Count
0,1-butanol,581
1,dibutyl ether,576
2,ethanol,507
3,water,376
4,cyclohexane,336
5,1-pentanol,299
6,benzene,229
7,tetrahydropyran,218
8,methanol,210
9,heptane,202
10,toluene,158
11,hexane,157
12,"2,2,4-trimethylpentane",156
13,methyl tert-butyl ether,140
14,2-propanol,139
15,benzyl alcohol,128
16,1-propanol,118
17,"ethanol, 2-ethoxy-",117
18,octane,110
19,2-ethoxyethanol,104
20,isopropyl ether,101
21,2-methyl-2-butanol,98
22,tetrahydrofuran,98
23,"1,2-propanediol",97
24,methyl alcohol,87
25,butan-2-ol,85
26,n-propyl alcohol,84
27,2-pentanol,84
28,nonane,79
29,methoxymethane,76
30,methylcyclohexane,76
31,cyclohexyl alcohol,68
32,cyclopentane,63
33,diisopropyl,63
34,neohexane,62
35,decane,60
36,"ether, dipropyl",59
37,methoxybenzene,51
38,ethoxybenzene,51
39,.alpha.-toluenol,48
40,"1,4-dioxane",47
41,2-methyltetrahydrofuran,44
42,isooctane,42
43,1-methoxy-2-propanol,38
44,2-butoxyethanol,38
45,"1,4-butanediol",36
46,"1,3-propanediol",36
47,3-phenyl-1-propanol,34
48,2-phenylethanol,34
49,1-octanol,32
50,1-hexanol,31
51,2-methyl-1-propanol,31
52,"1,2-dimethylbenzene",29
53,1-nonanol,28
54,ethyl tert-pentyl ether,27
55,"1,3-dimethylbenzene",25
56,1-heptanol,21
57,n-decane,20
58,dipropyl ether,20
59,epoxypropane,19
60,2-methylpentane,19
61,amylcarbinol,19
62,"1,2-dimethoxyethane",17
63,"3,6-dioxaoctane",17
64,"3,6-dioxa-1-octanol",17
65,"1,4-dimethylbenzene",14
