,Component,Component Count,SMILES,SMILES Count
0,water,68,O,68.0
1,"3,6-dioxa-1,8-octanediol",35,OCCOCCOCCO,44.0
2,toluene,24,Cc1ccccc1,24.0
3,"1,4-dimethylbenzene",20,Cc1ccc(C)cc1,20.0
4,benzene,19,c1ccccc1,19.0
5,methoxymethane,18,COC,18.0
6,butane,17,CCCC,17.0
7,propane,17,CC(C)C,17.0
8,2-methylpropane,17,CCC,17.0
9,"1,3-dimethylbenzene",16,Cc1cccc(C)c1,16.0
10,3-methyl-1-butanol,15,CC(C)CCO,15.0
11,2-methyl-1-butanol,15,CCC(C)CO,15.0
12,2-pentanol,13,OCCCO,13.0
13,"1,3-propanediol",13,CCCC(C)O,13.0
14,glycerol,10,OCC(O)CO,10.0
15,hexane,9,CCCCCC,9.0
16,triethylene glycol,9,CCO,8.0
17,octane,8,CCCCCCCC,8.0
18,1-butanol,8,CCCCO,8.0
19,ethanol,8,CCCCCCCCCC,8.0
20,"1,2-ethanediol",6,OCCO,6.0
21,n-decane,5,CCOC(C)(C)C,4.0
22,tert-butyl ethyl ether,4,COC(C)(C)C,4.0
23,methyl tert-butyl ether,4,C1CCCCC1,3.0
24,2-propanol,3,CCCCC,3.0
25,pentane,3,CC(C)O,3.0
26,1-propanol,3,C1CCCC1,3.0
27,cyclopentane,3,C1CCCCCCC1,3.0
28,heptane,3,CCCCCCCCC,3.0
29,nonane,3,CCCO,3.0
30,cyclooctane,3,CCc1ccccc1,3.0
31,decane,3,CCCCCCC,3.0
32,ethylbenzene,3,CO,2.0
33,cyclohexane,3,,
34,methanol,2,,
