;InChI;Count;Component;SMILES
0;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;157;Butan-1-ol;CCCCO
1;InChIKey=NHTMVDHEPJAVLT-UHFFFAOYSA-N;145;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C
2;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;121;2-Methoxy-2-methylpropane;COC(C)(C)C
3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;59;ethanol;CCO
4;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;57;oxidane;O
5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;49;HEPTANE;CCCCCCC
6;InChIKey=WYURNTSHIVDZCO-UHFFFAOYSA-N;20;Oxolane;C1CCOC1
7;InChIKey=ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;20;2-propan-2-yloxypropane;CC(C)OC(C)C
8;InChIKey=DKGAVHZHDRPRBM-UHFFFAOYSA-N;6;2-Methylpropan-2-ol;CC(C)(C)O
