,Component,Component Count
0,water,578
1,"1,4-butanediol",163
2,"1,2-ethanediol",135
3,"1,2-propanediol",114
4,tetrahydropyran,112
5,"1,3-propanediol",104
6,hexane,87
7,1-butanol,71
8,"1,2-hexanediol",60
9,2-methyl-2-butanol,39
10,tetrahydrofuran,39
11,ethanol,23
12,"ether, methyl tert-pentyl",19
13,heptane,14
14,"2,3-butanediol",14
15,"1,3-dimethylbenzene",14
16,"1,4-dimethylbenzene",14
17,"1,2-dimethylbenzene",14
18,benzene,14
19,"1,3-butanediol",14
20,"1,2-butanediol",14
21,cyclohexane,14
22,toluene,14
