;InChI;Count;Component;SMILES
0;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;12;HEPTANE;CCCCCCC
1;InChIKey=AQIXEPGDORPWBJ-UHFFFAOYSA-N;6;Pentan-3-ol;CCC(O)CC
2;InChIKey=HEBKCHPVOIAQTA-ZXFHETKHSA-N;5;;OC[C@H](O)[C@H](O)[C@H](O)CO
3;InChIKey=KPSSIOMAKSHJJG-UHFFFAOYSA-N;5;2,2-dimethylpropan-1-ol;CC(C)(C)CO
