;InChI;Count;Component;SMILES
0;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;145;Methoxymethane;COC
1;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;51;methylbenzene;Cc1ccccc1
2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;31;oxidane;O
3;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;11;Butan-1-ol;CCCCO
4;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;10;Pentan-1-ol;CCCCCO
5;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;9;1,2-Dimethoxyethane;COCCOC
6;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;9;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC
7;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;8;ethanol;CCO
8;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;8;octane;CCCCCCCC
9;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;7;Propan-1-ol;CCCO
10;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;7;methanol;CO
11;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;6;PROPANE-1,2-DIOL;CC(O)CO
12;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;6;Nonane;CCCCCCCCC
13;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;5;1-Butoxybutane;CCCCOCCCC
14;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;5;2-Methylpropan-1-ol;CC(C)CO
15;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;5;Propan-2-ol;CC(C)O
16;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;3;1,4-Dioxane;C1COCCO1
17;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;3;HEPTANE;CCCCCCC
18;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;3;2-(2-Hydroxyethoxy)ethanol;OCCOCCO
19;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;3;2-[2-(2-hydroxyethoxy)ethoxy]ethanol;OCCOCCOCCO
20;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;3;2-Ethylhexan-1-ol;CCCCC(CC)CO
21;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;3;2-Propoxyethanol;CCCOCCO
22;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;2;HEXAN-1-OL;CCCCCCO
23;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;2;OCTAN-1-OL;CCCCCCCCO
24;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;2;PROPANE-1,2,3-TRIOL;OCC(O)CO
25;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;2;Heptan-1-ol;CCCCCCCO
26;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;1;Ethane-1,2-diol;OCCO
