,Component,SMILES,Density Count,SoS Count,Cp Count,Dielec Count,Vspec Count,Vmol Count,Hmol Count 
0,decane,CCCCCCCCCC,9289,21,8,0,0,0,0
1,1-butanol,CCCCO,1327,85,49,11,0,0,0
2,heptane,CCCCCCC,1254,132,39,3,0,0,12
3,ethanol,CCO,1169,90,86,8,2,0,0
4,2-methyl-1-propanol,CC(C)CO,721,15,0,5,0,0,0
5,1-hexanol,CCCCCCO,664,64,8,2,0,0,0
6,1-propanol,CCCO,659,78,18,7,0,0,0
7,toluene,Cc1ccccc1,641,235,3,51,0,0,0
8,water,O,634,178,54,31,39,0,0
9,methanol,CO,606,142,75,7,0,0,0
10,1-pentanol,CCCCCO,396,78,0,10,0,0,0
11,cyclohexane,C1CCCCC1,368,55,21,0,0,11,0
12,2-propanol,CC(C)O,357,53,6,5,0,0,0
13,1-octanol,CCCCCCCCO,356,78,12,2,0,0,0
14,octane,CCCCCCCC,317,16,11,8,0,0,0
15,"1,2-ethanediol",OCCO,314,26,47,0,2,0,0
16,1-heptanol,CCCCCCCO,313,77,0,2,0,0,0
17,nonane,CCCCCCCCC,273,81,0,6,0,0,0
18,"1,2-propanediol",CC(O)CO,272,40,12,6,2,0,0
19,benzene,c1ccccc1,251,45,6,0,0,0,0
20,hexane,CCCCCC,196,93,0,0,0,0,0
21,"1,2-dimethoxyethane",COCCOC,193,70,0,9,0,0,0
22,1-nonanol,CCCCCCCCCO,184,62,0,0,0,0,0
23,"1,2-butanediol",CCC(O)CO,157,60,30,0,0,0,0
24,methylcyclohexane,CC1CCCCC1,142,8,0,0,0,0,0
25,"1,3-propanediol",OCCCO,136,56,47,0,0,0,0
26,"1,4-dimethylbenzene",Cc1ccc(C)cc1,116,43,3,0,0,0,0
27,ethylbenzene,CCc1ccccc1,110,14,0,0,0,0,0
28,methoxymethane,COC,108,0,81,145,0,0,0
29,2-methylheptane,CCCCCC(C)C,107,0,10,0,0,0,0
30,"1,4-butanediol",OCCCCO,98,45,68,0,0,0,0
31,bis(2-hydroxyethyl) ether,C1CCOC1,96,12,6,3,0,0,0
32,tetrahydrofuran,OCCOCCO,96,43,0,,0,0,0
33,dibutyl ether,CCCCOCCCC,83,6,0,5,0,0,0
34,xylene,Cc1ccccc1C,83,31,3,0,0,0,0
35,triethylene glycol,OCCOCCOCCO,81,12,6,3,0,0,0
36,"2,5,8-trioxanonane",COCCOCCOC,80,71,0,9,0,0,0
37,"1,4-dioxane",C1COCCO1,77,32,0,3,0,0,0
38,"1,3-dimethylbenzene",Cc1cccc(C)c1,76,22,0,0,0,0,0
39,butan-2-ol,CCC(C)O,75,13,0,0,0,0,0
40,2-methyl-2-propanol,CC(C)(C)O,65,16,0,0,0,0,0
41,methoxybenzene,COc1ccccc1,63,8,0,0,0,0,0
42,diethyl ether,CCOCC,61,0,0,0,0,0,0
43,methyl tert-butyl ether,COC(C)(C)C,59,33,0,0,0,0,0
44,2-methylpropane,CC(C)C,58,0,0,0,0,0,0
45,butane,CCCC,50,0,0,0,0,0,0
46,isopropyl ether,CC(C)OC(C)C,47,22,0,0,0,0,0
47,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,45,12,0,0,0,0,0
48,glycerol,OCC(O)CO,43,0,0,2,0,0,0
49,3-methyl-1-butanol,CC(C)CCO,37,4,0,0,0,0,0
50,benzyl alcohol,OCc1ccccc1,37,10,0,0,0,0,0
51,2-methyl-2-butanol,CCC(C)(C)O,37,43,88,0,0,0,0
52,tetrahydropyran,COCCO,35,19,11,0,0,0,0
53,2-methoxyethanol,C1CCOCC1,35,10,0,0,0,0,0
54,tert-butyl ethyl ether,CCOC(C)(C)C,32,24,0,0,0,0,0
55,2-ethyl-1-hexanol,CCCCC(CC)CO,29,4,0,3,0,0,0
56,"ethanol, 2-ethoxy-",CCOCCO,28,11,0,0,0,0,0
57,"1,3-butanediol",CCCC(C)O,26,63,8,0,0,0,0
58,2-pentanol,CC(O)CCO,26,6,47,0,0,0,0
59,ethane,Cc1cc(C)cc(C)c1,25,0,0,0,0,0,0
60,"1,3,5-trimethylbenzene",CC,25,3,0,0,0,0,0
61,hexylene glycol,OCCCCCCO,23,49,51,0,0,0,0
62,2-butoxyethanol,CCCCOCCO,20,5,0,0,0,0,0
63,cyclopentane,C1CCCC1,18,15,0,0,0,0,0
64,2-phenylethanol,OCCc1ccccc1,17,12,0,0,0,0,0
65,2-ethyl-1-butanol,CCC(CC)CO,15,48,7,0,0,0,0
66,pentane,CCCCC,15,0,0,0,0,0,0
67,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,14,0,0,0,0,0,0
68,"1,3-dioxolane",C1COCO1,13,11,0,0,0,0,0
69,cyclooctane,C1CCCCCCC1,12,4,0,0,0,0,0
70,2-hexanol,CCCCC(C)O,11,2,0,0,0,0,0
71,2-methyl-1-butanol,CCC(C)CO,11,43,73,0,0,0,0
72,"1,2-hexanediol",CCCCC(O)CO,9,0,0,0,0,0,0
73,"ether, ethyl butyl",CCCCOCC,7,0,0,0,0,0,0
74,cyclopentanol,OC1CCCC1,6,0,0,0,0,0,0
75,"1,2,4-trimethylcyclohexane",CC1CCC(C)C(C)C1,6,0,0,0,0,0,0
76,"1,2-pentanediol",CCCC(O)CO,5,0,0,0,0,0,0
77,ethoxybenzene,CCOc1ccccc1,4,0,0,0,0,0,0
78,dipropyl ether,CCCOCCC,4,0,0,0,0,0,0
79,cyclohexyl alcohol,OC1CCCCC1,4,0,0,0,0,0,0
80,3-pentanol,CCC(O)CC,3,0,0,0,0,0,0
81,"ethanol, 2-propoxy-",CCCCCC(C)O,3,0,0,0,0,0,0
82,2-heptanol,CCCOCCO,3,2,0,0,0,0,0
83,2-octanol,Oc1ccccc1,2,2,0,0,0,0,0
84,phenol,CCCCCCC(C)O,2,0,0,0,0,0,0
