,Component,SMILES,Count
134,cyclohexene oxide,CCCCOCC(C)O,10
135,propylene glycol monoethyl ether,C1CCC2OC2C1,10
136,1-butoxy-2-propanol,CCOCC(C)O,10
137,2-butoxy-1-propanol,CCCCOC(C)CO,10
138,propylbenzene,CC(C)Cc1ccccc1,9
139,isobutylbenzene,CCCCOCC,9
140,"ether, ethyl butyl",CCCc1ccccc1,9
141,butyl isobutyl ether,CCCCCCOCC,8
142,pentyl propyl ether,CCCCOCC(C)C,8
143,tert-amyl methyl ether,CCC(C)(C)OC,8
144,ethyl hexyl ether,CCCCCOCCC,8
145,"1,2,4-trimethylcyclohexane",CC(O)CCC(C)O,6
146,"1,5-hexanediol",CCCCC1CCCCC1,6
147,"1,2-pentanediol",CCCC(O)CO,6
148,"2,5-hexanediol",O[C@H]1CCCC[C@H]1O,6
149,butylcyclohexane,CC(O)c1ccccc1,6
150,methylcyclopentane,CC(O)CCCCO,6
151,.alpha.-methylbenzyl alcohol,CCC1CCCCC1,6
152,"cis-1,2-cyclohexanediol",CC1CCC(C)C(C)C1,6
153,ethylcyclohexane,CC1CCCC1,6
154,"butane, 2-ethoxy-2-methyl-",CCOC(C)(C)CC,5
155,"2,2-dimethoxypropane",COC(C)(C)OC,4
156,ethoxybenzene,CCOc1ccccc1,4
157,2-methyl-1-pentanol,CC(C)CC(C)O,3
158,3-hexanol,CCCC(C)(C)O,3
159,3-phenyl-1-propanol,CCCC(C)CO,3
160,"1,1-diethoxyethane",CCOC(C)OCC,3
161,p-cymene,CCCC(O)CC,3
162,2-methyl-2-pentanol,CC(C)c1ccc(C)cc1,3
163,4-methyl-2-pentanol,OCCCc1ccccc1,3
164,dipropylene glycol monomethyl ether,OCc1occc1,2
165,2-hydroxymethylfuran,COC(C)COC(C)CO,2
166,4-octanol,CCC(C)c1ccccc1,1
167,4-nonanol,CCCCC(O)CCC,1
168,sec-butylbenzene,CC1(C)OCC(CO)O1,1
169,5-nonanol,CCCCCCCC(C)O,1
170,3-octanol,OCCOc1ccccc1,1
171,"1,4-cyclohexanediol, trans-",CCCC(O)CCC,1
172,methoxycyclopentane,CCCCCCC(O)CC,1
173,"2,2-dimethyl-1,3-dioxolane-4-methanol",O[C@@H]1CC[C@@H](O)CC1,1
174,ethylene glycol monophenyl ether,CCc1ccccc1C,1
175,4-heptanol,CC1(C)OCCO1,1
176,1-methyl-3-ethylbenzene,Oc1ccc(O)cc1,1
177,1-ethyl-2-methylbenzene,CCOC([O-])[O-],1
178,3-nonanol,CCCCCC(O)CC,1
179,butyl tert-butyl ether,CCCCCC(O)CCC,1
180,"1,4-benzenediol",COC1CCCC1,1
181,tert-butylbenzene,CCCCC(O)CCCC,1
182,2-nonanol,CC(C)(C)c1ccccc1,1
183,"2,2-dimethyl-1,3-dioxolane",CCc1ccc(C)cc1,1
184,1-methyl-4-ethylbenzene,CCCCOC(C)(C)C,1
185,ethyl orthoformate,CCc1cccc(C)c1,1
