,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary
86,2-(2-methoxyethoxy)ethanol,COCCOCCO,10.0,0.0,4.0,0.0,0.0,0.0,0.0,320.0,0.0,140.0,0.0,0.0,0.0,0.0
87,2-methyltetrahydrofuran,CC1CCCO1,10.0,8.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,45.0,0.0,44.0,0.0,0.0
88,cyclohexene oxide,C1CCC2OC2C1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1-methoxy-2-propanol,COCC(C)O,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
90,4-methylphenol,Cc1ccc(O)cc1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,32.0,0.0,0.0,0.0,0.0
91,dipropyl ether,CCCOCCC,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
92,butyl isobutyl ether,CCCCOCC(C)C,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"ether, ethyl butyl",CCCCOCC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,ethyl hexyl ether,CCCCCCOCC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,3-methylphenol,Cc1cccc(O)c1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,3.0,32.0,0.0,0.0,0.0,0.0
96,pentyl propyl ether,CCCCCOCCC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,cyclohexyl alcohol,OC1CCCCC1,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0
98,isopropylbenzene,CC(C)c1ccccc1,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,propylbenzene,CCCc1ccccc1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"2,5-hexanediol",CC(O)CCC(C)O,6.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
101,ethylcyclohexane,CCC1CCCCC1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"1,2,4-trimethylcyclohexane",CC1CCC(C)C(C)C1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
103,cyclopentanol,OC1CCCC1,6.0,72.0,43.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0
104,"1,5-hexanediol",CC(O)CCCCO,6.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
105,butylcyclohexane,CCCCC1CCCCC1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1-butoxy-2-propanol,CCCCOCC(C)O,5.0,0.0,5.0,0.0,0.0,0.0,0.0,160.0,0.0,160.0,0.0,0.0,0.0,0.0
107,"1,2-pentanediol",CCCC(O)CO,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,.alpha.-methylbenzyl alcohol,CC(O)c1ccccc1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,propylene glycol monoethyl ether,CCOCC(C)O,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"propanol, oxybis-",OCCCOCCCO,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,"3,6-dioxa-1-octanol",CCOCCOCCO,5.0,0.0,5.0,0.0,0.0,0.0,0.0,84.0,0.0,76.0,0.0,17.0,0.0,0.0
112,2-butoxy-1-propanol,CCCCOC(C)CO,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,butylbenzene,CCCCc1ccccc1,5.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"ethanol, 2-propoxy-",CCCOCCO,4.0,0.0,0.0,3.0,0.0,0.0,0.0,151.0,0.0,73.0,78.0,0.0,0.0,0.0
115,ethoxybenzene,CCOc1ccccc1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,51.0,0.0,0.0
116,4-methyl-2-pentanol,CC(C)CC(C)O,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2-methyl-1-pentanol,CCCC(C)CO,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2-methyl-2-pentanol,CCCC(C)(C)O,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,paraldehyde,CC1OC(C)OC(C)O1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,methylcyclopentane,CC1CCCC1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
121,"2,2-dimethoxypropane",COC(C)(C)OC,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,tert-amyl methyl ether,CCC(C)(C)OC,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
123,isobutylbenzene,CC(C)Cc1ccccc1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
124,3-pentanol,CCC(O)CC,3.0,65.0,80.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
125,3-hexanol,CCCC(O)CC,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,"2,3-butanediol",CC(O)C(C)O,3.0,12.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,14.0
127,"1,1-diethoxyethane",CCOC(C)OCC,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,phenol,Oc1ccccc1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2-octanol,CCCCCCC(C)O,2.0,1.0,5.0,0.0,0.0,0.0,0.0,55.0,0.0,42.0,0.0,0.0,0.0,0.0
130,"butane, 2-ethoxy-2-methyl-",CCOC(C)(C)CC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
131,"1,5-pentanediol",OCCCCCO,1.0,42.0,2.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0
132,"2,2-dimethyl-1,3-dioxolane",CC1(C)OCCO1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,butyl tert-butyl ether,CCCCOC(C)(C)C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"3,6-dioxaoctane",CCOCCOCC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,17.0,0.0,0.0
135,"furfuryl alcohol, tetrahydro-",OCC1CCCO1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0
136,1-ethyl-2-methylbenzene,CCc1ccccc1C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,3-phenyl-1-propanol,OCCCc1ccccc1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,34.0,0.0,0.0
138,2-(2-propoxyethoxy)ethanol,CCCOCCOCCO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2-hydroxymethylfuran,OCc1occc1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0
140,dipropylene glycol monomethyl ether,COC(C)COC(C)CO,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0
141,2-isopropoxyethanol,CC(C)OCCO,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0
142,"2,2-dimethyl-1,3-dioxolane-4-methanol",CC1(C)OCC(CO)O1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,neopentyl alcohol,CC(C)(C)CO,0.0,61.0,0.0,0.0,5.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
144,"1,7-heptanediol",OCCCCCCCO,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,3-methyl-2-butanol,CC(C)C(C)O,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
146,ribitol,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,0.0,17.0,0.0,0.0,5.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0
147,"1,8-octanediol",OCCCCCCCCO,0.0,14.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"cis-1,2-cyclohexanediol",O[C@H]1CCCC[C@H]1O,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,"1,4-cyclohexanediol, trans-",O[C@@H]1CC[C@@H](O)CC1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,5-nonanol,CCCCC(O)CCCC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,4-heptanol,CCCC(O)CCC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,3-nonanol,CCCCCCC(O)CC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,3-octanol,CCCCCC(O)CC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,4-nonanol,CCCCCC(O)CCC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2-nonanol,CCCCCCCC(C)O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,4-octanol,CCCCC(O)CCC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3-methyl-3-pentanol,CCC(C)(O)CC,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,3-ethyl-3-pentanol,CCC(O)(CC)CC,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,2-methyloctane,CCCCCCC(C)C,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,"nonane, 2-methyl-",CCCCCCCC(C)C,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,4-methyloctane,CCCCC(C)CCC,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,"octane, 3,6-dimethyl-",CCC(C)CCC(C)CC,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,"heptane, 3,5-dimethyl-",CCC(C)CC(C)CC,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,n-decane,CCCCCCCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.0,5.0,0.0,0.0,20.0,0.0,0.0
165,"1,2-dimethylbenzene",Cc1ccccc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,10.0,592.0,0.0,29.0,0.0,14.0
166,isooctane,CCCCCC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,72.0,0.0,42.0,0.0,0.0
167,n-propyl alcohol,CCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,66.0,105.0,84.0,0.0,0.0
168,amylcarbinol,CCCCCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,96.0,0.0,19.0,0.0,0.0
169,"1,1,1-trimethanolethane",CC(CO)(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0
170,cyclohexanol,OC1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,15.0,0.0,0.0,0.0,0.0
171,cis-decalin,C1CC[C@@H]2CCCC[C@@H]2C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,9.0,0.0,0.0,0.0,0.0
172,"2-ethyl-2-(hydroxymethyl)-1,3-propanediol",CCC(CO)(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
