,Component,SMILES,Component Count dens pure,Component Count cpmol pure,Component Count sos pure,Component Count dielec pure,Component Count hmol pure,Component Count vmol pure,Component Count vspec pure,Component Count dens binary,Component Count actcoeff binary,Component Count sos binary,Component Count dielec binary,Component Count eme binary,Component Count emcp binary,Component Count emv binary
0,decane,CCCCCCCCCC,9289.0,8.0,21.0,0.0,0.0,0.0,0.0,1102.0,6.0,145.0,0.0,60.0,0.0,0.0
1,1-butanol,CCCCO,1327.0,49.0,85.0,11.0,0.0,0.0,0.0,2773.0,8.0,897.0,105.0,581.0,130.0,71.0
2,heptane,CCCCCCC,1254.0,39.0,132.0,3.0,12.0,1.0,0.0,3328.0,8.0,560.0,64.0,202.0,0.0,14.0
3,ethanol,CCO,1169.0,86.0,91.0,8.0,0.0,0.0,2.0,4585.0,11.0,408.0,105.0,507.0,0.0,23.0
4,2-methyl-1-propanol,CC(C)CO,721.0,0.0,15.0,5.0,0.0,0.0,0.0,399.0,0.0,71.0,105.0,31.0,0.0,0.0
5,1-hexanol,CCCCCCO,664.0,8.0,64.0,2.0,0.0,0.0,0.0,729.0,0.0,204.0,0.0,31.0,0.0,0.0
6,1-propanol,CCCO,659.0,18.0,78.0,7.0,0.0,0.0,0.0,2428.0,6.0,430.0,0.0,118.0,0.0,0.0
7,toluene,Cc1ccccc1,641.0,3.0,235.0,51.0,0.0,0.0,0.0,2663.0,29.0,660.0,0.0,158.0,0.0,14.0
8,water,O,634.0,54.0,183.0,31.0,0.0,0.0,39.0,10916.0,122.0,964.0,34.0,376.0,390.0,578.0
9,methanol,CO,606.0,75.0,142.0,7.0,0.0,0.0,0.0,853.0,5.0,31.0,515.0,210.0,0.0,0.0
10,1-pentanol,CCCCCO,396.0,0.0,78.0,10.0,0.0,0.0,0.0,670.0,0.0,89.0,90.0,299.0,0.0,0.0
11,cyclohexane,C1CCCCC1,368.0,21.0,55.0,0.0,0.0,11.0,0.0,2548.0,7.0,520.0,0.0,336.0,0.0,14.0
12,2-propanol,CC(C)O,357.0,6.0,53.0,5.0,0.0,0.0,0.0,2433.0,6.0,418.0,105.0,139.0,0.0,0.0
13,1-octanol,CCCCCCCCO,356.0,12.0,78.0,2.0,0.0,0.0,0.0,812.0,0.0,476.0,0.0,32.0,0.0,0.0
14,octane,CCCCCCCC,317.0,11.0,16.0,8.0,0.0,0.0,0.0,3184.0,13.0,226.0,90.0,110.0,0.0,0.0
15,"1,2-ethanediol",OCCO,314.0,47.0,26.0,1.0,0.0,0.0,2.0,615.0,6.0,87.0,10.0,0.0,79.0,135.0
16,1-heptanol,CCCCCCCO,313.0,0.0,77.0,2.0,0.0,0.0,0.0,1293.0,0.0,235.0,0.0,21.0,0.0,0.0
17,nonane,CCCCCCCCC,273.0,0.0,81.0,6.0,0.0,0.0,0.0,1719.0,11.0,38.0,132.0,79.0,0.0,0.0
18,"1,2-propanediol",CC(O)CO,272.0,12.0,40.0,6.0,0.0,0.0,2.0,669.0,10.0,0.0,8.0,97.0,85.0,114.0
19,benzene,c1ccccc1,251.0,6.0,45.0,0.0,0.0,0.0,1.0,2314.0,24.0,393.0,0.0,229.0,0.0,14.0
20,hexane,CCCCCC,196.0,0.0,93.0,0.0,0.0,0.0,0.0,651.0,14.0,223.0,0.0,157.0,0.0,87.0
21,"1,2-dimethoxyethane",COCCOC,193.0,0.0,70.0,9.0,0.0,0.0,0.0,488.0,0.0,0.0,97.0,17.0,0.0,0.0
22,1-nonanol,CCCCCCCCCO,184.0,0.0,62.0,0.0,0.0,0.0,0.0,613.0,0.0,405.0,0.0,28.0,0.0,0.0
23,"1,2-butanediol",CCC(O)CO,157.0,31.0,60.0,0.0,0.0,0.0,0.0,278.0,0.0,277.0,0.0,0.0,0.0,14.0
24,2-hexanol,CCCCC(C)O,154.0,0.0,2.0,0.0,0.0,0.0,0.0,90.0,0.0,42.0,0.0,0.0,0.0,0.0
25,methylcyclohexane,CC1CCCCC1,142.0,0.0,8.0,0.0,0.0,0.0,0.0,1478.0,1.0,354.0,0.0,76.0,0.0,0.0
26,"1,3-propanediol",OCCCO,136.0,47.0,56.0,0.0,0.0,0.0,0.0,406.0,13.0,132.0,8.0,36.0,64.0,104.0
27,dimethoxymethane,COCOC,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"2,5-dimethylfuran",Cc1oc(C)cc1,119.0,0.0,25.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"1,4-dimethylbenzene",Cc1ccc(C)cc1,116.0,3.0,43.0,0.0,0.0,0.0,0.0,1259.0,22.0,600.0,0.0,14.0,0.0,14.0
30,ethylbenzene,CCc1ccccc1,110.0,0.0,14.0,0.0,0.0,0.0,0.0,494.0,8.0,242.0,0.0,0.0,0.0,0.0
31,2-methylfuran,Cc1occc1,109.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,furan,o1cccc1,108.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,methoxymethane,COC,108.0,81.0,0.0,145.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,76.0,0.0,0.0
34,2-methylheptane,CCCCCC(C)C,107.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"2,3-dimethylbutane",CC(C)C(C)C,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"2,2-dimethylbutane",CCC(C)(C)C,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3-methylpentane,CCC(C)CC,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2-methylpentane,CCCC(C)C,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
39,"1,4-butanediol",OCCCCO,98.0,68.0,46.0,0.0,0.0,0.0,0.0,215.0,0.0,196.0,0.0,36.0,239.0,163.0
40,bis(2-hydroxyethyl) ether,OCCOCCO,96.0,6.0,12.0,3.0,0.0,0.0,0.0,588.0,48.0,0.0,39.0,0.0,0.0,0.0
41,tetrahydrofuran,C1CCOC1,96.0,0.0,43.0,0.0,0.0,1.0,0.0,457.0,0.0,116.0,0.0,98.0,0.0,39.0
42,dibutyl ether,CCCCOCCCC,83.0,0.0,6.0,5.0,0.0,0.0,0.0,1271.0,0.0,349.0,90.0,576.0,0.0,0.0
43,xylene,Cc1ccccc1C,83.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,triethylene glycol,OCCOCCOCCO,81.0,6.0,12.0,3.0,0.0,0.0,0.0,39.0,12.0,0.0,39.0,0.0,0.0,0.0
45,"2,5,8-trioxanonane",COCCOCCOC,80.0,0.0,71.0,9.0,0.0,0.0,0.0,257.0,0.0,18.0,99.0,0.0,0.0,0.0
46,trans-decalin,C1CC[C@@H]2CCCC[C@H]2C1,78.0,0.0,1.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"1,4-dioxane",C1COCCO1,77.0,0.0,32.0,3.0,0.0,0.0,0.0,241.0,0.0,243.0,0.0,47.0,0.0,0.0
48,"1,3-dimethylbenzene",Cc1cccc(C)c1,76.0,0.0,22.0,0.0,0.0,0.0,0.0,660.0,18.0,557.0,0.0,25.0,0.0,14.0
49,butan-2-ol,CCC(C)O,75.0,0.0,13.0,0.0,0.0,0.0,0.0,202.0,0.0,136.0,0.0,85.0,0.0,0.0
50,2-methyl-2-propanol,CC(C)(C)O,65.0,0.0,16.0,0.0,0.0,0.0,0.0,1168.0,0.0,45.0,0.0,0.0,0.0,0.0
51,methoxybenzene,COc1ccccc1,63.0,0.0,6.0,0.0,0.0,0.0,0.0,466.0,0.0,109.0,0.0,51.0,0.0,0.0
52,diethyl ether,CCOCC,61.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,23.0,0.0,0.0,0.0,0.0
53,methyl tert-butyl ether,COC(C)(C)C,59.0,0.0,33.0,0.0,0.0,0.0,0.0,2321.0,4.0,838.0,0.0,140.0,0.0,0.0
54,2-methylpropane,CC(C)C,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
55,butane,CCCC,50.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,21.0,0.0,0.0,0.0,0.0,0.0
56,isopropyl ether,CC(C)OC(C)C,47.0,0.0,22.0,0.0,0.0,0.0,0.0,88.0,0.0,97.0,0.0,101.0,0.0,0.0
57,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,45.0,0.0,12.0,0.0,0.0,0.0,0.0,1370.0,0.0,261.0,0.0,156.0,0.0,0.0
58,glycerol,OCC(O)CO,43.0,0.0,0.0,2.0,0.0,0.0,0.0,860.0,10.0,0.0,8.0,0.0,0.0,0.0
59,benzyl alcohol,OCc1ccccc1,37.0,0.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,156.0,0.0,128.0,0.0,0.0
60,3-methyl-1-butanol,CC(C)CCO,37.0,0.0,4.0,0.0,0.0,0.0,0.0,235.0,15.0,52.0,0.0,0.0,0.0,0.0
61,2-methyl-2-butanol,CCC(C)(C)O,37.0,88.0,43.0,0.0,0.0,0.0,0.0,248.0,16.0,450.0,0.0,98.0,0.0,39.0
62,tetrahydropyran,C1CCOCC1,35.0,11.0,19.0,0.0,0.0,0.0,0.0,289.0,0.0,254.0,0.0,218.0,0.0,112.0
63,2-methoxyethanol,COCCO,35.0,0.0,10.0,0.0,0.0,0.0,0.0,517.0,17.0,306.0,0.0,0.0,0.0,0.0
64,tert-butyl ethyl ether,CCOC(C)(C)C,32.0,0.0,24.0,0.0,0.0,0.0,0.0,1048.0,4.0,819.0,0.0,0.0,0.0,0.0
65,2-ethyl-1-hexanol,CCCCC(CC)CO,29.0,0.0,4.0,3.0,0.0,0.0,0.0,116.0,0.0,58.0,0.0,0.0,0.0,0.0
66,"ethanol, 2-ethoxy-",CCOCCO,28.0,0.0,11.0,0.0,0.0,0.0,0.0,47.0,0.0,27.0,0.0,117.0,0.0,0.0
67,2-pentanol,CCCC(C)O,26.0,47.0,6.0,0.0,0.0,0.0,0.0,126.0,13.0,39.0,0.0,84.0,0.0,0.0
68,"1,3-butanediol",CC(O)CCO,26.0,8.0,63.0,0.0,0.0,0.0,0.0,218.0,0.0,204.0,0.0,0.0,0.0,14.0
69,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,25.0,0.0,3.0,0.0,0.0,0.0,0.0,285.0,0.0,115.0,0.0,0.0,0.0,0.0
70,ethane,CC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
71,hexylene glycol,OCCCCCCO,23.0,51.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2-butoxyethanol,CCCCOCCO,20.0,0.0,5.0,0.0,0.0,0.0,0.0,781.0,0.0,562.0,0.0,38.0,0.0,0.0
73,cyclopentane,C1CCCC1,18.0,0.0,15.0,0.0,0.0,0.0,0.0,412.0,6.0,398.0,0.0,63.0,0.0,0.0
74,exo-tetrahydrodicyclopentadiene,C1CC2C3CCC(C3)C2C1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2-phenylethanol,OCCc1ccccc1,17.0,0.0,12.0,0.0,0.0,0.0,0.0,349.0,0.0,198.0,0.0,34.0,0.0,0.0
76,"1,2-hexanediol",CCCCC(O)CO,15.0,5.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,53.0,60.0
77,2-ethyl-1-butanol,CCC(CC)CO,15.0,7.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,pentane,CCCCC,15.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,6.0,0.0,0.0,0.0,0.0,0.0
79,"1,2,4-trimethylbenzene",CC1=CC(=C(C)C=C1)C,14.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"1,3-dioxolane",C1COCO1,13.0,0.0,11.0,0.0,0.0,0.0,0.0,204.0,0.0,148.0,0.0,0.0,0.0,0.0
81,cyclooctane,C1CCCCCCC1,12.0,0.0,4.0,0.0,0.0,0.0,0.0,271.0,7.0,144.0,0.0,0.0,0.0,0.0
82,"1,2,3,4-tetrahydronaphthalene",C1CCc2ccccc2C1,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
83,2-heptanol,CCCCCC(C)O,11.0,1.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0
84,2-methyl-1-butanol,CCC(C)CO,11.0,73.0,43.0,0.0,0.0,0.0,0.0,173.0,15.0,56.0,0.0,0.0,0.0,0.0
85,1-propoxy-2-propanol,CCCOCC(C)O,10.0,0.0,10.0,0.0,0.0,0.0,0.0,318.0,0.0,145.0,0.0,0.0,0.0,0.0
