;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
0;oxidane;O;10916.0;122.0;964.0;34.0;376.0;390.0;578.0;13380.0
1;ethanol;CCO;4585.0;11.0;408.0;105.0;507.0;0.0;23.0;5639.0
2;Butan-1-ol;CCCCO;2773.0;8.0;897.0;105.0;581.0;130.0;71.0;4565.0
3;Propan-1-ol;CCCO;2785.0;6.0;496.0;105.0;202.0;0.0;0.0;3594.0
6;Propan-2-ol;CC(C)O;2433.0;6.0;418.0;105.0;139.0;0.0;0.0;3101.0
7;HEPTANE;CCCCCCC;2147.0;8.0;560.0;64.0;202.0;0.0;14.0;2995.0
10;Cyclohexane;C1CCCCC1;1465.0;7.0;520.0;0.0;302.0;0.0;14.0;2308.0
12;methanol;CO;982.0;5.0;31.0;620.0;297.0;0.0;0.0;1935.0
14;Methylcyclohexane;CC1CCCCC1;1478.0;1.0;354.0;0.0;76.0;0.0;0.0;1909.0
15;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;1048.0;4.0;819.0;0.0;0.0;0.0;0.0;1871.0
16;2-Methylpropan-2-ol;CC(C)(C)O;1435.0;0.0;177.0;95.0;0.0;0.0;0.0;1707.0
17;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;1216.0;0.0;261.0;0.0;156.0;0.0;0.0;1633.0
19;HEXAN-1-OL;CCCCCCO;1073.0;0.0;300.0;0.0;50.0;0.0;0.0;1423.0
24;Pentan-1-ol;CCCCCO;670.0;0.0;89.0;90.0;299.0;0.0;0.0;1148.0
28;Cyclopentane;C1CCCC1;412.0;6.0;398.0;0.0;63.0;0.0;0.0;879.0
30;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1;289.0;0.0;254.0;0.0;218.0;0.0;112.0;873.0
31;Hexane;CCCCCC;402.0;14.0;223.0;0.0;139.0;0.0;87.0;865.0
32;2-Methylbutan-2-ol;CCC(C)(C)O;248.0;16.0;450.0;0.0;98.0;0.0;39.0;851.0
34;2-Methoxyethanol;COCCO;517.0;17.0;306.0;0.0;0.0;0.0;0.0;840.0
38;Oxolane;C1CCOC1;457.0;0.0;116.0;0.0;98.0;0.0;39.0;710.0
43;2-Methylpropan-1-ol;CC(C)CO;399.0;0.0;71.0;105.0;31.0;0.0;0.0;606.0
47;1,4-Dioxane;C1COCCO1;241.0;0.0;243.0;0.0;47.0;0.0;0.0;531.0
48;2-Methylheptane;CCCCCC(C)C;413.0;0.0;72.0;0.0;42.0;0.0;0.0;527.0
49;1-Propoxypropan-2-ol;CCCOCC(C)O;318.0;0.0;145.0;0.0;0.0;0.0;0.0;463.0
52;Butan-2-ol;CCC(C)O;202.0;0.0;136.0;0.0;85.0;0.0;0.0;423.0
54;;C1CCCCCCC1;249.0;7.0;144.0;0.0;0.0;0.0;0.0;400.0
55;2-Ethoxyethanol;CCOCCO;91.0;0.0;71.0;0.0;221.0;0.0;0.0;383.0
58;1,3-DIOXOLANE;C1COCO1;204.0;0.0;148.0;0.0;0.0;0.0;0.0;352.0
62;3-Methylbutan-1-ol;CC(C)CCO;235.0;15.0;52.0;0.0;0.0;0.0;0.0;302.0
63;2-Propoxyethanol;CCCOCCO;151.0;0.0;73.0;78.0;0.0;0.0;0.0;302.0
66;2-propan-2-yloxypropane;CC(C)OC(C)C;88.0;0.0;97.0;0.0;101.0;0.0;0.0;286.0
71;pentan-2-ol;CCCC(C)O;126.0;13.0;39.0;0.0;84.0;0.0;0.0;262.0
73;2-Methylbutan-1-ol;CCC(C)CO;173.0;15.0;56.0;0.0;0.0;0.0;0.0;244.0
77;2,2-dimethylpropan-1-ol;CC(C)(C)CO;213.0;0.0;0.0;0.0;0.0;0.0;0.0;213.0
79;2-Methylpropane-1,3-diol;CC(CO)CO;209.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0
83;2-Methoxy-2-methylbutane;CCC(C)(C)OC;136.0;4.0;21.0;0.0;0.0;0.0;19.0;180.0
90;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
93;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
94;hexan-2-ol;CCCCC(C)O;90.0;0.0;42.0;0.0;0.0;0.0;0.0;132.0
95;2-Methyloxolane;CC1CCCO1;27.0;0.0;45.0;0.0;44.0;0.0;0.0;116.0
99;Methoxymethane;COC;0.0;23.0;0.0;0.0;76.0;0.0;0.0;99.0
101;2-(2-Methylpropoxy)ethanol;CC(C)COCCO;45.0;0.0;45.0;0.0;0.0;0.0;0.0;90.0
104;heptan-2-ol;CCCCCC(C)O;42.0;0.0;42.0;0.0;0.0;0.0;0.0;84.0
106;1-propoxypropane;CCCOCCC;0.0;0.0;0.0;0.0;79.0;0.0;0.0;79.0
113;2,3-Dimethylbutane;CC(C)C(C)C;0.0;0.0;0.0;0.0;63.0;0.0;0.0;63.0
114;2,2-Dimethylbutane;CCC(C)(C)C;0.0;0.0;0.0;0.0;62.0;0.0;0.0;62.0
119;Ethoxyethane;CCOCC;22.0;0.0;23.0;0.0;0.0;0.0;0.0;45.0
123;2-propan-2-yloxyethanol;CC(C)OCCO;18.0;0.0;18.0;0.0;0.0;0.0;0.0;36.0
125;ETHANE;CC;31.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0
130;BUTANE;CCCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
131;PROPANE;CCC;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
132;2-Methylpropane;CC(C)C;0.0;21.0;0.0;0.0;0.0;0.0;0.0;21.0
133;2-Methylpentane;CCCC(C)C;0.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0
136;methane;C;12.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0
138;3-Methylbutan-2-ol;CC(C)C(C)O;0.0;10.0;0.0;0.0;0.0;0.0;0.0;10.0
139;Pentane;CCCCC;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
140;Cycloheptane;C1CCCCCC1;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
143;Methylcyclopentane;CC1CCCC1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
