;Component;SMILES;Count dens pure;Count cpmol pure;Count sos pure;Count dielec pure;Count hmol pure;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all
8;oxidane;O;634.0;54.0;183.0;31.0;0.0;10916.0;122.0;964.0;34.0;376.0;390.0;578.0;14282.0
0;Decane;CCCCCCCCCC;9289.0;8.0;21.0;0.0;0.0;533.0;11.0;145.0;0.0;80.0;0.0;0.0;10087.0
3;ethanol;CCO;1169.0;86.0;91.0;8.0;0.0;4585.0;11.0;408.0;105.0;507.0;0.0;23.0;6993.0
1;Butan-1-ol;CCCCO;1327.0;49.0;85.0;11.0;0.0;2773.0;8.0;897.0;105.0;581.0;130.0;71.0;6037.0
7;methylbenzene;Cc1ccccc1;641.0;3.0;235.0;51.0;0.0;2663.0;29.0;660.0;0.0;158.0;0.0;14.0;4454.0
2;HEPTANE;CCCCCCC;1254.0;39.0;132.0;3.0;12.0;2147.0;8.0;560.0;64.0;202.0;0.0;14.0;4435.0
6;Propan-1-ol;CCCO;659.0;18.0;78.0;7.0;0.0;2785.0;6.0;496.0;105.0;202.0;0.0;0.0;4356.0
12;Propan-2-ol;CC(C)O;357.0;6.0;53.0;5.0;0.0;2433.0;6.0;418.0;105.0;139.0;0.0;0.0;3522.0
52;2-Methoxy-2-methylpropane;COC(C)(C)C;59.0;0.0;33.0;0.0;0.0;2321.0;4.0;838.0;0.0;140.0;0.0;0.0;3395.0
19;BENZENE;c1ccccc1;251.0;6.0;45.0;0.0;0.0;2314.0;24.0;393.0;0.0;229.0;0.0;14.0;3276.0
14;octane;CCCCCCCC;317.0;11.0;16.0;8.0;0.0;2022.0;13.0;226.0;90.0;94.0;0.0;0.0;2797.0
9;methanol;CO;606.0;75.0;142.0;7.0;0.0;982.0;5.0;31.0;620.0;297.0;0.0;0.0;2765.0
11;Cyclohexane;C1CCCCC1;368.0;21.0;55.0;0.0;0.0;1465.0;7.0;520.0;0.0;302.0;0.0;14.0;2752.0
42;1-Butoxybutane;CCCCOCCCC;83.0;0.0;6.0;5.0;0.0;1271.0;0.0;349.0;90.0;576.0;0.0;0.0;2380.0
5;HEXAN-1-OL;CCCCCCO;664.0;8.0;64.0;2.0;0.0;1073.0;0.0;300.0;0.0;50.0;0.0;0.0;2161.0
29;1,4-Dimethylbenzene;Cc1ccc(C)cc1;116.0;3.0;43.0;0.0;0.0;1259.0;22.0;600.0;0.0;14.0;0.0;14.0;2071.0
25;Methylcyclohexane;CC1CCCCC1;142.0;0.0;8.0;0.0;0.0;1478.0;1.0;354.0;0.0;76.0;0.0;0.0;2059.0
16;Heptan-1-ol;CCCCCCCO;313.0;0.0;77.0;2.0;0.0;1293.0;0.0;235.0;0.0;21.0;0.0;0.0;1941.0
65;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;32.0;0.0;24.0;0.0;0.0;1048.0;4.0;819.0;0.0;0.0;0.0;0.0;1927.0
49;2-Methylpropan-2-ol;CC(C)(C)O;65.0;0.0;16.0;0.0;0.0;1435.0;0.0;177.0;95.0;0.0;0.0;0.0;1788.0
13;OCTAN-1-OL;CCCCCCCCO;356.0;12.0;78.0;2.0;0.0;812.0;0.0;476.0;0.0;32.0;0.0;0.0;1768.0
56;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;45.0;0.0;12.0;0.0;0.0;1216.0;0.0;261.0;0.0;156.0;0.0;0.0;1690.0
10;Pentan-1-ol;CCCCCO;396.0;0.0;78.0;10.0;0.0;670.0;0.0;89.0;90.0;299.0;0.0;0.0;1632.0
43;1,2-Dimethylbenzene;Cc1ccccc1C;83.0;3.0;31.0;0.0;0.0;663.0;19.0;592.0;0.0;29.0;0.0;14.0;1434.0
73;2-Butoxyethanol;CCCCOCCO;20.0;0.0;5.0;0.0;0.0;781.0;0.0;562.0;0.0;38.0;0.0;0.0;1406.0
47;1,3-Dimethylbenzene;Cc1cccc(C)c1;76.0;0.0;22.0;0.0;0.0;660.0;18.0;557.0;0.0;25.0;0.0;14.0;1372.0
4;2-Methylpropan-1-ol;CC(C)CO;721.0;0.0;15.0;5.0;0.0;399.0;0.0;71.0;105.0;31.0;0.0;0.0;1347.0
15;Ethane-1,2-diol;OCCO;314.0;47.0;26.0;1.0;0.0;615.0;6.0;87.0;10.0;0.0;79.0;135.0;1320.0
18;PROPANE-1,2-DIOL;CC(O)CO;272.0;12.0;40.0;6.0;0.0;669.0;10.0;0.0;8.0;97.0;85.0;114.0;1313.0
22;Nonan-1-ol;CCCCCCCCCO;184.0;0.0;62.0;0.0;0.0;613.0;0.0;405.0;0.0;28.0;0.0;0.0;1292.0
20;Hexane;CCCCCC;196.0;0.0;93.0;0.0;0.0;402.0;14.0;223.0;0.0;139.0;0.0;87.0;1154.0
39;Butane-1,4-diol;OCCCCO;98.0;68.0;46.0;0.0;0.0;215.0;0.0;196.0;0.0;36.0;239.0;163.0;1061.0
62;2-Methylbutan-2-ol;CCC(C)(C)O;37.0;88.0;43.0;0.0;0.0;248.0;16.0;450.0;0.0;98.0;0.0;39.0;1019.0
26;Propane-1,3-diol;OCCCO;136.0;47.0;56.0;0.0;0.0;406.0;13.0;132.0;8.0;36.0;64.0;104.0;1002.0
17;Nonane;CCCCCCCCC;273.0;0.0;81.0;6.0;0.0;379.0;11.0;38.0;132.0;79.0;0.0;0.0;999.0
64;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1;35.0;11.0;19.0;0.0;0.0;289.0;0.0;254.0;0.0;218.0;0.0;112.0;938.0
57;PROPANE-1,2,3-TRIOL;OCC(O)CO;43.0;0.0;0.0;2.0;0.0;860.0;10.0;0.0;8.0;0.0;0.0;0.0;923.0
74;Cyclopentane;C1CCCC1;18.0;0.0;15.0;0.0;0.0;412.0;6.0;398.0;0.0;63.0;0.0;0.0;912.0
63;2-Methoxyethanol;COCCO;35.0;0.0;10.0;0.0;0.0;517.0;17.0;306.0;0.0;0.0;0.0;0.0;885.0
21;1,2-Dimethoxyethane;COCCOC;193.0;0.0;70.0;9.0;0.0;488.0;0.0;0.0;97.0;17.0;0.0;0.0;874.0
30;Ethylbenzene;CCc1ccccc1;110.0;0.0;14.0;0.0;0.0;494.0;8.0;242.0;0.0;0.0;0.0;0.0;868.0
41;Oxolane;C1CCOC1;96.0;0.0;43.0;0.0;0.0;457.0;0.0;116.0;0.0;98.0;0.0;39.0;849.0
23;butane-1,2-diol;CCC(O)CO;157.0;31.0;60.0;0.0;0.0;278.0;0.0;277.0;0.0;0.0;0.0;14.0;817.0
40;2-(2-Hydroxyethoxy)ethanol;OCCOCCO;96.0;6.0;12.0;3.0;0.0;588.0;48.0;0.0;39.0;0.0;0.0;0.0;792.0
50;Methoxybenzene;COc1ccccc1;63.0;0.0;6.0;0.0;0.0;466.0;0.0;109.0;0.0;51.0;0.0;0.0;695.0
61;phenylmethanol;OCc1ccccc1;37.0;0.0;10.0;0.0;0.0;300.0;0.0;156.0;0.0;176.0;0.0;0.0;679.0
