;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
391;2-methyl-1-propanol__octane;2-methyl-1-propanol;octane;CC(C)CO;CCCCCCCC;16.0;0.0;16.0;0.0;0.0;0.0;0.0;32.0
315;1,3-dimethylbenzene__hexane;1,3-dimethylbenzene;hexane;Cc1cccc(C)c1;CCCCCC;31.0;0.0;0.0;0.0;0.0;0.0;0.0;31.0
571;benzyl alcohol__1-heptanol;benzyl alcohol;1-heptanol;OCc1ccccc1;CCCCCCCO;0.0;0.0;30.0;0.0;0.0;0.0;0.0;30.0
572;benzyl alcohol__1-nonanol;benzyl alcohol;1-nonanol;OCc1ccccc1;CCCCCCCCCO;0.0;0.0;30.0;0.0;0.0;0.0;0.0;30.0
318;1,2-propanediol__1-heptanol;1,2-propanediol;1-heptanol;CC(O)CO;CCCCCCCO;30.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
620;benzene__5-oxanonane;benzene;5-oxanonane;c1ccccc1;CCCCOCCCC;0.0;0.0;0.0;0.0;30.0;0.0;0.0;30.0
399;2-phenylethanol__ethoxybenzene;2-phenylethanol;ethoxybenzene;OCCc1ccccc1;CCOc1ccccc1;13.0;0.0;0.0;0.0;17.0;0.0;0.0;30.0
316;xylitol__water;xylitol;water;OC[C@@H](O)[C@H](O)[C@@H](O)CO;O;30.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
570;benzyl alcohol__1-octanol;benzyl alcohol;1-octanol;OCc1ccccc1;CCCCCCCCO;0.0;0.0;30.0;0.0;0.0;0.0;0.0;30.0
317;propan-1-ol__water;propan-1-ol;water;CCCO;O;30.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
422;methoxybenzene__3-phenyl-1-propanol;methoxybenzene;3-phenyl-1-propanol;COc1ccccc1;OCCCc1ccccc1;12.0;0.0;0.0;0.0;17.0;0.0;0.0;29.0
