;Component;SMILES;Count dens pure;Count cpmol pure;Count sos pure;Count dielec pure;Count hmol pure;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all
51;Butan-2-ol;CCC(C)O;75.0;0.0;13.0;0.0;0.0;202.0;0.0;136.0;0.0;85.0;0.0;0.0;511.0
52;Pentane;CCCCC;15.0;0.0;0.0;0.0;0.0;483.0;6.0;0.0;0.0;0.0;0.0;0.0;504.0
53;1-Propoxypropan-2-ol;CCCOCC(C)O;10.0;0.0;10.0;0.0;0.0;318.0;0.0;145.0;0.0;0.0;0.0;0.0;483.0
55;;C1CCCCCCC1;12.0;0.0;4.0;0.0;0.0;271.0;7.0;144.0;0.0;0.0;0.0;0.0;438.0
56;Methoxymethane;COC;108.0;81.0;0.0;145.0;0.0;0.0;23.0;0.0;0.0;76.0;0.0;0.0;433.0
58;2-Ethoxyethanol;CCOCCO;28.0;0.0;11.0;0.0;0.0;91.0;0.0;71.0;0.0;221.0;0.0;0.0;422.0
61;1,3-DIOXOLANE;C1COCO1;13.0;0.0;11.0;0.0;0.0;204.0;0.0;148.0;0.0;0.0;0.0;0.0;376.0
63;2-Methylbutan-1-ol;CCC(C)CO;11.0;73.0;43.0;0.0;0.0;173.0;15.0;56.0;0.0;0.0;0.0;0.0;371.0
65;2-propan-2-yloxypropane;CC(C)OC(C)C;47.0;0.0;22.0;0.0;0.0;88.0;0.0;97.0;0.0;101.0;0.0;0.0;355.0
66;3-Methylbutan-1-ol;CC(C)CCO;37.0;0.0;4.0;0.0;0.0;235.0;15.0;52.0;0.0;0.0;0.0;0.0;343.0
67;pentan-2-ol;CCCC(C)O;26.0;47.0;6.0;0.0;0.0;126.0;13.0;39.0;0.0;84.0;0.0;0.0;341.0
73;2-Propoxyethanol;CCCOCCO;4.0;0.0;0.0;3.0;0.0;151.0;0.0;73.0;78.0;0.0;0.0;0.0;309.0
74;hexan-2-ol;CCCCC(C)O;154.0;0.0;2.0;0.0;0.0;90.0;0.0;42.0;0.0;0.0;0.0;0.0;288.0
75;2,2-dimethylpropan-1-ol;CC(C)(C)CO;0.0;61.0;0.0;0.0;5.0;213.0;0.0;0.0;0.0;0.0;0.0;0.0;279.0
79;BUTANE;CCCC;50.0;0.0;0.0;0.0;0.0;163.0;21.0;0.0;0.0;0.0;0.0;0.0;234.0
85;2-Methylpropane-1,3-diol;CC(CO)CO;0.0;0.0;0.0;0.0;0.0;209.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0
89;2-Methoxy-2-methylbutane;CCC(C)(C)OC;3.0;0.0;1.0;0.0;0.0;136.0;4.0;21.0;0.0;0.0;0.0;19.0;184.0
91;PROPANE;CCC;0.0;0.0;0.0;0.0;0.0;157.0;21.0;0.0;0.0;0.0;0.0;0.0;178.0
97;2,3-Dimethylbutane;CC(C)C(C)C;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.0;0.0;0.0;164.0
98;2,2-Dimethylbutane;CCC(C)(C)C;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.0;0.0;0.0;163.0
102;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO;0.0;0.0;0.0;0.0;0.0;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
103;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO;0.0;0.0;0.0;0.0;0.0;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
104;2-Methyloxolane;CC1CCCO1;10.0;8.0;4.0;0.0;0.0;27.0;0.0;45.0;0.0;44.0;0.0;0.0;138.0
108;2-Methylpentane;CCCC(C)C;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;119.0
109;Dimethoxymethane;COCOC;119.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0
110;Ethoxyethane;CCOCC;61.0;0.0;1.0;0.0;0.0;22.0;0.0;23.0;0.0;0.0;0.0;0.0;107.0
113;3-Methylpentane;CCC(C)CC;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
115;heptan-2-ol;CCCCCC(C)O;11.0;1.0;2.0;0.0;0.0;42.0;0.0;42.0;0.0;0.0;0.0;0.0;98.0
117;2-(2-Methylpropoxy)ethanol;CC(C)COCCO;0.0;0.0;0.0;0.0;0.0;45.0;0.0;45.0;0.0;0.0;0.0;0.0;90.0
118;1-propoxypropane;CCCOCCC;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;88.0
123;2-Methylpropane;CC(C)C;58.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;79.0
128;ETHANE;CC;25.0;0.0;0.0;0.0;0.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;69.0
138;3-Methylbutan-2-ol;CC(C)C(C)O;0.0;30.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;40.0
139;2-propan-2-yloxyethanol;CC(C)OCCO;1.0;0.0;1.0;0.0;0.0;18.0;0.0;18.0;0.0;0.0;0.0;0.0;38.0
141;methane;C;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0
151;1-Ethoxypropan-2-ol;CCOCC(C)O;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
158;1-ethoxybutane;CCCCOCC;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0
159;Methylcyclopentane;CC1CCCC1;3.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0
162;Cycloheptane;C1CCCCCC1;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
169;2-Methylpentan-1-ol;CCCC(C)CO;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
171;1,1-Diethoxyethane;CCOC(C)OCC;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
174;4-Methylpentan-2-ol;CC(C)CC(C)O;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
175;2-Methylpentan-2-ol;CCCC(C)(C)O;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
