;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
70;2-propanol__cyclohexane;2-propanol;cyclohexane;CC(C)O;C1CCCCC1;78.0;0.0;78.0;0.0;9.0;0.0;0.0;165.0
74;propane__butane;propane;butane;CCC;CCCC;157.0;0.0;0.0;0.0;0.0;0.0;0.0;157.0
75;2,2-dimethyl-1,3-propanediol__water;2,2-dimethyl-1,3-propanediol;water;CC(C)(CO)CO;O;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
79;ethanol__cyclohexane;ethanol;cyclohexane;CCO;C1CCCCC1;111.0;0.0;39.0;0.0;0.0;0.0;0.0;150.0
80;hexane__heptane;hexane;heptane;CCCCCC;CCCCCCC;149.0;0.0;0.0;0.0;0.0;0.0;0.0;149.0
82;ethanol__isooctane;ethanol;isooctane;CCO;CCCCCC(C)C;72.0;0.0;72.0;0.0;0.0;0.0;0.0;144.0
97;3-methylpentane-1,5-diol__water;3-methylpentane-1,5-diol;water;CC(CCO)CCO;O;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
102;ethanol__2-methyl-1-butanol;ethanol;2-methyl-1-butanol;CCO;CCC(C)CO;116.0;0.0;18.0;0.0;0.0;0.0;0.0;134.0
106;1-propanol__tert-butanol;1-propanol;tert-butanol;CCCO;CC(C)(C)O;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
115;2-propanol__tert-butanol;2-propanol;tert-butanol;CC(C)O;CC(C)(C)O;66.0;0.0;66.0;0.0;0.0;0.0;0.0;132.0
124;ethanol__hexane;ethanol;hexane;CCO;CCCCCC;39.0;0.0;39.0;0.0;17.0;0.0;23.0;118.0
133;1-propanol__2,2,4-trimethylpentane;1-propanol;2,2,4-trimethylpentane;CCCO;CC(C)CC(C)(C)C;108.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0
136;pentane__heptane;pentane;heptane;CCCCC;CCCCCCC;107.0;0.0;0.0;0.0;0.0;0.0;0.0;107.0
141;methanol__1-propanol;methanol;1-propanol;CO;CCCO;0.0;0.0;0.0;105.0;0.0;0.0;0.0;105.0
