;Component;SMILES;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all binary
0;oxidane;O;10916.0;122.0;964.0;34.0;376.0;390.0;578.0;13380.0
1;ethanol;CCO;4585.0;11.0;408.0;105.0;507.0;0.0;23.0;5639.0
3;Butan-1-ol;CCCCO;2773.0;8.0;897.0;105.0;581.0;130.0;71.0;4565.0
2;Propan-1-ol;CCCO;2785.0;6.0;496.0;105.0;202.0;0.0;0.0;3594.0
4;methylbenzene;Cc1ccccc1;2663.0;29.0;660.0;0.0;158.0;0.0;14.0;3524.0
6;2-Methoxy-2-methylpropane;COC(C)(C)C;2321.0;4.0;838.0;0.0;140.0;0.0;0.0;3303.0
5;Propan-2-ol;CC(C)O;2433.0;6.0;418.0;105.0;139.0;0.0;0.0;3101.0
8;HEPTANE;CCCCCCC;2147.0;8.0;560.0;64.0;202.0;0.0;14.0;2995.0
7;BENZENE;c1ccccc1;2314.0;24.0;393.0;0.0;229.0;0.0;14.0;2974.0
9;octane;CCCCCCCC;2022.0;13.0;226.0;90.0;94.0;0.0;0.0;2445.0
11;Cyclohexane;C1CCCCC1;1465.0;7.0;520.0;0.0;302.0;0.0;14.0;2308.0
14;1-Butoxybutane;CCCCOCCCC;1271.0;0.0;349.0;90.0;576.0;0.0;0.0;2286.0
19;methanol;CO;982.0;5.0;31.0;620.0;297.0;0.0;0.0;1935.0
15;1,4-Dimethylbenzene;Cc1ccc(C)cc1;1259.0;22.0;600.0;0.0;14.0;0.0;14.0;1909.0
10;Methylcyclohexane;CC1CCCCC1;1478.0;1.0;354.0;0.0;76.0;0.0;0.0;1909.0
18;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;1048.0;4.0;819.0;0.0;0.0;0.0;0.0;1871.0
12;2-Methylpropan-2-ol;CC(C)(C)O;1435.0;0.0;177.0;95.0;0.0;0.0;0.0;1707.0
16;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;1216.0;0.0;261.0;0.0;156.0;0.0;0.0;1633.0
13;Heptan-1-ol;CCCCCCCO;1293.0;0.0;235.0;0.0;21.0;0.0;0.0;1549.0
17;HEXAN-1-OL;CCCCCCO;1073.0;0.0;300.0;0.0;50.0;0.0;0.0;1423.0
22;2-Butoxyethanol;CCCCOCCO;781.0;0.0;562.0;0.0;38.0;0.0;0.0;1381.0
21;OCTAN-1-OL;CCCCCCCCO;812.0;0.0;476.0;0.0;32.0;0.0;0.0;1320.0
25;1,2-Dimethylbenzene;Cc1ccccc1C;663.0;19.0;592.0;0.0;29.0;0.0;14.0;1317.0
26;1,3-Dimethylbenzene;Cc1cccc(C)c1;660.0;18.0;557.0;0.0;25.0;0.0;14.0;1274.0
23;Pentan-1-ol;CCCCCO;670.0;0.0;89.0;90.0;299.0;0.0;0.0;1148.0
28;Nonan-1-ol;CCCCCCCCCO;613.0;0.0;405.0;0.0;28.0;0.0;0.0;1046.0
24;PROPANE-1,2-DIOL;CC(O)CO;669.0;10.0;0.0;8.0;97.0;85.0;114.0;983.0
27;Ethane-1,2-diol;OCCO;615.0;6.0;87.0;10.0;0.0;79.0;135.0;932.0
37;Cyclopentane;C1CCCC1;412.0;6.0;398.0;0.0;63.0;0.0;0.0;879.0
20;PROPANE-1,2,3-TRIOL;OCC(O)CO;860.0;10.0;0.0;8.0;0.0;0.0;0.0;878.0
48;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1;289.0;0.0;254.0;0.0;218.0;0.0;112.0;873.0
39;Hexane;CCCCCC;402.0;14.0;223.0;0.0;139.0;0.0;87.0;865.0
61;2-Methylbutan-2-ol;CCC(C)(C)O;248.0;16.0;450.0;0.0;98.0;0.0;39.0;851.0
67;Butane-1,4-diol;OCCCCO;215.0;0.0;196.0;0.0;36.0;239.0;163.0;849.0
31;2-Methoxyethanol;COCCO;517.0;17.0;306.0;0.0;0.0;0.0;0.0;840.0
30;Decane;CCCCCCCCCC;533.0;11.0;145.0;0.0;80.0;0.0;0.0;769.0
38;Propane-1,3-diol;OCCCO;406.0;13.0;132.0;8.0;36.0;64.0;104.0;763.0
32;Ethylbenzene;CCc1ccccc1;494.0;8.0;242.0;0.0;0.0;0.0;0.0;744.0
35;Oxolane;C1CCOC1;457.0;0.0;116.0;0.0;98.0;0.0;39.0;710.0
29;2-(2-Hydroxyethoxy)ethanol;OCCOCCO;588.0;48.0;0.0;39.0;0.0;0.0;0.0;675.0
41;Nonane;CCCCCCCCC;379.0;11.0;38.0;132.0;79.0;0.0;0.0;639.0
47;phenylmethanol;OCc1ccccc1;300.0;0.0;156.0;0.0;176.0;0.0;0.0;632.0
34;Methoxybenzene;COc1ccccc1;466.0;0.0;109.0;0.0;51.0;0.0;0.0;626.0
40;2-Methylpropan-1-ol;CC(C)CO;399.0;0.0;71.0;105.0;31.0;0.0;0.0;606.0
33;1,2-Dimethoxyethane;COCCOC;488.0;0.0;0.0;97.0;17.0;0.0;0.0;602.0
43;2-PHENYLETHANOL;OCCc1ccccc1;349.0;0.0;198.0;0.0;34.0;0.0;0.0;581.0
53;butane-1,2-diol;CCC(O)CO;278.0;0.0;277.0;0.0;0.0;0.0;14.0;569.0
62;1,4-Dioxane;C1COCCO1;241.0;0.0;243.0;0.0;47.0;0.0;0.0;531.0
36;2-Methylheptane;CCCCCC(C)C;413.0;0.0;72.0;0.0;42.0;0.0;0.0;527.0
46;1-Propoxypropan-2-ol;CCCOCC(C)O;318.0;0.0;145.0;0.0;0.0;0.0;0.0;463.0
45;2-(2-Methoxyethoxy)ethanol;COCCOCCO;320.0;0.0;140.0;0.0;0.0;0.0;0.0;460.0
66;Butane-1,3-diol;CC(O)CCO;218.0;0.0;204.0;0.0;0.0;0.0;14.0;436.0
71;Butan-2-ol;CCC(C)O;202.0;0.0;136.0;0.0;85.0;0.0;0.0;423.0
50;1,3,5-Trimethylbenzene;Cc1cc(C)cc(C)c1;285.0;0.0;115.0;0.0;0.0;0.0;0.0;400.0
60;;C1CCCCCCC1;249.0;7.0;144.0;0.0;0.0;0.0;0.0;400.0
93;2-Ethoxyethanol;CCOCCO;91.0;0.0;71.0;0.0;221.0;0.0;0.0;383.0
57;1-METHOXY-2-(2-METHOXYETHOXY)ETHANE;COCCOCCOC;257.0;0.0;18.0;99.0;0.0;0.0;0.0;374.0
51;Cyclohexanol;OC1CCCCC1;280.0;0.0;15.0;0.0;68.0;0.0;0.0;363.0
70;1,3-DIOXOLANE;C1COCO1;204.0;0.0;148.0;0.0;0.0;0.0;0.0;352.0
42;;C1CC2C3CCC(C3)C2C1;352.0;0.0;0.0;0.0;0.0;0.0;0.0;352.0
44;2-(hydroxymethyl)-2-methylpropane-1,3-diol;CC(CO)(CO)CO;324.0;0.0;0.0;0.0;0.0;0.0;0.0;324.0
80;1-Butoxypropan-2-ol;CCCCOCC(C)O;160.0;0.0;160.0;0.0;0.0;0.0;0.0;320.0
63;3-Methylbutan-1-ol;CC(C)CCO;235.0;15.0;52.0;0.0;0.0;0.0;0.0;302.0
83;2-Propoxyethanol;CCCOCCO;151.0;0.0;73.0;78.0;0.0;0.0;0.0;302.0
52;;C1CC[C@@H]2CCCC[C@@H]2C1;278.0;0.0;9.0;0.0;0.0;0.0;0.0;287.0
49;Cyclopentanol;OC1CCCC1;287.0;0.0;0.0;0.0;0.0;0.0;0.0;287.0
95;2-propan-2-yloxypropane;CC(C)OC(C)C;88.0;0.0;97.0;0.0;101.0;0.0;0.0;286.0
54;;C1CC[C@@H]2CCCC[C@H]2C1;278.0;0.0;0.0;0.0;0.0;0.0;0.0;278.0
59;2,2-bis(hydroxymethyl)propane-1,3-diol;OCC(CO)(CO)CO;249.0;0.0;22.0;0.0;0.0;0.0;0.0;271.0
55;2-ethyl-2-(hydroxymethyl)propane-1,3-diol;CCC(CO)(CO)CO;270.0;0.0;0.0;0.0;0.0;0.0;0.0;270.0
56;Pentane-1,5-diol;OCCCCCO;269.0;0.0;0.0;0.0;0.0;0.0;0.0;269.0
87;pentan-2-ol;CCCC(C)O;126.0;13.0;39.0;0.0;84.0;0.0;0.0;262.0
58;HEXANE-1,6-DIOL;OCCCCCCO;255.0;0.0;0.0;0.0;0.0;0.0;0.0;255.0
