,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Excess molar heat capacity, J/K/mol","Excess molar heat capacity, J/K/mol_std"
106213,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.125,-0.00125
106214,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.186,-0.00186
106215,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.338,-0.00338
106216,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.442,-0.00442
106217,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.612,-0.00612
106218,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.728,-0.00728
106219,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.837,-0.00837
106220,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-0.983,-0.00983
106221,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-1.09,-0.0109
106222,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-1.19,-0.0119
106223,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,-1.21,-0.0121
106224,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.067,-0.00067
106225,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.111,-0.00111
106226,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.103,-0.00103
106227,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,-0.3,-0.003
