;filename;x1;x2;SMILES1;SMILES2;cas1;cas2;InChI1;InChI2;components;Mole fraction;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
41601;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.0;298.15;101.0;1161.0;2.0
41602;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.1023;298.15;101.0;1167.0;2.0
41603;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.2031;298.15;101.0;1172.0;2.0
41604;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.304;298.15;101.0;1178.0;2.0
41605;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.405;298.15;101.0;1183.0;2.0
41606;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.5061;298.15;101.0;1189.0;2.0
41607;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.6029;298.15;101.0;1195.0;2.0
41608;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.6998;298.15;101.0;1200.0;2.0
41609;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.8016;298.15;101.0;1206.0;2.0
41610;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;0.9034;298.15;101.0;1212.0;2.0
41611;j.jct.2005.06.011;ethanol;methylcyclohexane;CCO;CC1CCCCC1;121182-78-3;108-87-2;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;InChIKey=UAEPNZWRGJTJPN-UHFFFAOYSA-N;ethanol__methylcyclohexane;1.0;298.15;101.0;1217.0;2.0
