,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Excess molar volume, m3/mol","Excess molar volume, m3/mol_std"
174870,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.9374,-8.65e-08,-4.325e-10
174871,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.1507,-2.186e-07,-1.093e-09
174872,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.2986,-3.617e-07,-1.8085e-09
174873,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.4592,-4.426e-07,-2.213e-09
174874,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.5676,-4.266e-07,-2.133e-09
174875,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.6576,-3.945e-07,-1.9725e-09
174876,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.7435,-3.314e-07,-1.657e-09
174877,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.8108,-2.609e-07,-1.3045e-09
174878,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.9374,-9.05e-08,-4.525e-10
174879,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.1507,-2.302e-07,-1.151e-09
174880,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.2986,-3.794e-07,-1.897e-09
174881,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.4592,-4.631e-07,-2.3155e-09
174882,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.5676,-4.467e-07,-2.2335e-09
174883,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.6576,-4.126e-07,-2.063e-09
174884,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.7435,-3.462e-07,-1.731e-09
174885,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.8108,-2.733e-07,-1.3665e-09
174886,j.jct.2009.09.013,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"butan-1-ol__butane, 1,4-dihydroxy-",0.9374,-9.55e-08,-4.775e-10
178123,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.0731,-2.192e-07,-6.576e-12
178124,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.1555,-4.798e-07,-1.4394e-11
178125,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.2449,-6.202e-07,-1.8606e-11
178126,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.3384,-6.618e-07,-1.9854e-11
178127,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.4321,-6.525e-07,-1.9575e-11
178128,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.5223,-5.985e-07,-1.7955e-11
178129,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.6058,-5.311e-07,-1.5933e-11
178130,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.6803,-4.493e-07,-1.3479e-11
178131,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.7446,-3.731e-07,-1.1193e-11
178132,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.7987,-3.005e-07,-9.015e-12
178133,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.843,-2.477e-07,-7.431e-12
178134,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.8786,-1.891e-07,-5.673e-12
178135,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.9068,-1.459e-07,-4.377e-12
178136,j.jct.2009.11.018,"1,2-propanediol",water,CC(O)CO,O,"1,2-propanediol__water",0.9355,-1.052e-07,-3.156e-12
178151,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.0731,-9.98e-08,-2.994e-12
178152,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.1555,-2.158e-07,-6.474e-12
178153,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.2449,-3.274e-07,-9.822e-12
178154,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.3384,-4.008e-07,-1.2024e-11
178155,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.4321,-4.271e-07,-1.2813e-11
178156,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.5223,-4.118e-07,-1.2354e-11
178157,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.6058,-3.653e-07,-1.0959e-11
178158,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.6803,-3.078e-07,-9.234e-12
178159,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.7446,-2.549e-07,-7.647e-12
178160,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.7987,-2.069e-07,-6.207e-12
178161,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.843,-1.66e-07,-4.98e-12
178162,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.8786,-1.314e-07,-3.942e-12
178163,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.9068,-1.067e-07,-3.201e-12
178164,j.jct.2009.11.018,"1,3-propanediol",water,OCCCO,O,trimethylene glycol__water,0.9355,-7.52e-08,-2.256e-12
178179,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.0625,-2.553e-07,-7.659e-12
178180,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.1347,-4.812e-07,-1.4436e-11
178181,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.2153,-5.993e-07,-1.7979e-11
178182,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.3019,-6.262e-07,-1.8786e-11
178183,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.3915,-6.071e-07,-1.8213e-11
178184,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.4804,-5.663e-07,-1.6989e-11
178185,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.5651,-5.001e-07,-1.5003e-11
178186,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.6428,-4.359e-07,-1.3077e-11
178187,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.7115,-3.607e-07,-1.0821e-11
178188,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.7703,-2.967e-07,-8.901e-12
178189,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.8195,-2.339e-07,-7.017e-12
178190,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.8595,-1.873e-07,-5.619e-12
178191,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.8916,-1.499e-07,-4.497e-12
178192,j.jct.2009.11.018,"1,2-butanediol",water,CCC(O)CO,O,"1,2-butanediol__water",0.9244,-1.056e-07,-3.168e-12
178207,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.0625,-2.188e-07,-6.564e-12
178208,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.1347,-4.707e-07,-1.4121e-11
178209,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.2153,-6.485e-07,-1.9455e-11
178210,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.3019,-7.478e-07,-2.2434e-11
178211,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.3915,-7.752e-07,-2.3256e-11
178212,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.4804,-7.706e-07,-2.3118e-11
178213,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.5651,-7.294e-07,-2.1882e-11
178214,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.6428,-6.59e-07,-1.977e-11
178215,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.7115,-5.704e-07,-1.7112e-11
178216,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.7703,-4.874e-07,-1.4622e-11
178217,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.8195,-4.009e-07,-1.2027e-11
178218,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.8595,-3.385e-07,-1.0155e-11
178219,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.8916,-2.815e-07,-8.445e-12
178220,j.jct.2009.11.018,"1,3-butanediol",water,CC(O)CCO,O,"1,3-butanediol__water",0.9244,-2.05e-07,-6.15e-12
178235,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.0625,-1.119e-07,-3.357e-12
178236,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.1347,-2.878e-07,-8.634e-12
178237,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.2153,-4.411e-07,-1.3233e-11
178238,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.3019,-5.26e-07,-1.578e-11
178239,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.3915,-5.625e-07,-1.6875e-11
178240,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.4804,-5.603e-07,-1.6809e-11
178241,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.5651,-5.289e-07,-1.5867e-11
178242,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.6428,-4.768e-07,-1.4304e-11
178243,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.7115,-4.012e-07,-1.2036e-11
178244,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.7703,-3.375e-07,-1.0125e-11
178245,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.8195,-2.736e-07,-8.208e-12
178246,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.8595,-2.285e-07,-6.855e-12
178247,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.8916,-1.873e-07,-5.619e-12
178248,j.jct.2009.11.018,"1,4-butanediol",water,OCCCCO,O,"butane, 1,4-dihydroxy-__water",0.9244,-1.396e-07,-4.188e-12
178263,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.0618,-3.71e-07,-1.113e-11
178264,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.1379,-6.531e-07,-1.9593e-11
178265,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.1796,-7.669e-07,-2.3007e-11
178266,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.2179,-8.346e-07,-2.5038e-11
178267,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.2417,-8.589e-07,-2.5767e-11
178268,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.2696,-8.786e-07,-2.6358e-11
178269,j.jct.2009.11.018,"2,3-butanediol",water,CC(O)C(C)O,O,"2,3-butanediol__water",0.3027,-8.954e-07,-2.6862e-11
