,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Temperature, K","Pressure, kPa","Excess molar heat capacity, J/K/mol","Excess molar heat capacity, J/K/mol_std"
106157,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1099,348.15,101.0,-0.864,-0.00864
106158,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1099,353.15,101.0,-0.931,-0.00931
106159,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,293.15,101.0,0.129,0.00129
106160,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,298.15,101.0,0.011,0.00011
106161,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,303.15,101.0,-0.081,-0.00081
106162,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,308.15,101.0,-0.204,-0.00204
106163,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,313.15,101.0,-0.267,-0.00267
106164,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,318.15,101.0,-0.397,-0.00397
106165,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,323.15,101.0,-0.432,-0.00432
106166,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,328.15,101.0,-0.591,-0.00591
106167,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,333.15,101.0,-0.871,-0.00871
106168,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,338.15,101.0,-1.02,-0.0102
106169,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,343.15,101.0,-1.15,-0.0115
106170,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,348.15,101.0,-1.28,-0.0128
106171,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.1826,353.15,101.0,-1.36,-0.0136
106172,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,293.15,101.0,0.127,0.00127
106173,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,298.15,101.0,0.093,0.00093
106174,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,303.15,101.0,0.025,0.00025
106175,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,308.15,101.0,-0.14,-0.0014
106176,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,313.15,101.0,-0.173,-0.00173
106177,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,318.15,101.0,-0.406,-0.00406
106178,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,323.15,101.0,-0.493,-0.00493
106179,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,328.15,101.0,-0.671,-0.00671
106180,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,333.15,101.0,-0.844,-0.00844
106181,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,338.15,101.0,-1.06,-0.0106
106182,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,343.15,101.0,-1.19,-0.0119
106183,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,348.15,101.0,-1.42,-0.0142
106184,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.2497,353.15,101.0,-1.52,-0.0152
106185,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,293.15,101.0,0.089,0.00089
106186,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,298.15,101.0,0.016,0.00016
106187,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,303.15,101.0,-0.041,-0.00041
106188,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,308.15,101.0,-0.212,-0.00212
106189,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,313.15,101.0,-0.257,-0.00257
106190,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,318.15,101.0,-0.496,-0.00496
106191,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,323.15,101.0,-0.537,-0.00537
106192,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,328.15,101.0,-0.676,-0.00676
106193,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,333.15,101.0,-0.913,-0.00913
106194,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,338.15,101.0,-1.11,-0.0111
106195,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,343.15,101.0,-1.19,-0.0119
106196,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,348.15,101.0,-1.32,-0.0132
106197,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.3244,353.15,101.0,-1.52,-0.0152
106198,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,293.15,101.0,-0.008,-8e-05
106199,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,298.15,101.0,-0.027,-0.00027
106200,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,303.15,101.0,-0.104,-0.00104
106201,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,308.15,101.0,-0.197,-0.00197
106202,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,313.15,101.0,-0.275,-0.00275
106203,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,318.15,101.0,-0.473,-0.00473
106204,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,323.15,101.0,-0.58,-0.0058
106205,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,328.15,101.0,-0.7,-0.007
106206,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,333.15,101.0,-0.849,-0.00849
106207,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,338.15,101.0,-1.03,-0.0103
106208,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,343.15,101.0,-1.17,-0.0117
106209,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,348.15,101.0,-1.28,-0.0128
106210,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.4968,353.15,101.0,-1.4,-0.014
106211,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,293.15,101.0,0.005,5e-05
106212,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,298.15,101.0,-0.055,-0.00055
106213,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,303.15,101.0,-0.125,-0.00125
106214,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,308.15,101.0,-0.186,-0.00186
106215,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,313.15,101.0,-0.338,-0.00338
106216,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,318.15,101.0,-0.442,-0.00442
106217,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,323.15,101.0,-0.612,-0.00612
106218,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,328.15,101.0,-0.728,-0.00728
106219,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,333.15,101.0,-0.837,-0.00837
106220,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,338.15,101.0,-0.983,-0.00983
106221,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,343.15,101.0,-1.09,-0.0109
106222,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,348.15,101.0,-1.19,-0.0119
106223,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.5919,353.15,101.0,-1.21,-0.0121
106224,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,293.15,101.0,-0.067,-0.00067
106225,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,298.15,101.0,-0.111,-0.00111
106226,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,303.15,101.0,-0.103,-0.00103
106227,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,308.15,101.0,-0.3,-0.003
106228,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,313.15,101.0,-0.191,-0.00191
106229,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,318.15,101.0,-0.455,-0.00455
106230,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,323.15,101.0,-0.583,-0.00583
106231,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,328.15,101.0,-0.633,-0.00633
106232,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,333.15,101.0,-0.713,-0.00713
106233,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,338.15,101.0,-0.814,-0.00814
106234,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,343.15,101.0,-0.888,-0.00888
106235,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,348.15,101.0,-0.977,-0.00977
106236,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.713,353.15,101.0,-0.958,-0.00958
106237,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,293.15,101.0,-0.102,-0.00102
106238,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,298.15,101.0,-0.08,-0.0008
106239,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,303.15,101.0,-0.086,-0.00086
106240,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,308.15,101.0,-0.16,-0.0016
106241,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,313.15,101.0,-0.162,-0.00162
106242,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,318.15,101.0,-0.218,-0.00218
106243,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,323.15,101.0,-0.385,-0.00385
106244,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,328.15,101.0,-0.381,-0.00381
106245,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,333.15,101.0,-0.434,-0.00434
106246,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,338.15,101.0,-0.473,-0.00473
106247,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,343.15,101.0,-0.543,-0.00543
106248,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,348.15,101.0,-0.599,-0.00599
106249,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,353.15,101.0,-0.587,-0.00587
106250,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,293.15,101.0,-0.075,-0.00075
106251,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,298.15,101.0,-0.083,-0.00083
106252,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,303.15,101.0,-0.052,-0.00052
106253,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,308.15,101.0,-0.078,-0.00078
106254,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,313.15,101.0,-0.128,-0.00128
106255,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,318.15,101.0,-0.158,-0.00158
106256,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,323.15,101.0,-0.287,-0.00287
106257,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,328.15,101.0,-0.244,-0.00244
106258,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,333.15,101.0,-0.262,-0.00262
106259,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,338.15,101.0,-0.303,-0.00303
106260,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,343.15,101.0,-0.369,-0.00369
106261,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,348.15,101.0,-0.432,-0.00432
106262,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,353.15,101.0,-0.416,-0.00416
644229,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.00991,283.15,101.0,0.43,0.2
644230,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.02619,283.15,101.0,0.87,0.2
644231,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.04637,283.15,101.0,1.03,0.2
644232,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.07516,283.15,101.0,1.32,0.2
644233,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.10163,283.15,101.0,1.26,0.2
644234,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.12445,283.15,101.0,1.16,0.2
644235,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.14906,283.15,101.0,0.94,0.2
644236,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.17311,283.15,101.0,0.76,0.2
644237,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.29027,283.15,101.0,-0.72,0.2
644238,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.40764,283.15,101.0,-1.26,0.2
644239,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.46407,283.15,101.0,-1.33,0.2
644240,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.60656,283.15,101.0,-1.31,0.2
644241,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.69588,283.15,101.0,-1.2,0.2
644242,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.804,283.15,101.0,-0.93,0.2
644243,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.84631,283.15,101.0,-0.75,0.2
644244,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.93949,283.15,101.0,-0.42,0.2
644245,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.00991,293.15,101.0,0.3,0.2
644246,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.02619,293.15,101.0,0.79,0.2
644247,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.04637,293.15,101.0,1.25,0.2
644248,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.07516,293.15,101.0,1.72,0.2
644249,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.12445,293.15,101.0,1.91,0.2
644250,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.14906,293.15,101.0,1.76,0.2
644251,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.17311,293.15,101.0,1.68,0.2
644252,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.29027,293.15,101.0,0.61,0.2
644253,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.40764,293.15,101.0,0.05,0.2
644254,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.46407,293.15,101.0,-0.12,0.2
644255,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.60656,293.15,101.0,-0.35,0.2
644256,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.69588,293.15,101.0,-0.43,0.2
644257,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.804,293.15,101.0,-0.36,0.2
644258,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.84631,293.15,101.0,-0.36,0.2
644259,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.93949,293.15,101.0,-0.19,0.2
644260,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.00991,298.15,101.0,0.26,0.2
644261,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.02619,298.15,101.0,0.76,0.2
644262,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.04637,298.15,101.0,1.33,0.2
644263,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.07516,298.15,101.0,1.85,0.2
644264,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.09514,298.15,101.0,1.99,0.2
644265,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.12445,298.15,101.0,2.17,0.2
644266,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.14906,298.15,101.0,2.08,0.2
644267,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.17311,298.15,101.0,2.01,0.2
644268,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.29027,298.15,101.0,1.14,0.2
644269,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.40764,298.15,101.0,0.54,0.2
