;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Relative permittivity at zero frequency;Relative permittivity at zero frequency_std
118521;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;293.15;101.0;11.76;0.02
118522;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;298.15;101.0;11.5;0.02
118523;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;303.15;101.0;11.19;0.02
118527;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;293.15;101.0;31.81;0.02
118528;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;298.15;101.0;30.95;0.02
118529;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;303.15;101.0;30.03;0.02
118533;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;293.15;101.0;23.69;0.02
118534;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;298.15;101.0;23.07;0.02
118535;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;303.15;101.0;22.43;0.02
144938;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;288.15;101.325;1.993;0.01993
144939;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;298.15;101.325;1.98;0.0198
144940;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;308.15;101.325;1.966;0.01966
144941;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;318.15;101.325;1.953;0.01953
144942;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;328.15;101.325;1.94;0.0194
144943;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;338.15;101.325;1.927;0.01927
144950;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;288.15;101.325;7.408;0.07408
144951;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;298.15;101.325;7.069;0.07069
144952;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;308.15;101.325;6.757;0.06757
144953;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;318.15;101.325;6.456;0.06456
144954;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;328.15;101.325;6.184;0.06184
144955;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;338.15;101.325;5.922;0.05922
144965;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;288.15;101.325;7.648;0.07648
144966;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;298.15;101.325;7.363;0.07363
144967;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;308.15;101.325;7.116;0.07116
144968;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;318.15;101.325;6.886;0.06886
144969;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;328.15;101.325;6.637;0.06637
144970;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;338.15;101.325;6.404;0.06404
199698;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;288.15;101.325;1.94;0.0194
199699;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101.325;1.93;0.0193
199700;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.15;101.325;1.92;0.0192
199704;j.jct.2010.09.008;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;288.15;101.325;7.41;0.0741
199705;j.jct.2010.09.008;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;298.15;101.325;7.07;0.0707
199706;j.jct.2010.09.008;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;308.15;101.325;6.75;0.0675
199710;j.jct.2010.09.008;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;288.15;101.325;7.69;0.0769
199711;j.jct.2010.09.008;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;298.15;101.325;7.4;0.074
199712;j.jct.2010.09.008;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;308.15;101.325;7.12;0.0712
233860;j.jct.2011.07.021;2-ethyl-1-hexanol;CCCCC(CC)CO;704-76-7;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;298.2;101.325;7.353;0.005
233861;j.jct.2011.07.021;2-ethyl-1-hexanol;CCCCC(CC)CO;704-76-7;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;308.2;101.325;6.361;0.005
233862;j.jct.2011.07.021;2-ethyl-1-hexanol;CCCCC(CC)CO;704-76-7;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;318.2;101.325;5.522;0.005
233878;j.jct.2011.07.021;1,4-dioxane;C1COCCO1;28347-88-8;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;298.2;101.325;2.228;0.005
233879;j.jct.2011.07.021;1,4-dioxane;C1COCCO1;28347-88-8;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;308.2;101.325;2.21;0.005
233880;j.jct.2011.07.021;1,4-dioxane;C1COCCO1;28347-88-8;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;318.2;101.325;2.187;0.005
538716;j.fluid.2008.01.024;glycerol;OCC(O)CO;8043-29-6;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;303.15;101.0;41.17;0.12351
559757;j.fluid.2009.07.009;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;23.87;0.07161
