,filename,components,smiles,"Molar volume, m3/mol","Molar volume, m3/mol_std"
182374,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00010525,0.0000001
182375,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00010642,0.0000001
182376,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00010764,0.0000001
182377,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.0001089,0.0000001
182378,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00011022,0.0000001
182379,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00011159,0.0000001
182380,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00011303,0.0000001
182381,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00011453,0.0000001
182382,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.0001161,0.0000001
182383,j.jct.2010.01.016,cyclohexane,C1CCCCC1,0.00011776,0.0000001
209993,j.jct.2010.12.025,heptane,CCCCCCC,0.00014746,0.00000005
579555,j.fluid.2010.06.007,tetrahydrofuran,C1CCOC1,0.00008174,0.00000002
579556,j.fluid.2010.06.007,cyclohexane,C1CCCCC1,0.00010875,0.00000002
