;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Molar heat capacity at constant pressure, J/K/mol;Molar heat capacity at constant pressure, J/K/mol_std
21097;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;283.15;101.325;106.53;0.1
21098;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.325;108.27;0.1
21099;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.325;110.06;0.1
21100;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.325;112.03;0.1
21101;j.jct.2004.12.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;114.01;0.1
106065;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.325;173.8;0.4345
106066;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.325;177.1;0.44275
106067;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.325;180.61;0.451525
106068;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.325;184.28;0.4607
106069;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;313.15;101.325;188.02;0.47005
106070;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;318.15;101.325;192.1;0.48025
106071;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;323.15;101.325;196.13;0.490325
106072;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;328.15;101.325;200.4;0.501
106073;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;333.15;101.325;204.72;0.5118
106074;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;338.15;101.325;209.16;0.5229
106075;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;343.15;101.325;213.57;0.533925
106076;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;348.15;101.325;218.1;0.54525
106077;j.jct.2007.04.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;353.15;101.325;222.54;0.55635
146653;j.jct.2008.10.002;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.325;75.4;0.2262
146654;j.jct.2008.10.002;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.325;75.3;0.2259
146655;j.jct.2008.10.002;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.325;75.3;0.2259
146656;j.jct.2008.10.002;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;308.15;101.325;75.2;0.2256
146657;j.jct.2008.10.002;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.325;75.2;0.2256
146658;j.jct.2008.10.002;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;318.15;101.325;75.3;0.2259
230728;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;273.15;5000.0;103.1;0.5155
230729;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;5000.0;110.2;0.551
230730;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;5000.0;118.0;0.59
230731;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;333.15;5000.0;129.1;0.6455
230732;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;273.15;10000.0;102.1;0.5105
230733;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;10000.0;109.0;0.545
230734;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;10000.0;116.8;0.584
230735;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;333.15;10000.0;127.7;0.6385
230736;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;273.15;15000.0;101.7;0.5085
230737;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;15000.0;108.1;0.5405
230738;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;15000.0;115.5;0.5775
230739;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;333.15;15000.0;126.0;0.63
230740;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;273.15;20000.0;100.7;0.5035
230741;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;20000.0;107.4;0.537
230742;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;313.15;20000.0;114.9;0.5745
230743;j.jct.2011.06.019;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;333.15;20000.0;124.7;0.6235
230748;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;273.15;5000.0;213.1;1.0655
230749;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.15;5000.0;223.0;1.115
230750;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.15;5000.0;230.3;1.1515
230751;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;333.15;5000.0;238.7;1.1935
230752;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;273.15;10000.0;210.9;1.0545
230753;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.15;10000.0;218.2;1.091
230754;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.15;10000.0;226.2;1.131
230755;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;333.15;10000.0;235.0;1.175
230756;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;273.15;15000.0;208.1;1.0405
230757;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.15;15000.0;216.8;1.084
230758;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.15;15000.0;223.1;1.1155
230759;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;333.15;15000.0;232.0;1.16
230760;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;273.15;20000.0;207.2;1.036
230761;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.15;20000.0;214.4;1.072
230762;j.jct.2011.06.019;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.15;20000.0;221.6;1.108
