;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Speed of sound, m/s;Speed of sound, m/s_std
41468;j.jct.2005.06.011;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1268.0;2.0
41498;j.jct.2005.06.011;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1161.0;2.0
55403;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;293.13;101.325;1151.92;0.5
55404;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.12;101.325;1130.26;0.5
55405;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;303.1;101.325;1108.78;0.5
55406;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.07;101.325;1087.47;0.5
55407;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;313.03;101.325;1066.28;0.5
55408;j.jct.2005.10.009;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;318.33;101.325;1043.9;0.5
63772;j.jct.2006.03.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1144.0;1.144
63773;j.jct.2006.03.010;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.0;1111.0;1.111
63784;j.jct.2006.03.010;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1235.0;1.235
63785;j.jct.2006.03.010;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.0;1210.0;1.21
64879;j.jct.2006.03.018;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1161.0;2.0
64909;j.jct.2006.03.018;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1246.0;2.0
73803;j.jct.2006.06.008;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.0;1257.0;0.1
73804;j.jct.2006.06.008;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;1240.0;0.1
73805;j.jct.2006.06.008;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.0;1224.0;0.1
73812;j.jct.2006.06.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;1162.0;0.1
73813;j.jct.2006.06.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;1145.0;0.1
73814;j.jct.2006.06.008;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;1128.0;0.1
79689;j.jct.2006.08.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1496.74;0.5
79690;j.jct.2006.08.003;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;298.15;101.0;1571.73;0.5
91610;j.jct.2006.10.017;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;1160.0;1.0
