,filename,components,smiles,"Temperature, K","Pressure, kPa","Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
3931,j.jct.2004.07.010,ethylbenzene,CCc1ccccc1,298.15,101.325,862.44,,,,,,,,,,,,,
4327,j.jct.2004.07.012,1-propanol,CCCO,298.15,101.325,799.74,,,,,,,,,,,,,
4485,j.jct.2004.07.015,"1,3-dioxolane",C1COCO1,298.15,101.325,1058.98,,,,,,,,,,,,,
4486,j.jct.2004.07.015,"1,3-dioxolane",C1COCO1,313.15,101.325,1040.0,,,,,,,,,,,,,
4487,j.jct.2004.07.015,"1,3-dioxolane",C1COCO1,298.15,101.325,,,1340.2,,,,,,,,,,,
4488,j.jct.2004.07.015,"1,3-dioxolane",C1COCO1,313.15,101.325,,,1270.9,,,,,,,,,,,
4489,j.jct.2004.07.015,"1,4-dioxane",C1COCCO1,298.15,101.325,1027.96,,,,,,,,,,,,,
4490,j.jct.2004.07.015,"1,4-dioxane",C1COCCO1,313.15,101.325,1010.8,,,,,,,,,,,,,
4491,j.jct.2004.07.015,"1,4-dioxane",C1COCCO1,298.15,101.325,,,1344.8,,,,,,,,,,,
4492,j.jct.2004.07.015,"1,4-dioxane",C1COCCO1,313.15,101.325,,,1279.8,,,,,,,,,,,
4493,j.jct.2004.07.015,2-methyl-1-propanol,CC(C)CO,298.15,101.325,797.83,,,,,,,,,,,,,
4494,j.jct.2004.07.015,2-methyl-1-propanol,CC(C)CO,313.15,101.325,785.96,,,,,,,,,,,,,
4495,j.jct.2004.07.015,2-methyl-1-propanol,CC(C)CO,298.15,101.325,,,1188.5,,,,,,,,,,,
4496,j.jct.2004.07.015,2-methyl-1-propanol,CC(C)CO,313.15,101.325,,,1138.4,,,,,,,,,,,
4497,j.jct.2004.07.015,2-methyl-2-propanol,CC(C)(C)O,298.15,101.325,780.86,,,,,,,,,,,,,
4498,j.jct.2004.07.015,2-methyl-2-propanol,CC(C)(C)O,313.15,101.325,765.16,,,,,,,,,,,,,
4499,j.jct.2004.07.015,2-methyl-2-propanol,CC(C)(C)O,298.15,101.325,,,1122.8,,,,,,,,,,,
