,filename,components,smiles,"Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std"
28505,j.jct.2005.03.012,methanol,CO,100.22693808,0.1503404071
28506,j.jct.2005.03.012,methanol,CO,108.97436586,0.1634615488
28510,j.jct.2005.03.012,methanol,CO,76.7402547,0.1151103821
28511,j.jct.2005.03.012,methanol,CO,80.9056965,0.1213585448
28512,j.jct.2005.03.012,methanol,CO,86.00035224,0.1290005284
28513,j.jct.2005.03.012,methanol,CO,92.40872424,0.1386130864
28514,j.jct.2005.03.012,methanol,CO,99.9706032,0.1499559048
28515,j.jct.2005.03.012,methanol,CO,108.33352866,0.162500293
92278,j.jct.2006.11.001,methanol,CO,74.0166966,1.602093
92279,j.jct.2006.11.001,methanol,CO,85.8721848,1.602093
92280,j.jct.2006.11.001,methanol,CO,97.4072544,0.9612558
92281,j.jct.2006.11.001,methanol,CO,73.696278,2.8837674
92282,j.jct.2006.11.001,methanol,CO,84.2700918,1.2816744
92283,j.jct.2006.11.001,methanol,CO,94.2030684,0.9612558
92284,j.jct.2006.11.001,methanol,CO,94.523487,1.2816744
92285,j.jct.2006.11.001,methanol,CO,97.0868358,1.9225116
106065,j.jct.2007.04.011,1-butanol,CCCCO,173.8,0.4345
106066,j.jct.2007.04.011,1-butanol,CCCCO,177.1,0.44275
106067,j.jct.2007.04.011,1-butanol,CCCCO,180.61,0.451525
106068,j.jct.2007.04.011,1-butanol,CCCCO,184.28,0.4607
106069,j.jct.2007.04.011,1-butanol,CCCCO,188.02,0.47005
106070,j.jct.2007.04.011,1-butanol,CCCCO,192.1,0.48025
106071,j.jct.2007.04.011,1-butanol,CCCCO,196.13,0.490325
106072,j.jct.2007.04.011,1-butanol,CCCCO,200.4,0.501
106073,j.jct.2007.04.011,1-butanol,CCCCO,204.72,0.5118
106074,j.jct.2007.04.011,1-butanol,CCCCO,209.16,0.5229
106075,j.jct.2007.04.011,1-butanol,CCCCO,213.57,0.533925
106076,j.jct.2007.04.011,1-butanol,CCCCO,218.1,0.54525
106077,j.jct.2007.04.011,1-butanol,CCCCO,222.54,0.55635
106079,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,200.39,0.500975
106080,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,203.06,0.50765
106081,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,205.82,0.51455
106082,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,208.65,0.521625
106083,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,211.57,0.528925
106084,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,214.55,0.536375
106085,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,217.61,0.544025
106086,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,220.72,0.5518
106087,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,223.9,0.55975
106088,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,227.12,0.5678
106089,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,230.4,0.576
106090,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,233.72,0.5843
106091,j.jct.2007.04.011,"1,4-butanediol",OCCCCO,237.07,0.592675
106107,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,228.22,0.57055
106108,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,230.94,0.57735
106109,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,233.64,0.5841
106110,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,236.32,0.5908
106111,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,238.97,0.597425
106112,j.jct.2007.04.011,"1,2-butanediol",CCC(O)CO,241.59,0.603975
