,filename,components,smiles,"Speed of sound, m/s","Speed of sound, m/s_std"
53626,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1286.4,1.2864
53627,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1336.4,1.3364
53628,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1383.4,1.3834
53629,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1427.4,1.4274
53630,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1467.9,1.4679
53631,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1507.1,1.5071
53632,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1544.3,1.5443
53634,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1072.0,1.072
53635,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1139.6,1.1396
53636,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1200.6,1.2006
53637,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1256.3,1.2563
53638,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1307.4,1.3074
53639,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1354.2,1.3542
53640,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1400.0,1.4
53641,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1440.9,1.4409
53642,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1481.4,1.4814
53643,j.jct.2005.10.002,3-ethyl-3-pentanol,CCC(O)(CC)CC,1519.4,1.5194
53645,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1290.1,1.2901
53646,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1344.9,1.3449
