;InChI;Count;Component;SMILES
0;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;86;ethanol;CCO
1;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;54;oxidane;O
2;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;49;Butan-1-ol;CCCCO
3;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;39;HEPTANE;CCCCCCC
